"id","y_2013","y_2014","y_2015","y_2016","y_2017","y_2018"
370630001011,588,590,585,584,592,593
370630001012,731,737,731,663,665,737
370630001021,1118,1120,1118,1120,1120,1122
370630001022,840,831,835,822,822,843
370630002001,464,461,467,455,459,466
370630002002,445,641,645,653,653,648
370630002003,429,426,440,411,412,437
370630003011,526,529,546,538,539,563
370630003012,321,321,332,310,310,332
370630003013,325,329,354,279,279,353
370630003021,381,383,383,383,384,385
370630003022,494,497,510,492,492,497
370630003023,895,888,915,768,768,907
370630004011,462,461,461,458,459,463
370630004012,422,424,433,423,423,436
370630004013,343,342,348,343,344,354
370630004021,1048,1558,1610,1535,1535,2215
370630005001,450,900,915,896,896,903
370630005002,365,367,372,364,366,374
370630005003,677,700,716,697,699,707
370630005004,461,467,470,447,450,468
370630006001,1121,1404,1409,1430,1413,1434
370630006002,941,952,961,954,954,945
370630006003,218,218,218,218,218,218
370630007001,423,767,1031,1041,1041,1110
370630007002,549,561,558,563,563,560
370630007003,507,509,510,509,510,513
370630009001,365,383,395,326,328,433
370630009002,458,463,470,439,444,468
370630010011,398,403,397,386,387,392
370630010012,543,550,560,532,532,570
370630010013,559,537,552,535,555,603
370630010021,1080,1083,1079,1073,1073,1087
370630010022,325,331,335,320,322,328
370630010023,370,370,373,351,351,372
370630010024,516,516,515,501,500,521
370630011001,864,867,894,733,736,893
370630011002,577,570,598,583,589,604
370630013011,675,674,698,645,651,704
370630013031,518,514,516,499,499,514
370630013032,289,288,299,295,300,304
370630013041,1092,1092,1101,1089,1089,1100
370630014001,446,448,452,446,446,443
370630014002,762,767,758,756,756,760
370630015011,138,137,137,137,137,137
370630015021,1391,1517,1529,1505,1505,1507
370630015022,705,694,705,705,1122,844
370630015023,1125,1250,1250,1250,1250,1275
370630015024,632,632,632,632,632,632
370630015031,0,0,0,0,0,0
370630016011,462,572,580,602,620,624
370630016012,1186,1181,1182,1179,1182,1186
370630016013,674,819,819,817,825,832
370630016031,281,280,281,277,282,283
370630016032,1120,1141,1175,1170,1170,1178
370630016033,539,540,538,544,544,551
370630016034,706,698,697,697,699,726
370630016041,866,862,862,865,866,876
370630016042,1127,1122,1125,1120,1122,1152
370630016043,703,695,697,697,697,711
370630017051,697,704,699,698,700,705
370630017052,1087,1082,1082,1080,1134,1137
370630017053,694,695,691,691,693,693
370630017061,1364,1455,1553,1553,1553,1553
370630017062,1046,1045,1045,1044,1044,1213
370630017071,469,469,472,463,469,479
370630017072,719,719,721,717,732,746
370630017073,265,264,264,264,264,264
370630017074,790,809,810,809,824,825
370630017075,403,1090,986,996,2453,1201
370630017081,1664,1709,1882,1671,1671,1705
370630017091,373,384,377,365,365,368
370630017092,355,355,356,355,355,357
370630017093,2002,2475,2339,2451,2545,2766
370630017101,1149,1152,1149,1165,1166,1163
370630017102,723,722,722,727,727,722
370630017111,603,646,664,663,663,1434
370630017112,768,768,768,766,766,768
370630017113,740,742,742,731,733,736
370630018011,777,776,794,787,787,807
370630018012,268,278,268,271,277,280
370630018013,1034,1045,1066,1066,1066,1082
370630018014,509,459,517,463,511,575
370630018015,305,292,303,295,297,327
370630018021,826,829,825,804,813,813
370630018022,670,670,669,668,668,670
370630018023,796,803,795,797,716,798
370630018024,358,346,345,328,330,352
370630018061,742,722,731,722,725,760
370630018062,1578,1605,1622,1631,1792,1744
370630018071,1259,1146,1225,1112,1193,1385
370630018072,1300,1302,1297,1297,1298,1303
370630018073,1068,1069,1069,1060,1060,1063
370630018081,829,838,838,835,835,844
370630018082,2019,2277,2531,2733,3445,3375
370630018091,1628,1620,1620,1599,1604,1983
370630018092,1177,1189,1201,1196,1200,1203
370630019001,321,404,631,851,1579,1542
370630019002,1036,1037,1056,1044,1057,1112
370630020071,838,837,836,836,844,847
370630020072,1086,1154,1086,1156,1158,1159
370630020073,376,376,378,377,377,377
370630020081,386,386,386,385,385,391
370630020082,840,839,842,848,849,858
370630020091,799,799,798,790,790,795
370630020092,453,451,460,449,449,462
370630020093,714,713,713,714,714,713
370630020131,667,665,665,664,664,711
370630020132,402,402,402,401,401,402
370630020133,803,803,803,803,803,803
370630020151,994,991,990,988,988,993
370630020152,1139,1138,1141,1141,1141,1141
