"id","y_2011","y_2012","y_2013","y_2014","y_2015","y_2016"
"37063000101",266,284,314,281,303,248
"37063000102",507,555,589,644,615,627
"37063000200",517,504,498,383,309,295
"37063000301",271,340,354,426,414,429
"37063000302",600,544,548,416,379,397
"37063000401",168,190,270,226,189,168
"37063000402",409,398,445,392,397,425
"37063000500",658,523,597,627,684,710
"37063000600",333,506,580,605,682,851
"37063000700",335,411,365,438,431,361
"37063000900",299,325,368,352,369,354
"37063001001",566,592,545,478,465,448
"37063001002",753,876,832,864,912,851
"37063001100",457,441,432,527,449,485
"37063001301",216,202,218,208,168,212
"37063001303",153,158,134,208,218,281
"37063001304",347,382,386,389,442,482
"37063001400",392,409,443,436,377,304
"37063001501",20,25,33,39,22,26
"37063001502",921,1067,1160,1392,1523,1635
"37063001503",0,0,0,0,0,0
"37063001601",131,169,141,123,27,77
"37063001603",29,26,24,54,27,61
"37063001604",103,104,110,81,92,66
"37063001705",469,464,449,429,473,517
"37063001706",519,426,518,612,562,516
"37063001707",266,333,356,400,355,346
"37063001708",250,256,289,303,270,204
"37063001709",897,1036,1098,1186,1174,1195
"37063001710",466,419,406,483,518,437
"37063001711",571,665,714,713,802,850
"37063001801",260,284,220,162,243,226
"37063001802",517,488,383,361,368,511
"37063001806",79,137,212,199,233,222
"37063001807",311,281,303,330,340,352
"37063001808",0,32,46,55,65,101
"37063001809",615,626,665,603,587,555
"37063001900",22,17,10,14,22,33
"37063002007",168,152,162,141,151,142
"37063002008",12,40,38,54,61,52
"37063002009",288,347,320,300,266,337
"37063002013",222,254,180,231,163,174
"37063002015",1019,1031,827,917,852,928
"37063002016",982,852,927,1045,1023,1164
"37063002017",535,644,692,778,830,907
"37063002018",746,654,628,679,754,691
"37063002019",527,618,549,586,523,396
"37063002020",31,47,51,40,84,60
"37063002021",757,822,827,697,621,548
"37063002022",815,737,752,635,620,403
"37063002023",236,235,274,268,303,255
"37063002024",198,177,145,210,296,228
"37063002025",207,259,307,195,158,209
"37063002026",658,708,722,760,798,826
"37063002027",1031,968,805,952,1124,1375
"37063002028",496,429,379,403,486,550
"37063002100",85,147,105,142,156,160
"37063002200",296,240,259,263,243,198
"37063002300",148,201,198,205,176,152
"37063980100",0,0,0,0,0,0
