"id","y_2010","y_2015","y_2016"
370630001011,1261,973,1165
370630001012,1891,1922,1861
370630001021,2585,2716,2918
370630001022,1950,1729,1588
370630002001,861,1424,1219
370630002002,1111,844,903
370630002003,974,922,1117
370630003011,1019,1005,995
370630003012,728,609,714
370630003013,757,938,869
370630003021,779,809,849
370630003022,1114,1141,1206
370630003023,1533,1528,1538
370630004011,898,810,789
370630004012,931,1129,1189
370630004013,694,943,1057
370630004021,1963,2021,2054
370630005001,1155,769,924
370630005002,584,649,616
370630005003,1289,954,1039
370630005004,1065,1105,1191
370630006001,2431,2973,2989
370630006002,2228,2636,2406
370630006003,518,539,622
370630007001,718,998,909
370630007002,1030,1087,1475
370630007003,1082,1395,1347
370630009001,801,1010,845
370630009002,867,1166,1154
370630010011,878,1333,1296
370630010012,1299,1034,1175
370630010013,1289,1963,1906
370630010021,3045,2643,2654
370630010022,787,1059,898
370630010023,846,802,641
370630010024,1296,1421,1583
370630011001,1947,2087,2321
370630011002,1278,1248,1296
370630013011,1128,1292,1408
370630013031,3121,2991,3122
370630013032,555,474,469
370630013041,2557,2798,3006
370630014001,984,733,626
370630014002,1625,1727,1916
370630015011,3070,2836,2911
370630015021,2391,2996,2827
370630015022,1024,1011,947
370630015023,2117,1927,2129
370630015024,454,507,389
370630015031,1941,1621,1642
370630016011,1124,1482,1407
370630016012,2984,2808,3190
370630016013,1698,1548,1517
370630016031,638,652,751
370630016032,2624,2893,2885
370630016033,1227,1348,1210
370630016034,1782,1362,1431
370630016041,1979,1947,1882
370630016042,2842,2744,2647
370630016043,1824,2086,2070
370630017051,1611,1667,1747
370630017052,1535,2033,2084
370630017053,1373,1035,1371
370630017061,2310,2822,3313
370630017062,1869,1986,1720
370630017071,1068,1109,1159
370630017072,1601,1945,1862
370630017073,627,340,438
370630017074,1744,1963,1994
370630017075,1445,1557,1589
370630017081,3989,5414,5260
370630017091,971,896,681
370630017092,975,933,1027
370630017093,4163,4660,4769
370630017101,2581,2531,3022
370630017102,2124,1713,1326
370630017111,1305,1278,1161
370630017112,1616,1847,1821
370630017113,1582,1575,1638
370630018011,1890,2719,1693
370630018012,658,412,750
370630018013,2550,2995,3758
370630018014,1279,1393,1159
370630018015,746,489,492
370630018021,2033,2108,2310
370630018022,1629,1670,1855
370630018023,2176,2263,2125
370630018024,898,816,1162
370630018061,1742,2168,2159
370630018062,3930,3506,3845
370630018071,3266,3055,2882
370630018072,3450,3515,3631
370630018073,2700,2722,2640
370630018081,2080,2092,2389
370630018082,2966,5026,5565
370630018091,2484,2826,2781
370630018092,2664,3270,2667
370630019001,729,663,659
370630019002,2118,2348,2443
370630020071,1732,2001,1827
370630020072,2306,2133,2529
370630020073,816,730,725
370630020081,960,859,921
370630020082,1947,2210,2180
370630020091,1904,1692,1601
370630020092,1119,1019,1151
370630020093,1662,1692,1807
370630020131,1553,1375,1387
370630020132,898,957,1018
370630020133,2030,2351,2145
370630020151,2253,2865,2595
370630020152,2183,1845,2153
370630020153,691,736,757
370630020161,3228,2825,2982
370630020162,2156,3008,2749
370630020171,2308,2318,2352
370630020172,1339,1474,1466
370630020173,3007,3658,3797
370630020181,2327,2397,2422
370630020182,2701,3358,3610
370630020183,2455,2447,2642
370630020191,1399,1434,1372
370630020192,1536,1812,1784
370630020193,1473,1504,1688
370630020201,2032,2585,2102
370630020202,3862,4317,4869
370630020211,3016,2938,2807
370630020212,1416,1538,1711
370630020221,1822,2244,2427
370630020222,2485,2372,2261
370630020231,1195,1156,1446
370630020232,1613,1988,1862
370630020241,3582,3872,4070
370630020242,1033,970,928
370630020243,1233,1297,1190
370630020251,2114,2873,2681
370630020252,2464,2283,2553
370630020253,1360,1427,1664
370630020261,2265,2368,2538
370630020262,3548,4017,3896
370630020271,1473,2408,1481
370630020272,4164,4751,5679
370630020273,1635,1783,1939
370630020281,2246,2917,2778
370630020282,1183,1372,1676
370630020283,2572,2794,3150
370630021001,2270,2047,2152
370630021002,2193,5487,5549
370630021003,1899,1713,1583
370630022001,1946,1758,1835
370630023001,1154,962,1058
370630023002,177,403,426
370639801001,4,0,0
