"id","y_1970","y_1980","y_1990","y_2000","y_2010","y_2015","y_2016"
37063000101,3225,2442,1485,1056,840,752,905
37063000102,3824,2895,2845,2107,1525,1746,1823
37063000200,2283,1722,1536,1040,1148,1218,1400
37063000301,1600,1142,910,669,895,960,1061
37063000302,3550,2727,2420,2067,2058,2059,2237
37063000401,3147,2420,2293,2124,1973,2601,2631
37063000402,1471,1656,1185,1023,1362,1461,1541
37063000500,1834,1688,1419,1009,1024,1177,1226
37063000600,4545,3594,3016,2380,2222,2717,2659
37063000700,2177,1751,1734,1638,1635,1798,1988
37063000900,125,48,50,62,62,81,94
37063001001,3775,2210,1038,454,291,368,405
37063001002,3848,2358,1402,614,373,421,266
37063001100,1317,624,377,202,224,282,368
37063001301,4,1,8,31,26,43,58
37063001303,11,11,19,23,66,222,264
37063001304,12,12,30,38,38,55,93
37063001400,6,11,15,40,32,2,33
37063001501,3316,3665,3950,2145,1527,1342,1307
37063001502,2648,2944,2444,1424,1350,1261,1440
37063001503,495,547,0,1165,1044,665,655
37063001601,1480,3136,3563,3977,3610,3285,3291
37063001603,1446,4100,4448,4681,4505,4068,4417
37063001604,1378,3906,4692,4456,4995,5572,5206
37063001705,2234,3237,3809,3050,2539,2674,2753
37063001706,965,1312,2694,2652,2443,2288,2490
37063001707,2666,3663,4097,5283,5361,5412,5503
37063001708,920,535,702,368,416,308,455
37063001709,1176,658,518,511,758,781,830
37063001710,1103,1318,2147,1497,1251,1062,1260
37063001711,1134,1372,2648,1680,1022,1240,1152
37063001801,3453,3952,3661,2787,2126,2378,2026
37063001802,2196,1993,2022,1178,695,704,655
37063001806,1339,1687,1711,1605,2359,2335,2356
37063001807,2720,3426,3475,3260,2157,2346,2103
37063001808,1232,1553,1837,2080,2372,3310,3653
37063001809,1320,1664,1966,2226,2345,2234,2585
37063001900,1072,1738,1657,1481,2235,2465,2462
37063002007,1852,2123,2830,2904,2777,2923,2954
37063002008,1607,1843,2222,2519,2485,2596,2630
37063002009,165,151,26,47,85,45,39
37063002013,259,323,3292,2777,2512,2719,2601
37063002015,519,1963,2426,2182,1856,2252,2425
37063002016,396,1501,1491,1410,1297,1252,1436
37063002017,2655,2193,3291,4217,5092,5432,5630
37063002018,2508,2106,3318,4200,5296,5649,5596
37063002019,709,882,989,2578,3277,3567,3800
37063002020,380,472,530,1381,3542,4465,4373
37063002021,394,491,550,1435,2102,2406,2225
37063002022,716,891,999,2604,2045,2352,2504
37063002023,67,68,1756,1992,1686,2070,2022
37063002024,111,113,2936,3330,3904,3947,3978
37063002025,155,139,1052,997,1974,2401,2587
37063002026,114,102,772,732,680,671,758
37063002027,1980,2467,1704,1907,2480,2838,2300
37063002028,730,909,628,703,2522,3022,3162
37063002100,1665,2009,3525,4813,5103,5909,5833
37063002200,750,370,352,293,998,1150,1184
37063002300,2,1,33,70,80,134,145
37063980100,195,243,168,188,0,0,0
