year,fips,value
2013,370630001011,3
2013,370630001012,3
2013,370630001021,4
2013,370630001022,1
2013,370630002001,1
2013,370630002002,0
2013,370630002003,0
2013,370630003011,0
2013,370630003012,0
2013,370630003013,2
2013,370630003021,0
2013,370630003022,0
2013,370630003023,2
2013,370630004011,5
2013,370630004012,0
2013,370630004013,0
2013,370630004021,4
2013,370630005001,3
2013,370630005002,0
2013,370630005003,1
2013,370630005004,4
2013,370630006001,2
2013,370630006002,3
2013,370630006003,0
2013,370630007001,3
2013,370630007002,3
2013,370630007003,2
2013,370630009001,2
2013,370630009002,2
2013,370630010011,6
2013,370630010012,5
2013,370630010013,1
2013,370630010021,2
2013,370630010022,1
2013,370630010023,0
2013,370630010024,1
2013,370630011001,2
2013,370630011002,3
2013,370630013011,3
2013,370630013031,5
2013,370630013032,2
2013,370630013041,5
2013,370630014001,3
2013,370630014002,5
2013,370630015011,0
2013,370630015021,1
2013,370630015022,0
2013,370630015023,0
2013,370630015024,0
2013,370630015031,0
2013,370630016011,2
2013,370630016012,1
2013,370630016013,2
2013,370630016031,1
2013,370630016032,3
2013,370630016033,3
2013,370630016034,1
2013,370630016041,2
2013,370630016042,0
2013,370630016043,0
2013,370630017051,2
2013,370630017052,2
2013,370630017053,4
2013,370630017061,1
2013,370630017062,0
2013,370630017071,0
2013,370630017072,0
2013,370630017073,0
2013,370630017074,1
2013,370630017075,0
2013,370630017081,7
2013,370630017091,3
2013,370630017092,3
2013,370630017093,4
2013,370630017101,2
2013,370630017102,3
2013,370630017111,2
2013,370630017112,0
2013,370630017113,3
2013,370630018011,8
2013,370630018012,2
2013,370630018013,2
2013,370630018014,3
2013,370630018015,2
2013,370630018021,6
2013,370630018022,0
2013,370630018023,9
2013,370630018024,2
2013,370630018061,1
2013,370630018062,7
2013,370630018071,6
2013,370630018072,8
2013,370630018073,9
2013,370630018081,3
2013,370630018082,5
2013,370630018091,3
2013,370630018092,5
2013,370630019001,0
2013,370630019002,0
2013,370630020071,1
2013,370630020072,0
2013,370630020073,2
2013,370630020081,0
2013,370630020082,2
2013,370630020091,9
2013,370630020092,6
2013,370630020093,12
2013,370630020131,1
2013,370630020132,3
2013,370630020133,4
2013,370630020151,5
2013,370630020152,4
2013,370630020153,0
2013,370630020161,0
2013,370630020162,1
2013,370630020171,3
2013,370630020172,1
2013,370630020173,1
2013,370630020181,1
2013,370630020182,1
2013,370630020183,4
2013,370630020191,0
2013,370630020192,1
2013,370630020193,0
2013,370630020201,0
2013,370630020202,4
2013,370630020211,0
2013,370630020212,1
2013,370630020221,2
2013,370630020222,3
2013,370630020231,4
2013,370630020232,1
2013,370630020241,5
2013,370630020242,0
2013,370630020243,0
2013,370630020251,4
2013,370630020252,4
2013,370630020253,0
2013,370630020261,6
2013,370630020262,0
2013,370630020271,6
2013,370630020272,6
2013,370630020273,1
2013,370630020281,3
2013,370630020282,0
2013,370630020283,2
2013,370630021001,0
2013,370630021002,1
2013,370630021003,0
2013,370630022001,4
2013,370630023001,0
2013,370630023002,0
2013,370639801001,4
2014,370630001011,2
2014,370630001012,4
2014,370630001021,3
2014,370630001022,1
2014,370630002001,1
2014,370630002002,0
2014,370630002003,0
2014,370630003011,0
2014,370630003012,0
2014,370630003013,2
2014,370630003021,0
2014,370630003022,0
2014,370630003023,2
2014,370630004011,3
2014,370630004012,0
2014,370630004013,0
2014,370630004021,4
2014,370630005001,3
2014,370630005002,0
2014,370630005003,0
2014,370630005004,3
2014,370630006001,3
2014,370630006002,3
2014,370630006003,0
2014,370630007001,3
2014,370630007002,3
2014,370630007003,2
2014,370630009001,2
2014,370630009002,2
2014,370630010011,5
2014,370630010012,5
2014,370630010013,0
2014,370630010021,2
2014,370630010022,1
2014,370630010023,0
2014,370630010024,2
2014,370630011001,2
2014,370630011002,3
2014,370630013011,1
2014,370630013031,5
2014,370630013032,2
2014,370630013041,5
2014,370630014001,3
2014,370630014002,5
2014,370630015011,0
2014,370630015021,1
2014,370630015022,0
2014,370630015023,0
2014,370630015024,0
2014,370630015031,0
2014,370630016011,2
2014,370630016012,1
2014,370630016013,2
2014,370630016031,1
