fips,year,value
370630001011,2009,1
370630001011,2010,1
370630001011,2011,1
370630001011,2012,1
370630001011,2013,4
370630001011,2014,2
370630001011,2015,3
370630001011,2016,1
370630001011,2017,1
370630001011,2018,0
370630001011,2019,1
370630001011,2020,3
370630001011,2021,1
370630001011,2022,1
370630001011,2023,0
370630001011,2024,0
370630001012,2009,0
370630001012,2010,0
370630001012,2011,0
370630001012,2012,0
370630001012,2013,2
370630001012,2014,0
370630001012,2015,0
370630001012,2016,0
370630001012,2017,0
370630001012,2018,1
370630001012,2019,0
370630001012,2020,0
370630001012,2021,1
370630001012,2022,0
370630001012,2023,2
370630001012,2024,0
370630001021,2009,0
370630001021,2010,1
370630001021,2011,0
370630001021,2012,0
370630001021,2013,0
370630001021,2014,0
370630001021,2015,1
370630001021,2016,1
370630001021,2017,0
370630001021,2018,0
370630001021,2019,0
370630001021,2020,0
370630001021,2021,0
370630001021,2022,0
370630001021,2023,0
370630001021,2024,0
370630001022,2009,4
370630001022,2010,4
370630001022,2011,3
370630001022,2012,6
370630001022,2013,8
370630001022,2014,6
370630001022,2015,6
370630001022,2016,3
370630001022,2017,4
370630001022,2018,8
370630001022,2019,6
370630001022,2020,1
370630001022,2021,4
370630001022,2022,3
370630001022,2023,2
370630001022,2024,5
370630002001,2009,2
370630002001,2010,0
370630002001,2011,1
370630002001,2012,1
370630002001,2013,0
370630002001,2014,3
370630002001,2015,0
370630002001,2016,3
370630002001,2017,0
370630002001,2018,1
370630002001,2019,3
370630002001,2020,1
370630002001,2021,3
370630002001,2022,3
370630002001,2023,1
370630002001,2024,0
370630002002,2009,3
370630002002,2010,2
370630002002,2011,0
370630002002,2012,2
370630002002,2013,6
370630002002,2014,6
370630002002,2015,7
370630002002,2016,1
370630002002,2017,2
370630002002,2018,2
370630002002,2019,5
370630002002,2020,1
370630002002,2021,0
370630002002,2022,1
370630002002,2023,1
370630002002,2024,0
370630002003,2009,0
370630002003,2010,0
370630002003,2011,0
370630002003,2012,0
370630002003,2013,0
370630002003,2014,0
370630002003,2015,0
370630002003,2016,1
370630002003,2017,0
370630002003,2018,0
370630002003,2019,0
370630002003,2020,0
370630002003,2021,0
370630002003,2022,0
370630002003,2023,0
370630002003,2024,0
370630003011,2009,2
370630003011,2010,3
370630003011,2011,6
370630003011,2012,8
370630003011,2013,3
370630003011,2014,4
370630003011,2015,6
370630003011,2016,5
370630003011,2017,2
370630003011,2018,0
370630003011,2019,1
370630003011,2020,2
370630003011,2021,0
370630003011,2022,0
370630003011,2023,2
370630003011,2024,1
370630003012,2009,0
370630003012,2010,1
370630003012,2011,0
370630003012,2012,0
370630003012,2013,0
370630003012,2014,0
370630003012,2015,0
370630003012,2016,0
370630003012,2017,0
370630003012,2018,0
370630003012,2019,0
370630003012,2020,0
370630003012,2021,0
370630003012,2022,0
370630003012,2023,0
370630003012,2024,0
370630003013,2009,0
370630003013,2010,0
370630003013,2011,0
370630003013,2012,0
370630003013,2013,0
370630003013,2014,0
370630003013,2015,0
370630003013,2016,0
370630003013,2017,0
370630003013,2018,0
370630003013,2019,0
370630003013,2020,0
370630003013,2021,0
370630003013,2022,0
370630003013,2023,0
370630003013,2024,0
370630003021,2009,0
370630003021,2010,0
370630003021,2011,1
370630003021,2012,0
370630003021,2013,0
370630003021,2014,0
370630003021,2015,0
370630003021,2016,0
370630003021,2017,0
370630003021,2018,0
370630003021,2019,0
370630003021,2020,0
370630003021,2021,0
370630003021,2022,0
370630003021,2023,0
370630003021,2024,0
370630003022,2009,0
370630003022,2010,0
370630003022,2011,0
370630003022,2012,0
370630003022,2013,0
370630003022,2014,0
370630003022,2015,0
370630003022,2016,0
370630003022,2017,0
370630003022,2018,0
370630003022,2019,0
370630003022,2020,0
370630003022,2021,0
370630003022,2022,0
370630003022,2023,0
370630003022,2024,0
370630003023,2009,0
370630003023,2010,0
370630003023,2011,0
370630003023,2012,0
370630003023,2013,0
370630003023,2014,0
370630003023,2015,1
370630003023,2016,0
370630003023,2017,0
370630003023,2018,0
370630003023,2019,1
370630003023,2020,0
370630003023,2021,0
370630003023,2022,1
370630003023,2023,0
370630003023,2024,0
370630004011,2009,0
370630004011,2010,0
370630004011,2011,1
370630004011,2012,2
370630004011,2013,0
370630004011,2014,0
370630004011,2015,1
370630004011,2016,0
370630004011,2017,0
370630004011,2018,0
370630004011,2019,1
370630004011,2020,0
370630004011,2021,3
370630004011,2022,1
370630004011,2023,0
370630004011,2024,1
370630004012,2009,0
370630004012,2010,0
370630004012,2011,0
370630004012,2012,0
370630004012,2013,0
370630004012,2014,0
370630004012,2015,0
370630004012,2016,0
370630004012,2017,0
370630004012,2018,0
370630004012,2019,0
370630004012,2020,1
370630004012,2021,0
370630004012,2022,0
370630004012,2023,0
370630004012,2024,0
370630004013,2009,1
370630004013,2010,2
370630004013,2011,1
370630004013,2012,1
370630004013,2013,1
370630004013,2014,0
370630004013,2015,6
370630004013,2016,1
370630004013,2017,1
370630004013,2018,2
370630004013,2019,4
370630004013,2020,2
370630004013,2021,0
370630004013,2022,1
370630004013,2023,0
370630004013,2024,0
370630004021,2009,7
370630004021,2010,15
370630004021,2011,14
370630004021,2012,21
370630004021,2013,17
370630004021,2014,13
370630004021,2015,22
370630004021,2016,17
370630004021,2017,14
370630004021,2018,11
370630004021,2019,14
370630004021,2020,8
370630004021,2021,6
370630004021,2022,5
370630004021,2023,5
370630004021,2024,6
370630005001,2009,3
370630005001,2010,2
370630005001,2011,0
370630005001,2012,3
370630005001,2013,1
370630005001,2014,0
370630005001,2015,4
370630005001,2016,2
370630005001,2017,3
370630005001,2018,1
370630005001,2019,1
370630005001,2020,0
370630005001,2021,0
370630005001,2022,0
370630005001,2023,0
370630005001,2024,0
370630005002,2009,4
370630005002,2010,5
370630005002,2011,5
370630005002,2012,5
370630005002,2013,3
370630005002,2014,6
370630005002,2015,10
370630005002,2016,7
370630005002,2017,2
370630005002,2018,2
370630005002,2019,0
370630005002,2020,2
370630005002,2021,2
370630005002,2022,1
370630005002,2023,3
370630005002,2024,0
370630005003,2009,1
370630005003,2010,0
370630005003,2011,1
370630005003,2012,2
370630005003,2013,0
370630005003,2014,3
370630005003,2015,3
370630005003,2016,7
370630005003,2017,1
370630005003,2018,1
370630005003,2019,0
370630005003,2020,0
370630005003,2021,1
370630005003,2022,0
370630005003,2023,1
370630005003,2024,1
370630005004,2009,0
370630005004,2010,0
370630005004,2011,2
370630005004,2012,1
370630005004,2013,0
370630005004,2014,0
370630005004,2015,1
370630005004,2016,2
