year,fips,value
2015,370630001011,19
2017,370630001011,22
2018,370630001011,16
2019,370630001011,24
2015,370630001012,99
2017,370630001012,101
2018,370630001012,89
2019,370630001012,103
2015,370630001021,46
2017,370630001021,50
2018,370630001021,43
2019,370630001021,59
2015,370630001022,44
2017,370630001022,37
2018,370630001022,33
2019,370630001022,39
2015,370630002001,29
2017,370630002001,43
2018,370630002001,34
2019,370630002001,37
2015,370630002002,29
2017,370630002002,22
2018,370630002002,22
2019,370630002002,26
2017,370630002003,13
2015,370630003011,34
2017,370630003011,27
2018,370630003011,18
2019,370630003011,18
2015,370630003012,25
2017,370630003012,23
2018,370630003012,21
2019,370630003012,29
2015,370630003013,12
2019,370630003013,11
2015,370630003022,11
2017,370630003022,13
2019,370630003022,15
2017,370630003023,16
2018,370630003023,14
2019,370630003023,12
2015,370630004011,11
2015,370630004021,12
2017,370630004021,13
2015,370630005001,11
2017,370630005001,13
2018,370630005001,11
2015,370630005002,13
2015,370630005003,26
2017,370630005003,33
2018,370630005003,32
2019,370630005003,46
2015,370630005004,55
2017,370630005004,59
2018,370630005004,48
2019,370630005004,60
2015,370630006001,56
2017,370630006001,53
2018,370630006001,43
2019,370630006001,58
2015,370630006002,25
2017,370630006002,35
2018,370630006002,35
2019,370630006002,36
2015,370630007001,51
2017,370630007001,49
2018,370630007001,42
2019,370630007001,62
2015,370630007002,16
2017,370630007002,22
2018,370630007002,14
2019,370630007002,12
2015,370630007003,37
2017,370630007003,31
2018,370630007003,28
2019,370630007003,35
2015,370630009001,37
2017,370630009001,41
2018,370630009001,33
2019,370630009001,38
2015,370630009002,64
2017,370630009002,74
2018,370630009002,56
2019,370630009002,51
2015,370630010011,41
2017,370630010011,52
2018,370630010011,53
2019,370630010011,53
2015,370630010012,45
2017,370630010012,64
2018,370630010012,59
2019,370630010012,61
2015,370630010013,73
2017,370630010013,76
2018,370630010013,71
2019,370630010013,69
2015,370630010021,98
2017,370630010021,114
2018,370630010021,89
2019,370630010021,125
2015,370630010022,35
2017,370630010022,29
2018,370630010022,27
2019,370630010022,40
2015,370630010023,38
2017,370630010023,39
2018,370630010023,25
2019,370630010023,46
2015,370630010024,39
2017,370630010024,37
2018,370630010024,35
2019,370630010024,58
2015,370630011001,126
2017,370630011001,139
2018,370630011001,84
2019,370630011001,98
2015,370630011002,83
2017,370630011002,103
2018,370630011002,92
2019,370630011002,119
2015,370630013011,73
2017,370630013011,88
2018,370630013011,71
2019,370630013011,113
2015,370630013031,103
2017,370630013031,96
2018,370630013031,78
2019,370630013031,111
2015,370630013032,64
2017,370630013032,62
2018,370630013032,58
2019,370630013032,61
2015,370630013041,156
2017,370630013041,191
2018,370630013041,168
2019,370630013041,207
2015,370630014001,55
2017,370630014001,49
2018,370630014001,28
2019,370630014001,51
2015,370630014002,74
2017,370630014002,100
2018,370630014002,87
2019,370630014002,85
2015,370630015021,45
2017,370630015021,42
2018,370630015021,48
2019,370630015021,60
2015,370630015022,11
2015,370630015023,24
2017,370630015023,24
2018,370630015023,22
2019,370630015023,23
2015,370630015024,24
2017,370630015024,36
2018,370630015024,27
2019,370630015024,40
2015,370630016011,11
2017,370630016011,16
2018,370630016011,17
2019,370630016011,21
2015,370630016012,63
2017,370630016012,77
2018,370630016012,73
2019,370630016012,82
2015,370630016013,26
2017,370630016013,27
2018,370630016013,23
2019,370630016013,31
2018,370630016031,11
2015,370630016032,26
2017,370630016032,31
2018,370630016032,33
2019,370630016032,44
2015,370630016033,14
2017,370630016033,13
2018,370630016033,14
2019,370630016033,16
2015,370630016041,12
2017,370630016041,13
2018,370630016041,15
2019,370630016041,20
2015,370630016042,16
2017,370630016042,23
2018,370630016042,18
2019,370630016042,30
2015,370630016043,24
