year,fips,value
2015,370630001011,36
2017,370630001011,43
2018,370630001011,36
2019,370630001011,34
2015,370630001012,92
2017,370630001012,91
2018,370630001012,85
2019,370630001012,105
2015,370630001021,52
2017,370630001021,53
2018,370630001021,46
2019,370630001021,63
2015,370630001022,78
2017,370630001022,71
2018,370630001022,61
2019,370630001022,62
2015,370630002001,38
2017,370630002001,40
2018,370630002001,32
2019,370630002001,45
2015,370630002002,27
2017,370630002002,21
2018,370630002002,20
2019,370630002002,22
2015,370630002003,17
2017,370630002003,27
2018,370630002003,24
2019,370630002003,17
2015,370630003011,30
2017,370630003011,27
2018,370630003011,19
2019,370630003011,20
2015,370630003012,19
2017,370630003012,24
2018,370630003012,19
2019,370630003012,21
2015,370630003013,13
2017,370630003013,16
2018,370630003013,13
2019,370630003013,14
2015,370630003021,19
2017,370630003021,23
2018,370630003021,23
2019,370630003021,19
2015,370630003022,21
2017,370630003022,22
2018,370630003022,14
2019,370630003022,18
2015,370630003023,20
2017,370630003023,38
2018,370630003023,36
2019,370630003023,33
2015,370630004011,31
2017,370630004011,38
2018,370630004011,33
2019,370630004011,34
2015,370630004012,35
2017,370630004012,28
2018,370630004012,21
2019,370630004012,28
2015,370630004013,36
2017,370630004013,28
2018,370630004013,18
2019,370630004013,27
2015,370630004021,30
2017,370630004021,40
2018,370630004021,37
2019,370630004021,51
2015,370630005001,21
2017,370630005001,23
2018,370630005001,16
2019,370630005001,18
2015,370630005002,12
2019,370630005002,13
2015,370630005003,17
2017,370630005003,31
2018,370630005003,28
2019,370630005003,32
2015,370630005004,39
2017,370630005004,49
2018,370630005004,43
2019,370630005004,46
2015,370630006001,69
2017,370630006001,78
2018,370630006001,58
2019,370630006001,80
2015,370630006002,33
2017,370630006002,51
2018,370630006002,47
2019,370630006002,42
2015,370630006003,28
2017,370630006003,25
2018,370630006003,15
2019,370630006003,23
2015,370630007001,55
2017,370630007001,57
2018,370630007001,48
2019,370630007001,56
2015,370630007002,24
2017,370630007002,35
2018,370630007002,31
