year,fips,value
2015,370630001011,57
2017,370630001011,62
2018,370630001011,54
2019,370630001011,60
2015,370630001012,136
2017,370630001012,138
2018,370630001012,118
2019,370630001012,145
2015,370630001021,93
2017,370630001021,95
2018,370630001021,80
2019,370630001021,114
2015,370630001022,119
2017,370630001022,104
2018,370630001022,92
2019,370630001022,105
2015,370630002001,56
2017,370630002001,70
2018,370630002001,56
2019,370630002001,66
2015,370630002002,38
2017,370630002002,34
2018,370630002002,32
2019,370630002002,36
2015,370630002003,28
2017,370630002003,45
2018,370630002003,37
2019,370630002003,29
2015,370630003011,54
2017,370630003011,44
2018,370630003011,30
2019,370630003011,37
2015,370630003012,35
2017,370630003012,35
2018,370630003012,29
2019,370630003012,42
2015,370630003013,26
2017,370630003013,36
2018,370630003013,25
2019,370630003013,32
2015,370630003021,32
2017,370630003021,37
2018,370630003021,36
2019,370630003021,35
2015,370630003022,31
2017,370630003022,37
2018,370630003022,28
2019,370630003022,39
2015,370630003023,42
2017,370630003023,62
2018,370630003023,60
2019,370630003023,50
2015,370630004011,56
2017,370630004011,53
2018,370630004011,48
2019,370630004011,52
2015,370630004012,47
2017,370630004012,44
2018,370630004012,34
2019,370630004012,46
2015,370630004013,44
2017,370630004013,36
2018,370630004013,26
2019,370630004013,35
2015,370630004021,50
2017,370630004021,70
2018,370630004021,61
2019,370630004021,74
2015,370630005001,29
2017,370630005001,28
2018,370630005001,20
2019,370630005001,27
2015,370630005002,20
2017,370630005002,17
2018,370630005002,16
2019,370630005002,17
2015,370630005003,31
2017,370630005003,49
2018,370630005003,45
2019,370630005003,52
2015,370630005004,63
2017,370630005004,75
2018,370630005004,63
2019,370630005004,75
2015,370630006001,105
2017,370630006001,118
2018,370630006001,92
2019,370630006001,127
2015,370630006002,69
2017,370630006002,97
2018,370630006002,82
2019,370630006002,97
2015,370630006003,57
2017,370630006003,56
2018,370630006003,34
2019,370630006003,47
2015,370630007001,97
2017,370630007001,96
2018,370630007001,83
2019,370630007001,103
2015,370630007002,43
2017,370630007002,66
2018,370630007002,54
2019,370630007002,48
2015,370630007003,70
2017,370630007003,58
2018,370630007003,53
2019,370630007003,61
2015,370630009001,45
2017,370630009001,49
2018,370630009001,39
2019,370630009001,48
2015,370630009002,66
2017,370630009002,78
2018,370630009002,59
2019,370630009002,55
2015,370630010011,54
2017,370630010011,68
2018,370630010011,67
2019,370630010011,65
2015,370630010012,63
2017,370630010012,82
2018,370630010012,77
2019,370630010012,84
2015,370630010013,90
2017,370630010013,96
2018,370630010013,88
2019,370630010013,91
2015,370630010021,131
2017,370630010021,149
2018,370630010021,118
2019,370630010021,166
2015,370630010022,48
2017,370630010022,41
2018,370630010022,41
2019,370630010022,57
2015,370630010023,57
2017,370630010023,58
2018,370630010023,41
2019,370630010023,59
2015,370630010024,53
2017,370630010024,62
2018,370630010024,57
2019,370630010024,75
2015,370630011001,153
2017,370630011001,187
2018,370630011001,97
2019,370630011001,127
2015,370630011002,102
2017,370630011002,133
2018,370630011002,118
2019,370630011002,151
2015,370630013011,83
2017,370630013011,101
2018,370630013011,82
2019,370630013011,125
2015,370630013031,107
2017,370630013031,104
2018,370630013031,83
2019,370630013031,119
2015,370630013032,64
2017,370630013032,62
2018,370630013032,59
2019,370630013032,63
2015,370630013041,169
2017,370630013041,212
2018,370630013041,185
2019,370630013041,219
2015,370630014001,56
2017,370630014001,49
2018,370630014001,28
2019,370630014001,51
2015,370630014002,83
2017,370630014002,112
2018,370630014002,96
2019,370630014002,94
2015,370630015021,69
2017,370630015021,65
2018,370630015021,65
2019,370630015021,90
2015,370630015022,21
2017,370630015022,25
2015,370630015023,47
2017,370630015023,41
2018,370630015023,36
2019,370630015023,38
2015,370630015024,32
2017,370630015024,46
2018,370630015024,36
2019,370630015024,49
2015,370630016011,88
2017,370630016011,102
2018,370630016011,99
2019,370630016011,98
2015,370630016012,153
2017,370630016012,183
