id,y_2010,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021
370630001011,1261,973,1165,1369,1186,1099,1324,1068.696
370630001012,1891,1922,1861,1705,1883,2051,1975,2867.058
370630001021,2585,2716,2918,2900,2523,2302,2588.357,2111.836
370630001022,1950,1729,1588,1620,1863,2128,1841.643,1627.164
370630002001,861,1424,1219,1320,1273,1094,905,1248.512
370630002002,1111,844,903,1027,1049,1162,1039,1504.488
370630002003,974,922,1117,972,894,1087,949,652
370630003011,1019,1005,995,1068,1050,1108,952,1176.827
370630003012,728,609,714,768,657,592,677,514.303
370630003013,757,938,869,782,747,681,723,886.143
370630003021,779,809,849,986,916,938,874,1136
370630003022,1114,1141,1206,929,1111,1314,1122,1040
370630003023,1533,1528,1538,1495,1529,1567,1676,1434
370630004011,898,810,789,848,810,888,951,899.155
370630004012,931,1129,1189,1144,1160,1076,1075,886.018
370630004013,694,943,1057,975,946,936,701,902.55
370630004021,1963,2021,2054,2093,2242,2337,3095,2807.004
370630005001,1155,769,924,996,1007,1100,1179,1014.901
370630005002,584,649,616,529,622,576,654,765.099
370630005003,1289,954,1039,1017,894,899,1176,1010
370630005004,1065,1105,1191,1628,1973,1957,1135,1661.724
370630006001,2431,2973,2989,2889,2582,2817,2763,3344.276
370630006002,2228,2636,2406,2317,2461,2222,2242,1589.676
370630006003,518,539,622,528,516,465,550,489.324
370630007001,718,998,909,970,1169,1200,1413,1462
370630007002,1030,1087,1475,1324,1256,1276,1180,1226
370630007003,1082,1395,1347,1451,1181,1206,1108,1254
370630009001,801,1010,845,1089,1033,959,863,810
370630009002,867,1166,1154,1020,773,751,920,941
370630010011,878,1333,1296,884,694,864,907,836
370630010012,1299,1034,1175,1404,1694,1421,1490,1007
370630010013,1289,1963,1906,1513,1748,1421,1482,1829
370630010021,3045,2643,2654,2525,2209,3056,3059,2473
370630010022,787,1059,898,1097,924,674,859,1083
370630010023,846,802,641,749,916,860,850,605
370630010024,1296,1421,1583,1752,1730,1341,1372,1377
370630011001,1947,2087,2321,2116,1848,1760,2156,1720
370630011002,1278,1248,1296,1309,1325,1423,1995,1382
370630013011,1128,1292,1408,1384,1486,1382,1432,1957
370630013031,3121,2991,3122,3154,3175,3354,3456,3727.492
370630013032,555,474,469,492,753,631,596,809.508
370630013041,2557,2798,3006,3305,3226,3411,2781,2577
370630014001,984,733,626,438,397,353,773,636
370630014002,1625,1727,1916,1937,2108,2044,1973,1937
370630015011,3070,2836,2911,2948,3162,3387,3430,3559
370630015021,2391,2996,2827,2861,2878,2649,2150.906,2256.693
370630015022,1024,1011,947,806,756,828,1800.094,1665.307
370630015023,2117,1927,2129,1919,2145,2082,2733.015,1880.99
370630015024,454,507,389,455,398,369,299.985,312.01
370630015031,1941,1621,1642,1638,1671,1727,1861,1909
370630016011,1124,1482,1407,1488,1270,1342,1401,1341
370630016012,2984,2808,3190,3309,3603,3841,2950,2619.043
370630016013,1698,1548,1517,1264,1234,1252,1766,1223.957
370630016031,638,652,751,596,600,497,691,929.871
370630016032,2624,2893,2885,3136,3043,3294,3085,3820.721
370630016033,1227,1348,1210,1250,1240,1323,1309,1240.408
370630016034,1782,1362,1431,1506,1703,1715,1737,1244
370630016041,1979,1947,1882,1864,1793,1931,1982,2073.233
370630016042,2842,2744,2647,2781,2837,2817,2936,2855.767
370630016043,1824,2086,2070,2019,1902,1633,1737,1662
370630017051,1611,1667,1747,1362,1373,1722,1624,1714.973
370630017052,1535,2033,2084,2443,2229,1936,2374,1977.94
