"id","y_2010","y_2013","y_2014","y_2015","y_2016","y_2017","y_2018","y_2019"
370630001011,1261,893,962,973,1165,1369,1186,1099
370630001012,1891,1812,1776,1922,1861,1705,1883,2051
370630001021,2585,2673,2653,2716,2918,2900,2523,2302
370630001022,1950,1844,1727,1729,1588,1620,1863,2128
370630002001,861,1064,1255,1424,1219,1320,1273,1094
370630002002,1111,1096,856,844,903,1027,1049,1162
370630002003,974,1147,985,922,1117,972,894,1087
370630003011,1019,1382,1138,1005,995,1068,1050,1108
370630003012,728,661,647,609,714,768,657,592
370630003013,757,629,778,938,869,782,747,681
370630003021,779,692,716,809,849,986,916,938
370630003022,1114,1353,1218,1141,1206,929,1111,1314
370630003023,1533,1526,1454,1528,1538,1495,1529,1567
370630004011,898,724,733,810,789,848,810,888
370630004012,931,1020,1098,1129,1189,1144,1160,1076
370630004013,694,1287,1051,943,1057,975,946,936
370630004021,1963,1961,2044,2021,2054,2093,2242,2337
370630005001,1155,627,720,769,924,996,1007,1100
370630005002,584,542,524,649,616,529,622,576
370630005003,1289,811,787,954,1039,1017,894,899
370630005004,1065,854,1045,1105,1191,1628,1973,1957
370630006001,2431,2815,2900,2973,2989,2889,2582,2817
370630006002,2228,2523,2295,2636,2406,2317,2461,2222
370630006003,518,314,433,539,622,528,516,465
370630007001,718,999,1039,998,909,970,1169,1200
370630007002,1030,793,927,1087,1475,1324,1256,1276
370630007003,1082,1185,1325,1395,1347,1451,1181,1206
370630009001,801,928,1012,1010,845,1089,1033,959
370630009002,867,801,892,1166,1154,1020,773,751
370630010011,878,1475,1196,1333,1296,884,694,864
370630010012,1299,652,965,1034,1175,1404,1694,1421
370630010013,1289,2494,2070,1963,1906,1513,1748,1421
370630010021,3045,3049,2503,2643,2654,2525,2209,3056
370630010022,787,880,1112,1059,898,1097,924,674
370630010023,846,518,564,802,641,749,916,860
370630010024,1296,990,1464,1421,1583,1752,1730,1341
370630011001,1947,1574,1714,2087,2321,2116,1848,1760
370630011002,1278,1251,1249,1248,1296,1309,1325,1423
