"id","y_2011","y_2012","y_2013","y_2014","y_2015","y_2016","y_2017","y_2018"
370630001011,166,199,215,201,211,248,253,199
370630001012,381,298,217,250,248,299,321,380
370630001021,346,350,370,292,301,256,237,193
370630001022,312,272,245,262,272,261,234,233
370630002001,99,121,128,176,112,89,80,108
370630002002,138,127,141,111,139,102,94,114
370630002003,230,186,213,217,176,182,190,184
370630003011,100,130,114,104,57,70,85,106
370630003012,168,118,99,104,78,50,63,59
370630003013,87,78,62,73,84,68,72,80
370630003021,211,277,284,276,286,281,287,245
370630003022,205,200,178,155,189,238,212,262
370630003023,129,111,175,157,148,150,187,139
370630004011,169,197,194,232,281,279,246,208
370630004012,232,282,294,308,254,226,223,199
370630004013,203,195,179,198,203,205,185,171
370630004021,166,168,184,233,197,205,198,157
370630005001,10,0,0,0,0,0,0,0
370630005002,38,44,35,53,68,50,69,90
370630005003,126,102,70,55,69,98,90,137
370630005004,90,71,71,81,61,66,82,121
370630006001,458,489,305,338,277,232,330,379
370630006002,236,240,198,177,224,191,251,324
370630006003,105,86,103,156,192,204,178,146
370630007001,43,79,56,71,76,85,80,92
370630007002,187,217,220,215,208,272,306,337
370630007003,308,237,224,216,231,231,257,306
370630009001,15,0,0,0,0,0,35,63
370630009002,67,61,56,62,78,37,35,39
370630010011,154,98,77,63,47,30,55,64
370630010012,127,118,93,60,91,66,69,46
370630010013,24,19,27,89,88,61,70,89
370630010021,149,134,185,181,134,113,111,47
370630010022,25,65,99,117,102,112,95,74
370630010023,38,61,76,49,47,26,47,25
370630010024,100,107,122,74,69,81,109,57
370630011001,33,90,101,92,110,117,90,88
370630011002,44,46,79,77,61,93,55,42
370630013011,71,76,59,73,99,84,84,72
370630013031,76,54,79,80,77,82,92,70
370630013032,81,92,101,68,49,45,33,40
370630013041,119,119,126,149,131,117,117,142
370630014001,34,29,29,30,41,42,23,13
370630014002,95,89,106,16,23,42,31,23
370630015011,0,0,0,0,0,0,0,0
370630015021,57,42,48,61,38,13,2,1
370630015022,0,0,0,0,0,0,0,0
370630015023,0,0,0,0,0,0,0,6
370630015024,0,0,0,0,0,0,0,0
370630015031,0,0,0,0,0,0,0,0
370630016011,288,260,269,290,310,268,312,277
370630016012,1028,889,902,818,831,877,959,966
370630016013,263,280,251,309,326,368,366,353
370630016031,117,143,121,143,142,170,122,145
370630016032,712,790,828,844,836,792,819,802
370630016033,303,349,315,268,287,286,288,325
370630016034,572,550,508,424,430,462,474,545
370630016041,557,557,549,516,529,445,429,443
370630016042,824,765,775,824,849,827,881,815
370630016043,449,486,496,532,576,544,577,557
370630017051,381,355,373,323,343,330,328,318
370630017052,169,197,191,256,260,346,401,356
370630017053,228,251,254,257,207,188,89,133
370630017061,240,211,256,243,268,376,447,499
370630017062,536,493,443,382,376,309,279,353
370630017071,257,257,288,345,374,344,310,250
370630017072,391,451,544,493,439,378,329,269
370630017073,234,183,181,140,115,95,89,77
370630017074,550,572,532,544,538,543,560,610
370630017075,182,187,205,208,258,274,291,314
370630017081,767,837,887,954,1018,1032,1019,1038
370630017091,51,56,92,72,99,128,128,98
370630017092,102,79,75,108,155,174,183,163
370630017093,262,274,224,310,277,251,267,277
370630017101,631,748,721,640,574,600,551,538
370630017102,207,100,97,125,132,154,167,200
370630017111,74,99,76,85,82,101,114,122
370630017112,14,13,15,17,14,19,34,48
370630017113,109,120,105,89,119,138,122,139
370630018011,493,478,503,545,626,475,455,397
370630018012,62,40,47,62,83,124,141,151
370630018013,626,660,684,705,644,808,683,618
370630018014,193,230,186,163,199,163,189,340
370630018015,102,63,50,62,127,84,102,107
370630018021,333,392,431,492,416,417,406,294
370630018022,361,358,401,346,303,235,217,131
370630018023,439,375,326,329,314,233,162,186
370630018024,129,145,106,75,116,102,75,102
370630018061,466,547,526,473,450,418,294,247
370630018062,1119,1079,1021,1032,1012,1079,1226,1220
370630018071,493,523,586,533,520,455,404,329
370630018072,915,794,848,804,820,878,931,994
370630018073,867,909,776,818,785,755,669,674
370630018081,650,669,553,597,602,643,643,695
370630018082,688,789,1017,1070,1255,1414,1881,2104
370630018091,260,259,265,246,271,308,299,317
370630018092,724,756,749,638,579,563,508,497
370630019001,67,68,88,134,147,140,243,372
370630019002,515,570,683,720,838,936,907,906
370630020071,598,586,596,482,605,570,668,642
370630020072,474,471,443,505,389,471,466,492
370630020073,279,276,332,299,284,237,252,183
370630020081,242,212,181,175,220,237,214,239
370630020082,596,667,680,705,669,699,634,642
370630020091,428,440,389,302,247,249,242,270
370630020092,116,153,174,234,217,181,208,153
370630020093,282,327,309,341,340,250,197,195
370630020131,376,410,390,419,405,432,463,465
370630020132,177,171,157,174,138,160,147,242
370630020133,601,624,641,605,609,582,576,558
370630020151,185,171,149,211,236,238,245,192
370630020152,170,150,139,150,50,114,108,140
370630020153,15,15,18,0,11,14,12,14
370630020161,0,0,0,0,0,0,0,0
370630020162,161,144,111,97,146,143,117,238
370630020171,457,473,473,423,508,544,593,647
370630020172,454,433,412,400,454,393,360,362
370630020173,501,462,492,506,499,496,452,506
370630020181,336,344,401,398,371,325,382,473
370630020182,383,368,424,492,535,565,585,445
370630020183,665,736,727,642,625,696,802,818
370630020191,84,51,140,136,116,171,204,154
370630020192,224,199,236,253,221,264,276,266
370630020193,546,580,588,496,517,568,537,584
370630020201,610,588,541,674,697,596,624,574
370630020202,1115,1212,1214,1311,1278,1415,1326,1555
370630020211,545,509,506,368,392,294,318,284
370630020212,252,243,231,260,237,282,289,226
370630020221,169,162,153,162,129,182,157,133
370630020222,663,688,599,649,585,580,562,498
370630020231,169,215,263,236,216,251,198,214
370630020232,326,270,255,267,293,294,317,250
370630020241,1192,1174,1117,1072,925,1008,956,1083
370630020242,288,282,234,231,254,315,366,394
370630020243,482,478,475,534,405,431,327,331
370630020251,707,820,944,944,847,717,697,618
370630020252,765,744,686,668,669,622,568,547
370630020253,328,395,356,431,370,412,327,303
370630020261,367,417,428,461,428,424,407,464
370630020262,542,515,553,467,478,481,372,375
370630020271,179,188,293,371,378,342,391,506
370630020272,790,845,778,627,699,495,637,759
