"id","y_2011","y_2012","y_2013","y_2014","y_2015","y_2016","y_2017","y_2018","y_2019"
370630001011,196,185,239,275,295,289,304,270,133
370630001012,244,314,316,226,249,221,204,209,277
370630001021,463,557,646,750,762,844,882,854,755
370630001022,375,372,367,369,362,325,320,413,448
370630002001,273,261,304,367,355,365,353,285,241
370630002002,247,254,227,183,175,185,232,242,281
370630002003,199,253,248,143,181,214,147,123,149
370630003011,348,391,449,376,367,366,380,379,371
370630003012,129,156,196,193,186,255,233,163,159
370630003013,238,223,211,246,251,242,224,249,230
370630003021,18,17,20,37,62,94,82,96,105
370630003022,358,370,400,372,287,231,183,187,234
370630003023,550,541,521,526,573,579,516,491,452
370630004011,139,126,126,97,78,72,86,119,122
370630004012,59,76,71,64,98,121,101,95,115
370630004013,192,199,266,212,162,144,114,95,102
370630004021,888,863,829,755,760,756,813,997,1091
370630005001,270,151,132,147,105,131,133,106,105
370630005002,186,261,271,213,250,256,191,168,194
370630005003,379,336,367,390,425,428,419,348,362
370630005004,232,257,251,295,325,389,478,490,479
370630006001,382,408,508,505,631,814,740,692,738
370630006002,424,541,657,646,656,631,592,520,402
370630006003,0,9,13,31,32,38,33,62,82
370630007001,403,507,498,473,504,466,466,619,740
370630007002,62,37,71,157,186,243,223,167,98
370630007003,113,126,162,259,250,219,255,195,132
370630009001,272,299,288,295,276,279,295,306,259
370630009002,226,206,255,231,273,299,278,194,202
370630010011,286,316,318,289,305,282,240,197,243
370630010012,201,183,155,293,254,343,405,521,414
370630010013,360,460,474,358,343,337,333,336,348
370630010021,728,772,829,791,858,780,729,701,787
370630010022,175,163,224,286,240,163,252,226,254
370630010023,218,220,171,217,280,256,256,311,284
370630010024,250,192,155,318,310,378,444,512,384
370630011001,459,525,516,568,616,670,708,668,585
370630011002,394,370,395,432,419,428,496,487,549
370630013011,318,324,332,350,355,390,361,409,432
370630013031,246,268,280,317,330,361,379,321,292
370630013032,81,83,59,67,127,132,125,175,151
370630013041,708,737,725,738,847,925,953,923,933
370630014001,388,366,304,261,177,138,130,130,81
370630014002,505,513,521,599,604,569,603,636,583
370630015011,36,39,33,39,26,30,26,34,17
370630015021,881,933,895,1062,1101,1155,1199,1290,1189
370630015022,323,486,506,512,584,588,516,513,537
370630015023,826,811,839,884,914,1056,957,1022,1039
370630015024,335,319,311,318,271,270,284,212,185
370630015031,26,0,0,0,0,0,0,0,0
370630016011,56,34,43,34,38,32,27,35,78
370630016012,27,41,38,42,39,75,59,80,131
370630016013,119,192,211,211,122,132,98,41,52
370630016031,0,0,21,60,60,53,62,64,0
370630016032,13,0,0,16,15,44,110,106,171
370630016033,62,35,115,125,127,121,98,34,20
370630016034,15,6,8,6,5,0,0,0,0
370630016041,40,46,53,95,143,116,95,83,57
370630016042,58,57,86,23,46,36,47,28,46
370630016043,19,15,28,41,36,57,44,33,52
370630017051,132,155,106,168,221,218,176,151,127
370630017052,484,555,607,652,587,485,442,409,338
370630017053,333,245,255,304,327,429,480,437,367
370630017061,616,725,826,1014,903,917,930,834,759
370630017062,451,400,460,492,559,576,542,540,568
370630017071,37,55,60,52,24,43,28,42,45
370630017072,135,73,85,163,184,211,269,188,144
370630017073,0,0,0,0,0,0,0,0,0
