year,fips,value
2017,370630015023,507
2015,370630016032,106
2017,370630016032,121
2018,370630016032,121
2019,370630016032,134
2015,370630017101,58
2017,370630017101,69
2018,370630017101,61
2019,370630017101,72
2017,370630018082,182
2018,370630018082,165
2019,370630018082,211
2015,370630020173,185
2017,370630020173,191
2018,370630020173,170
2019,370630020173,190
2015,370630020182,131
2017,370630020183,91
2018,370630020183,93
2019,370630020183,108
2015,370630020202,185
2017,370630020202,241
2018,370630020202,213
2019,370630020202,283
2015,370630020222,89
2017,370630020222,70
2018,370630020222,66
2019,370630020222,71
2015,370630020241,196
2017,370630020241,222
2018,370630020241,188
2019,370630020241,216
2015,370630020251,146
2017,370630020251,149
2018,370630020251,150
2019,370630020251,164
2015,370630020272,157
2017,370630020272,169
2018,370630020272,147
2019,370630020272,180
2017,370630020281,93
2019,370630020281,81
2015,370630020283,196
2017,370630020283,291
2018,370630020283,226
2019,370630020283,295
