year,fips,value
2015,370630001011,700
2017,370630001011,728
2018,370630001011,661
2019,370630001011,804
2015,370630001012,1198
2017,370630001012,1229
2018,370630001012,1105
2019,370630001012,1314
2015,370630001021,1354
2017,370630001021,1375
2018,370630001021,1191
2019,370630001021,1488
2015,370630001022,1118
2017,370630001022,1099
2018,370630001022,982
2019,370630001022,1162
2015,370630002001,626
2017,370630002001,675
2018,370630002001,607
2019,370630002001,708
2015,370630002002,638
2017,370630002002,634
2018,370630002002,523
2019,370630002002,599
2015,370630002003,556
2017,370630002003,606
2018,370630002003,512
2019,370630002003,584
2015,370630003011,642
2017,370630003011,627
2018,370630003011,488
2019,370630003011,647
2015,370630003012,439
2017,370630003012,425
2018,370630003012,343
2019,370630003012,416
2015,370630003013,497
2017,370630003013,502
2018,370630003013,408
2019,370630003013,446
2015,370630003021,554
2017,370630003021,529
2018,370630003021,488
2019,370630003021,545
2015,370630003022,652
2017,370630003022,628
2018,370630003022,579
2019,370630003022,698
2015,370630003023,1087
2017,370630003023,1027
2018,370630003023,911
2019,370630003023,1017
2015,370630004011,665
2017,370630004011,665
2018,370630004011,594
2019,370630004011,671
2015,370630004012,626
2017,370630004012,646
2018,370630004012,571
2019,370630004012,648
2015,370630004013,520
2017,370630004013,513
2018,370630004013,461
2019,370630004013,509
2015,370630004021,1484
2017,370630004021,1840
2018,370630004021,1539
2019,370630004021,1913
2015,370630005001,378
2017,370630005001,314
2018,370630005001,230
2019,370630005001,278
2015,370630005002,530
2017,370630005002,481
2018,370630005002,399
2019,370630005002,450
2015,370630005003,701
2017,370630005003,671
2018,370630005003,568
2019,370630005003,706
2015,370630005004,642
2017,370630005004,638
2018,370630005004,561
2019,370630005004,698
2015,370630006001,1652
2017,370630006001,1628
2018,370630006001,1403
2019,370630006001,1665
2015,370630006002,1375
2017,370630006002,1400
2018,370630006002,1209
2019,370630006002,1351
2015,370630006003,522
2017,370630006003,511
2018,370630006003,346
2019,370630006003,475
2015,370630007001,676
2017,370630007001,848
2018,370630007001,723
2019,370630007001,900
2015,370630007002,660
2017,370630007002,697
2018,370630007002,646
2019,370630007002,695
2015,370630007003,647
2017,370630007003,660
2018,370630007003,628
2019,370630007003,680
2015,370630009001,502
2017,370630009001,521
2018,370630009001,446
2019,370630009001,524
2015,370630009002,659
2017,370630009002,671
2018,370630009002,551
2019,370630009002,616
2015,370630010011,594
2017,370630010011,635
2018,370630010011,552
2019,370630010011,636
2015,370630010012,766
2017,370630010012,821
2018,370630010012,737
2019,370630010012,831
2015,370630010013,912
2017,370630010013,941
2018,370630010013,816
2019,370630010013,977
