year,fips,value
2015,370630001011,96
2017,370630001011,105
2018,370630001011,101
2019,370630001011,108
2015,370630001012,233
2017,370630001012,237
2018,370630001012,200
2019,370630001012,248
2015,370630001021,204
2017,370630001021,189
2018,370630001021,166
2019,370630001021,213
2015,370630001022,182
2017,370630001022,167
2018,370630001022,143
2019,370630001022,161
2015,370630002001,94
2017,370630002001,105
2018,370630002001,88
2019,370630002001,95
2015,370630002002,98
2017,370630002002,83
2018,370630002002,66
2019,370630002002,66
2015,370630002003,49
2017,370630002003,46
2018,370630002003,33
2019,370630002003,35
2015,370630003011,108
2017,370630003011,87
2018,370630003011,56
2019,370630003011,79
2015,370630003012,75
2017,370630003012,69
2018,370630003012,53
2019,370630003012,62
2015,370630003013,36
2017,370630003013,37
2018,370630003013,31
2019,370630003013,39
2015,370630003021,48
2017,370630003021,34
2018,370630003021,27
2019,370630003021,28
2015,370630003022,57
2017,370630003022,56
2018,370630003022,44
2019,370630003022,67
2015,370630003023,80
2017,370630003023,71
2018,370630003023,64
2019,370630003023,70
2015,370630004011,63
2017,370630004011,58
2018,370630004011,50
2019,370630004011,62
2015,370630004012,28
2017,370630004012,25
2018,370630004012,22
2019,370630004012,30
2015,370630004013,40
2017,370630004013,35
2018,370630004013,31
2019,370630004013,35
2015,370630004021,81
2017,370630004021,77
2018,370630004021,59
2019,370630004021,76
2015,370630005001,28
2017,370630005001,21
2018,370630005001,15
2019,370630005001,16
2015,370630005002,37
2017,370630005002,37
2018,370630005002,31
2019,370630005002,30
2015,370630005003,95
2017,370630005003,93
2018,370630005003,84
2019,370630005003,105
2015,370630005004,116
2017,370630005004,121
2018,370630005004,106
2019,370630005004,131
2015,370630006001,179
2017,370630006001,164
2018,370630006001,127
2019,370630006001,174
2015,370630006002,143
2017,370630006002,130
2018,370630006002,105
2019,370630006002,131
2015,370630006003,34
2017,370630006003,27
2018,370630006003,16
2019,370630006003,19
2015,370630007001,99
2017,370630007001,93
2018,370630007001,84
2019,370630007001,111
2015,370630007002,60
2017,370630007002,55
2018,370630007002,43
2019,370630007002,50
2015,370630007003,77
2017,370630007003,63
2018,370630007003,62
2019,370630007003,76
2015,370630009001,117
2017,370630009001,113
2018,370630009001,87
2019,370630009001,106
2015,370630009002,130
2017,370630009002,131
2018,370630009002,104
2019,370630009002,99
2015,370630010011,129
2017,370630010011,131
2018,370630010011,113
2019,370630010011,118
2015,370630010012,137
2017,370630010012,143
2018,370630010012,126
2019,370630010012,140
2015,370630010013,201
2017,370630010013,187
2018,370630010013,163
2019,370630010013,182
2015,370630010021,316
2017,370630010021,320
2018,370630010021,263
2019,370630010021,338
2015,370630010022,91
2017,370630010022,100
2018,370630010022,96
2019,370630010022,116
2015,370630010023,95
2017,370630010023,90
2018,370630010023,72
2019,370630010023,97
2015,370630010024,143
2017,370630010024,145
2018,370630010024,129
2019,370630010024,156
2015,370630011001,295
2017,370630011001,289
2018,370630011001,178
2019,370630011001,194
2015,370630011002,221
2017,370630011002,215
2018,370630011002,184
2019,370630011002,228
2015,370630013011,161
2017,370630013011,156
2018,370630013011,124
2019,370630013011,177
2015,370630013031,159
2017,370630013031,164
2018,370630013031,141
2019,370630013031,153
2015,370630013032,84
2017,370630013032,87
2018,370630013032,82
2019,370630013032,82
2015,370630013041,307
2017,370630013041,314
2018,370630013041,273
2019,370630013041,327
2015,370630014001,131
2017,370630014001,111
2018,370630014001,66
2019,370630014001,102
2015,370630014002,168
2017,370630014002,187
2018,370630014002,161
2019,370630014002,168
2015,370630015021,171
2017,370630015021,176
2018,370630015021,151
2019,370630015021,188
2015,370630015022,24
2017,370630015022,27
2019,370630015022,13
2015,370630015023,68
2017,370630015023,69
2018,370630015023,52
2019,370630015023,65
2015,370630015024,114
2017,370630015024,114
2018,370630015024,80
2019,370630015024,98
2015,370630016011,88
2017,370630016011,108
2018,370630016011,103
2019,370630016011,121
2015,370630016012,259
2017,370630016012,274
2018,370630016012,256
2019,370630016012,313
2015,370630016013,178
2017,370630016013,192
2018,370630016013,176
2019,370630016013,212
2015,370630016031,65
2017,370630016031,62
2018,370630016031,58
2019,370630016031,67
2015,370630016032,215
2017,370630016032,234
2018,370630016032,212
2019,370630016032,259
2015,370630016033,137
2017,370630016033,156
2018,370630016033,134
2019,370630016033,165
2015,370630016034,117
2017,370630016034,120
2018,370630016034,116
2019,370630016034,131
2015,370630016041,172
2017,370630016041,182
2018,370630016041,178
2019,370630016041,202
2015,370630016042,184
2017,370630016042,188
2018,370630016042,171
2019,370630016042,220
2015,370630016043,153
2017,370630016043,160
2018,370630016043,157
2019,370630016043,197
2015,370630017051,145
2017,370630017051,139
2018,370630017051,124
2019,370630017051,156
2015,370630017052,158
2017,370630017052,177
2018,370630017052,181
2019,370630017052,200
2015,370630017053,133
2017,370630017053,128
2018,370630017053,111
2019,370630017053,127
2015,370630017061,137
2017,370630017061,138
2018,370630017061,124
2019,370630017061,153
2015,370630017062,122
2017,370630017062,110
2018,370630017062,95
2019,370630017062,129
2015,370630017071,86
2017,370630017071,93
2018,370630017071,89
2019,370630017071,99
2015,370630017072,133
2017,370630017072,134
2018,370630017072,128
2019,370630017072,146
2015,370630017073,42
2017,370630017073,44
2018,370630017073,42
2019,370630017073,49
2015,370630017074,136
2017,370630017074,142
2018,370630017074,138
2019,370630017074,153
2015,370630017075,70
2017,370630017075,94
2018,370630017075,84
2019,370630017075,125
2015,370630017081,501
2017,370630017081,538
2018,370630017081,516
2019,370630017081,620
2015,370630017091,163
2017,370630017091,163
2018,370630017091,163
2019,370630017091,168
2015,370630017092,157
2017,370630017092,157
2018,370630017092,122
2019,370630017092,140
2015,370630017093,408
2017,370630017093,469
2018,370630017093,444
2019,370630017093,519
2015,370630017101,237
2017,370630017101,248
2018,370630017101,217
2019,370630017101,263
2015,370630017102,137
2017,370630017102,123
2018,370630017102,125
2019,370630017102,144
2015,370630017111,100
2017,370630017111,110
2018,370630017111,94
2019,370630017111,137
2015,370630017112,153
2017,370630017112,123
2018,370630017112,109
2019,370630017112,131
2015,370630017113,146
2017,370630017113,141
2018,370630017113,121
2019,370630017113,161
2015,370630018011,201
2017,370630018011,201
2018,370630018011,188
2019,370630018011,220
2015,370630018012,76
2017,370630018012,69
2018,370630018012,61
2019,370630018012,91
2015,370630018013,285
2017,370630018013,325
2018,370630018013,304
2019,370630018013,355
2015,370630018014,114
2017,370630018014,133
2018,370630018014,129
2019,370630018014,140
2015,370630018015,90
2017,370630018015,87
2018,370630018015,73
2019,370630018015,100
2015,370630018021,219
2017,370630018021,238
2018,370630018021,203
2019,370630018021,235
2015,370630018022,161
2017,370630018022,152
2018,370630018022,149
2019,370630018022,195
2015,370630018023,259
2017,370630018023,261
2018,370630018023,230
2019,370630018023,283
2015,370630018024,96
2017,370630018024,88
2018,370630018024,79
2019,370630018024,97
2015,370630018061,183
2017,370630018061,166
2018,370630018061,159
2019,370630018061,192
2015,370630018062,321
2017,370630018062,360
2018,370630018062,334
2019,370630018062,401
2015,370630018071,236
2017,370630018071,252
2018,370630018071,231
2019,370630018071,317
2015,370630018072,326
2017,370630018072,334
2018,370630018072,304
2019,370630018072,377
2015,370630018073,289
2017,370630018073,291
2018,370630018073,261
2019,370630018073,314
2015,370630018081,186
2017,370630018081,191
2018,370630018081,177
2019,370630018081,203
2015,370630018082,313
2017,370630018082,421
2018,370630018082,366
2019,370630018082,484
2015,370630018091,183
2017,370630018091,203
2018,370630018091,167
2019,370630018091,230
2015,370630018092,201
2017,370630018092,191
2018,370630018092,174
2019,370630018092,199
2015,370630019001,161
2017,370630019001,226
