year,fips,value
2015,370630001011,38
2017,370630001011,36
2018,370630001011,35
2019,370630001011,38
2015,370630001012,35
2017,370630001012,32
2018,370630001012,27
2019,370630001012,33
2015,370630001021,54
2017,370630001021,49
2018,370630001021,43
2019,370630001021,54
2015,370630001022,67
2017,370630001022,62
2018,370630001022,57
2019,370630001022,66
2015,370630002001,21
2017,370630002001,25
2018,370630002001,22
2019,370630002001,22
2015,370630002002,15
2017,370630002002,14
2018,370630002002,11
2015,370630002003,18
2017,370630002003,21
2018,370630002003,17
2019,370630002003,19
2015,370630003011,17
2017,370630003011,24
2018,370630003011,20
2019,370630003011,26
2015,370630003013,14
2017,370630003013,15
2018,370630003013,12
2019,370630003013,13
2015,370630003021,31
2017,370630003021,22
2018,370630003021,20
2019,370630003021,22
2015,370630003022,19
2017,370630003022,18
2018,370630003022,16
2019,370630003022,20
2015,370630003023,37
2017,370630003023,32
2018,370630003023,33
2019,370630003023,32
2015,370630004011,40
2017,370630004011,38
2018,370630004011,32
2019,370630004011,36
2015,370630004012,17
2017,370630004012,15
2018,370630004012,12
2019,370630004012,16
2015,370630004013,26
2017,370630004013,22
2018,370630004013,21
2019,370630004013,23
2015,370630004021,42
2017,370630004021,47
2018,370630004021,42
2019,370630004021,41
2015,370630005001,11
2017,370630005002,12
2018,370630005002,11
2019,370630005002,11
2015,370630005004,11
2019,370630005004,13
2015,370630006001,45
2017,370630006001,41
2018,370630006001,33
2019,370630006001,42
2015,370630006002,34
2017,370630006002,30
2018,370630006002,27
2019,370630006002,29
2015,370630006003,19
2017,370630006003,15
2018,370630006003,14
2019,370630006003,13
2015,370630007001,29
2017,370630007001,23
2018,370630007001,21
2019,370630007001,30
2015,370630007002,26
2017,370630007002,20
2018,370630007002,14
2019,370630007002,17
2015,370630007003,19
2017,370630007003,17
2018,370630007003,15
2019,370630007003,22
2015,370630010011,11
2017,370630010011,15
2019,370630010011,15
2015,370630010012,17
2017,370630010012,22
2018,370630010012,17
2019,370630010012,17
2015,370630010013,26
2017,370630010013,24
2018,370630010013,20
2019,370630010013,26
2015,370630010021,25
2017,370630010021,30
2018,370630010021,28
2019,370630010021,28
2015,370630010022,14
2017,370630010022,13
2019,370630010022,13
2015,370630010023,12
2017,370630010023,11
2017,370630010024,11
2015,370630011001,34
2017,370630011001,43
2018,370630011001,14
2019,370630011001,18
2015,370630011002,18
2017,370630011002,13
2019,370630011002,29
2015,370630015021,19
2017,370630015021,20
2018,370630015021,19
2019,370630015021,32
2015,370630015022,11
2017,370630015022,12
2015,370630015023,16
2017,370630015023,16
2018,370630015023,11
2019,370630015023,15
2015,370630015024,14
2017,370630015024,15
2015,370630016011,67
2017,370630016011,74
2018,370630016011,72
2019,370630016011,81
2015,370630016012,102
2017,370630016012,104
2018,370630016012,94
2019,370630016012,110
2015,370630016013,129
2017,370630016013,138
2018,370630016013,125
2019,370630016013,149
2015,370630016031,47
2017,370630016031,42
2018,370630016031,37
2019,370630016031,42
2015,370630016032,121
2017,370630016032,122
2018,370630016032,111
2019,370630016032,117
2015,370630016033,97
2017,370630016033,102
2018,370630016033,82
