year,fips,value
2015,370630001012,742
2017,370630001012,773
2018,370630001012,689
2019,370630001012,809
2015,370630001021,812
2017,370630001021,821
2019,370630001021,887
2015,370630001022,684
2019,370630005003,407
2015,370630006001,959
2017,370630006001,971
2019,370630006001,953
2015,370630007001,386
2017,370630007001,465
2018,370630007001,396
2019,370630007001,489
2015,370630010011,337
2015,370630010012,464
2017,370630010012,489
2018,370630010012,446
2019,370630010012,507
2015,370630010021,1100
2017,370630010021,1068
2018,370630010021,900
2019,370630010021,1105
2015,370630011001,823
2017,370630011001,859
2019,370630011001,662
2015,370630011002,482
2018,370630011002,446
2019,370630011002,546
2019,370630013011,572
2015,370630013031,560
2015,370630013041,1071
2017,370630013041,1077
2018,370630013041,935
2019,370630013041,1085
2015,370630014001,415
2015,370630014002,551
2017,370630014002,569
2019,370630014002,551
2019,370630015021,950
2015,370630016012,1084
2017,370630016012,1147
2018,370630016012,1065
2019,370630016012,1229
2015,370630016013,620
2017,370630016013,687
2018,370630016013,617
2019,370630016013,713
2017,370630016032,1124
2019,370630016032,1228
2015,370630016034,600
2019,370630016034,716
2015,370630016041,765
2017,370630016041,811
2019,370630016041,877
2015,370630016042,991
2017,370630016042,1033
2018,370630016042,941
2019,370630016042,1054
2015,370630017051,589
2019,370630017051,646
2015,370630017052,783
2015,370630017053,515
2015,370630017072,601
2017,370630017072,661
2018,370630017072,615
2019,370630017072,679
2015,370630017075,632
2017,370630017075,733
2019,370630017075,854
2015,370630017081,1581
2017,370630017081,1715
2018,370630017081,1613
2019,370630017081,1913
2019,370630017091,391
2015,370630017092,420
2017,370630017092,420
2018,370630017092,350
2019,370630017092,419
2015,370630017093,1499
2017,370630017093,1646
2018,370630017093,1526
2019,370630017093,1892
2015,370630017101,968
2017,370630017101,1012
2019,370630017101,1143
2018,370630017113,586
2019,370630017113,700
2015,370630018013,938
2017,370630018013,1100
2018,370630018013,1033
2019,370630018013,1139
2019,370630018014,583
2015,370630018021,757
2017,370630018021,802
2018,370630018021,706
2019,370630018021,806
2015,370630018023,878
2017,370630018023,874
2018,370630018023,761
2019,370630018023,882
2015,370630018061,603
2017,370630018061,628
2018,370630018061,573
2019,370630018061,655
2015,370630018062,1350
2017,370630018062,1478
2018,370630018062,1370
2019,370630018062,1642
2015,370630018071,947
2017,370630018071,1018
2019,370630018071,1207
2017,370630018072,1256
2018,370630018072,1147
2019,370630018072,1370
2015,370630018073,983
2017,370630018073,1058
2018,370630018073,954
2019,370630018073,1087
2015,370630018082,1641
2017,370630018082,2273
2018,370630018082,2088
2019,370630018082,2595
2015,370630018091,976
2017,370630018091,1069
2018,370630018091,866
2019,370630018091,1303
2015,370630018092,879
2019,370630018092,899
2015,370630019001,539
2017,370630019001,874
2018,370630019001,660
2019,370630019001,1095
2015,370630020072,863
2017,370630020072,885
2018,370630020072,776
2019,370630020072,907
2015,370630020091,706
2017,370630020091,746
2018,370630020091,672
2019,370630020091,759
2015,370630020092,425
2017,370630020092,448
2018,370630020092,402
2019,370630020092,423
2015,370630020093,712
2017,370630020093,736
2018,370630020093,654
2019,370630020093,717
2017,370630020152,775
2019,370630020153,391
2015,370630020171,874
2017,370630020171,955
2018,370630020171,855
2019,370630020171,947
2017,370630020173,1288
2018,370630020173,1153
2019,370630020173,1308
2015,370630020182,1047
2017,370630020182,1022
2018,370630020182,917
2017,370630020202,1576
2019,370630020202,1704
2015,370630020222,956
2019,370630020222,913
2019,370630020251,841
2015,370630020252,882
2017,370630020252,885
2015,370630020261,755
2017,370630020261,813
2018,370630020261,810
2019,370630020261,846
2015,370630020262,1305
2017,370630020262,1298
2019,370630020262,1409
2015,370630020271,522
2018,370630020271,639
2019,370630020271,886
2015,370630020272,1582
2017,370630020272,1677
2018,370630020272,1467
2019,370630020272,1805
2015,370630021001,817
2017,370630021001,903
2019,370630021001,979
2015,370630021002,690
2017,370630021002,765
2018,370630021002,674
2019,370630021002,823
