year,fips,value
2015,370630001011,17
2017,370630001011,17
2018,370630001011,14
2019,370630001011,20
2015,370630001012,24
2017,370630001012,21
2018,370630001012,21
2019,370630001012,27
2015,370630001021,33
2017,370630001021,25
2018,370630001021,20
2019,370630001021,33
2015,370630001022,31
2017,370630001022,19
2018,370630001022,16
2019,370630001022,20
2015,370630002001,12
2017,370630002001,14
2018,370630002001,12
2019,370630002001,14
2015,370630002002,12
2015,370630003011,11
2017,370630003013,11
2015,370630003023,13
2017,370630003023,11
2015,370630004021,13
2017,370630004021,14
2015,370630005001,12
2017,370630005001,11
2015,370630005003,12
2017,370630005003,15
2018,370630005003,13
2019,370630005003,19
2015,370630005004,13
2017,370630005004,11
2018,370630005004,11
2019,370630005004,15
2015,370630006001,30
2017,370630006001,32
2018,370630006001,20
2019,370630006001,25
2015,370630006002,16
2017,370630006002,16
2018,370630006002,13
2019,370630006002,17
2015,370630007001,23
2017,370630007001,27
2018,370630007001,19
2019,370630007001,26
2015,370630007002,15
2017,370630007002,16
2018,370630007002,14
2019,370630007002,12
2015,370630007003,12
2019,370630007003,11
2015,370630009001,13
2017,370630009001,12
2019,370630009001,12
2015,370630009002,17
2017,370630009002,19
2018,370630009002,15
2019,370630009002,15
2015,370630010011,18
2017,370630010011,13
2019,370630010011,15
2015,370630010012,19
2017,370630010012,23
2018,370630010012,20
2019,370630010012,27
2015,370630010013,23
2017,370630010013,22
2018,370630010013,19
2019,370630010013,28
2015,370630010021,40
2017,370630010021,42
2018,370630010021,32
2019,370630010021,50
2017,370630010022,14
2019,370630010022,14
2015,370630010023,16
2017,370630010023,13
2019,370630010023,11
2015,370630011001,39
2017,370630011001,39
2018,370630011001,19
2019,370630011001,28
2015,370630011002,26
2017,370630011002,21
2018,370630011002,22
2019,370630011002,33
2015,370630013011,22
2017,370630013011,23
2018,370630013011,12
2019,370630013011,32
2015,370630013031,38
2017,370630013031,29
2018,370630013031,17
2019,370630013031,24
2015,370630013032,19
2017,370630013032,15
2018,370630013032,15
2019,370630013032,11
2015,370630013041,45
2017,370630013041,43
2018,370630013041,34
2019,370630013041,39
2015,370630014001,22
2017,370630014001,17
2019,370630014001,17
2015,370630014002,25
2017,370630014002,32
2018,370630014002,26
2019,370630014002,33
2015,370630015021,21
2017,370630015021,17
2018,370630015021,16
2019,370630015021,28
2015,370630015022,11
2019,370630015023,11
2015,370630015024,15
2017,370630015024,11
2018,370630015024,12
2019,370630015024,16
2015,370630016011,33
2017,370630016011,33
2018,370630016011,30
2019,370630016011,35
2015,370630016012,39
2017,370630016012,41
2018,370630016012,38
2019,370630016012,50
2015,370630016013,45
2017,370630016013,41
2018,370630016013,36
2019,370630016013,42
2015,370630016031,17
2017,370630016031,16
2018,370630016031,15
2019,370630016031,15
2015,370630016032,22
2017,370630016032,30
2018,370630016032,24
2019,370630016032,44
2015,370630016033,22
2017,370630016033,27
2018,370630016033,24
2019,370630016033,25
2015,370630016034,33
2017,370630016034,31
2018,370630016034,29
2019,370630016034,34
2015,370630016041,37
2017,370630016041,36
2018,370630016041,34
2019,370630016041,33
2015,370630016042,50
2017,370630016042,43
2018,370630016042,40
2019,370630016042,49
2015,370630016043,25
2017,370630016043,26
2018,370630016043,26
2019,370630016043,30
2015,370630017051,33
2017,370630017051,30
2018,370630017051,28
2019,370630017051,32
2015,370630017052,30
2017,370630017052,28
2018,370630017052,27
2019,370630017052,29
2015,370630017053,19
2017,370630017053,14
2018,370630017053,13
2019,370630017053,18
2015,370630017061,22
2017,370630017061,22
2018,370630017061,19
2019,370630017061,20
2015,370630017062,14
2017,370630017062,12
2019,370630017062,12
2015,370630017071,21
2017,370630017071,20
2018,370630017071,20
2019,370630017071,21
2015,370630017072,37
2017,370630017072,35
2018,370630017072,34
2019,370630017072,39
2015,370630017073,16
2017,370630017073,12
2018,370630017073,11
2019,370630017073,13
2015,370630017074,24
2017,370630017074,20
2018,370630017074,18
2019,370630017074,30
2015,370630017075,39
2017,370630017075,42
2018,370630017075,40
2019,370630017075,50
2015,370630017081,64
2017,370630017081,63
2018,370630017081,58
2019,370630017081,73
2015,370630017091,21
2017,370630017091,17
2018,370630017091,20
2019,370630017091,18
2015,370630017092,26
2017,370630017092,27
2018,370630017092,18
2019,370630017092,17
2015,370630017093,67
2017,370630017093,73
2018,370630017093,69
2019,370630017093,92
2015,370630017101,30
2017,370630017101,24
2018,370630017101,21
2019,370630017101,31
2015,370630017102,25
2017,370630017102,18
2018,370630017102,15
2019,370630017102,16
2015,370630017111,18
2017,370630017111,19
2018,370630017111,17
2019,370630017111,15
2015,370630017112,24
2017,370630017112,20
2019,370630017112,23
2015,370630017113,12
2017,370630017113,17
2018,370630017113,18
2019,370630017113,22
2015,370630018011,28
2017,370630018011,28
2018,370630018011,27
2019,370630018011,26
2015,370630018012,12
2015,370630018013,36
2017,370630018013,41
2018,370630018013,31
2019,370630018013,38
2015,370630018014,27
2017,370630018014,25
2018,370630018014,22
2019,370630018014,29
2015,370630018015,18
2017,370630018015,12
2019,370630018015,18
2015,370630018021,33
2017,370630018021,30
2018,370630018021,26
2019,370630018021,30
2015,370630018022,19
2017,370630018022,12
2018,370630018022,17
2019,370630018022,15
2015,370630018023,27
2017,370630018023,23
2018,370630018023,21
2019,370630018023,30
2019,370630018024,16
2015,370630018061,39
2017,370630018061,38
2018,370630018061,37
2019,370630018061,47
2015,370630018062,40
2017,370630018062,41
2018,370630018062,35
2019,370630018062,45
2015,370630018071,29
2017,370630018071,34
2018,370630018071,28
2019,370630018071,41
2015,370630018072,27
2017,370630018072,31
2018,370630018072,33
2019,370630018072,45
2015,370630018073,28
2017,370630018073,28
2018,370630018073,25
2019,370630018073,31
2015,370630018081,18
2017,370630018081,22
2018,370630018081,21
2019,370630018081,29
2015,370630018082,49
2017,370630018082,44
2018,370630018082,36
2019,370630018082,65
2015,370630018091,34
2017,370630018091,36
2018,370630018091,31
2019,370630018091,35
2015,370630018092,30
2017,370630018092,31
2018,370630018092,26
2019,370630018092,39
2015,370630019001,40
2017,370630019001,48
2018,370630019001,40
2019,370630019001,61
2015,370630019002,23
2017,370630019002,25
2018,370630019002,22
2019,370630019002,24
2015,370630020071,28
2017,370630020071,26
2018,370630020071,23
2019,370630020071,22
2015,370630020072,26
2017,370630020072,20
2018,370630020072,19
2019,370630020072,25
2015,370630020073,14
2017,370630020073,16
2018,370630020073,15
2019,370630020073,16
2015,370630020081,15
2017,370630020081,16
2018,370630020081,15
2019,370630020081,18
2015,370630020082,17
2017,370630020082,13
2018,370630020082,13
2019,370630020082,22
2015,370630020091,40
2017,370630020091,33
2018,370630020091,31
2019,370630020091,34
2015,370630020092,28
2017,370630020092,30
2018,370630020092,30
2019,370630020092,34
2015,370630020093,42
2017,370630020093,39
2018,370630020093,33
2019,370630020093,46
2015,370630020131,27
2017,370630020131,25
2018,370630020131,13
2019,370630020131,23
2015,370630020132,13
2017,370630020132,15
2019,370630020132,13
2015,370630020133,16
2017,370630020133,19
2018,370630020133,17
2019,370630020133,22
2015,370630020151,18
2017,370630020151,18
2018,370630020151,13
2019,370630020151,16
2015,370630020152,22
2017,370630020152,21
2018,370630020152,15
2019,370630020152,26
2015,370630020153,20
2017,370630020153,18
2018,370630020153,14
2019,370630020153,19
2019,370630020161,11
2015,370630020162,11
2015,370630020171,32
2017,370630020171,30
2018,370630020171,26
2019,370630020171,32
2015,370630020172,30
2017,370630020172,26
2018,370630020172,20
2019,370630020172,28
2015,370630020173,29
2017,370630020173,33
2018,370630020173,36
2019,370630020173,47
2015,370630020181,12
2019,370630020181,17
2015,370630020182,20
2017,370630020182,20
2018,370630020182,18
2019,370630020182,21
2015,370630020183,25
2017,370630020183,17
2018,370630020183,14
2019,370630020183,27
2019,370630020193,11
2015,370630020201,14
2017,370630020201,12
2019,370630020201,15
2015,370630020202,28
2017,370630020202,28
2018,370630020202,22
2019,370630020202,34
2015,370630020211,18
2017,370630020211,18
2018,370630020211,16
2019,370630020211,16
2015,370630020212,11
2019,370630020212,15
2015,370630020221,13
2017,370630020221,11
2015,370630020222,32
2017,370630020222,26
2018,370630020222,24
2019,370630020222,25
2015,370630020232,11
2019,370630020232,12
2015,370630020241,22
2017,370630020241,18
2018,370630020241,17
2019,370630020241,23
2019,370630020242,11
2019,370630020243,14
2015,370630020251,19
2017,370630020251,21
2018,370630020251,20
2019,370630020251,24
2015,370630020252,18
2017,370630020252,19
2018,370630020252,13
2019,370630020252,19
2017,370630020253,12
2018,370630020253,11
2015,370630020261,42
2017,370630020261,38
2018,370630020261,33
2019,370630020261,35
2015,370630020262,33
2017,370630020262,27
2018,370630020262,22
2019,370630020262,39
2015,370630020271,33
2017,370630020271,27
2018,370630020271,25
2019,370630020271,31
2015,370630020272,42
2017,370630020272,38
2018,370630020272,34
2019,370630020272,43
2015,370630020281,15
2017,370630020281,19
2018,370630020281,13
2019,370630020281,25
2015,370630020283,20
2017,370630020283,20
2018,370630020283,15
2019,370630020283,27
2015,370630021001,35
2017,370630021001,28
2018,370630021001,25
2019,370630021001,38
2015,370630021002,34
2017,370630021002,37
2018,370630021002,30
2019,370630021002,45
2015,370630021003,36
2017,370630021003,28
2018,370630021003,24
2019,370630021003,33
2015,370630022001,14
2017,370630022001,16
2018,370630022001,26
2019,370630022001,23
2015,370630023001,16
2017,370630023001,13
2018,370630023001,12
2019,370630023001,16
