year,fips,value
2019,370630001011,391
2015,370630001021,453
2017,370630001021,485
2019,370630001021,492
2015,370630001022,567
2017,370630001022,569
2019,370630001022,612
2015,370630006001,784
2017,370630006001,785
2015,370630007001,368
2017,370630007001,493
2017,370630007002,505
2015,370630011001,317
2017,370630011001,389
2015,370630016011,507
2017,370630016011,546
2018,370630016011,512
2019,370630016011,608
2015,370630016012,977
2017,370630016012,1039
2018,370630016012,940
2019,370630016012,1110
2015,370630016013,773
2017,370630016013,837
2018,370630016013,758
2019,370630016013,825
2015,370630016031,315
2017,370630016031,304
2018,370630016031,264
2019,370630016031,314
2015,370630016032,1048
2017,370630016032,1152
2018,370630016032,1066
2019,370630016032,1205
2015,370630016033,621
2017,370630016033,645
2018,370630016033,577
2019,370630016033,666
2015,370630016034,966
2017,370630016034,1021
2018,370630016034,954
2019,370630016034,1095
2015,370630016041,1048
2017,370630016041,1126
2018,370630016041,1039
2019,370630016041,1200
2015,370630016042,1443
2017,370630016042,1527
2018,370630016042,1399
2019,370630016042,1597
2015,370630016043,695
2017,370630016043,738
2018,370630016043,664
2019,370630016043,774
2015,370630017051,608
2017,370630017051,606
2018,370630017051,557
2019,370630017051,623
2015,370630017052,951
2017,370630017052,987
2018,370630017052,910
2019,370630017052,1055
2015,370630017061,1141
2017,370630017061,1207
2018,370630017061,1107
2019,370630017061,1193
2015,370630017062,772
2019,370630017062,739
2015,370630017071,639
2017,370630017071,616
2018,370630017071,560
2019,370630017071,670
2015,370630017072,866
2017,370630017072,927
2018,370630017072,868
2019,370630017072,978
2015,370630017073,389
2017,370630017073,395
2018,370630017073,347
2019,370630017073,395
2015,370630017074,914
2017,370630017074,1024
2018,370630017074,960
2019,370630017074,1119
2015,370630017075,956
2017,370630017075,1088
2018,370630017075,992
2019,370630017075,1250
2015,370630017081,339
2017,370630017081,359
2018,370630017081,334
2019,370630017081,389
2015,370630017093,387
2017,370630017093,440
2018,370630017093,379
2019,370630017093,474
2015,370630017101,618
2017,370630017101,625
2018,370630017101,564
2019,370630017101,691
2019,370630017112,213
2015,370630018011,367
2017,370630018011,379
2018,370630018011,345
2019,370630018011,377
2015,370630018013,358
2017,370630018013,373
2018,370630018013,339
2019,370630018013,392
2015,370630018014,332
2017,370630018014,330
2018,370630018014,301
2019,370630018014,326
2015,370630018015,342
2017,370630018015,364
2018,370630018015,316
2019,370630018015,379
2015,370630018061,917
2017,370630018061,907
2018,370630018061,830
2019,370630018061,976
2015,370630018062,630
2017,370630018062,623
2018,370630018062,533
2019,370630018062,653
2015,370630018071,504
2017,370630018071,457
2018,370630018071,376
2019,370630018071,482
2015,370630018072,558
2017,370630018072,553
2018,370630018072,484
2019,370630018072,599
2015,370630018073,236
2017,370630018073,268
2019,370630018073,273
2015,370630018081,588
2017,370630018081,595
2018,370630018081,553
2019,370630018081,598
2015,370630018082,1510
2017,370630018082,1862
2018,370630018082,1697
2019,370630018082,2063
2015,370630018091,726
2017,370630018091,738
2018,370630018091,559
2019,370630018091,833
2015,370630018092,849
2017,370630018092,884
2018,370630018092,799
2019,370630018092,833
2015,370630019001,819
2017,370630019001,1326
2018,370630019001,1002
2019,370630019001,1589
2015,370630019002,836
2017,370630019002,859
2018,370630019002,745
2019,370630019002,833
2015,370630020071,815
2017,370630020071,875
2018,370630020071,789
2019,370630020071,863
2015,370630020081,617
2017,370630020081,625
2018,370630020081,568
2019,370630020081,666
2015,370630020082,987
2017,370630020082,1063
2018,370630020082,968
2019,370630020082,1144
2015,370630020131,434
2017,370630020132,315
2019,370630020132,300
2015,370630020133,710
2017,370630020133,723
2018,370630020133,641
2019,370630020133,718
2015,370630020151,491
2017,370630020151,492
2015,370630020153,425
2017,370630020153,469
2018,370630020153,432
2019,370630020153,458
2015,370630020171,1290
2017,370630020171,1372
2018,370630020171,1220
2019,370630020171,1437
2015,370630020172,865
2017,370630020172,852
2018,370630020172,779
2019,370630020172,895
2015,370630020173,1418
2017,370630020173,1455
2018,370630020173,1313
2019,370630020173,1530
2019,370630020181,930
2015,370630020182,898
2017,370630020182,912
2018,370630020182,823
2019,370630020182,956
2015,370630020183,1159
2017,370630020183,1215
2019,370630020183,1294
2019,370630020201,827
2015,370630020202,1399
2017,370630020202,1610
2019,370630020202,1800
2015,370630020211,933
2017,370630020211,942
2018,370630020211,817
2019,370630020211,997
2015,370630020222,898
2017,370630020222,894
2018,370630020222,802
2019,370630020222,920
2015,370630020241,1490
2017,370630020241,1643
2018,370630020241,1474
2019,370630020241,1721
2015,370630020271,399
2017,370630020271,551
2018,370630020271,460
2019,370630020271,641
2015,370630020272,1017
2017,370630020272,1079
2018,370630020272,914
2019,370630020272,1107
2017,370630020281,712
2019,370630020281,797
2019,370630020283,880
2015,370630021001,1166
2017,370630021001,1327
2018,370630021001,1189
2019,370630021001,1382
2015,370630021002,908
2017,370630021002,1023
2018,370630021002,901
2019,370630021002,1095
2015,370630021003,916
2017,370630021003,1015
2018,370630021003,944
2019,370630021003,1077
2018,370630022001,865
