year,fips,value
2001,370630001011,0.6509
2001,370630001012,0.4472
2001,370630001021,0.7112
2001,370630001022,0.7197
2001,370630002001,0.7143
2001,370630002002,0.5322
2001,370630002003,0.3968
2001,370630003011,0.5405
2001,370630003012,0.1836
2001,370630003013,0.2554
2001,370630003021,0.2525
2001,370630003022,0.3047
2001,370630003023,0.6332
2001,370630004011,0.6227
2001,370630004012,0.4788
2001,370630004013,0.74
2001,370630004021,0.5782
2001,370630005001,0.7327
2001,370630005002,0.6235
2001,370630005003,0.6669
2001,370630005004,0.5415
2001,370630006001,0.4428
2001,370630006002,0.3285
2001,370630006003,0.205
2001,370630007001,0.6941
2001,370630007002,0.4879
2001,370630007003,0.3326
2001,370630009001,0.6304
2001,370630009002,0.4948
2001,370630010011,0.6039
2001,370630010012,0.4968
2001,370630010013,0.6001
2001,370630010021,0.6051
2001,370630010022,0.6951
2001,370630010023,0.3191
2001,370630010024,0.2529
2001,370630011001,0.6505
2001,370630011002,0.6489
2001,370630013011,0.4929
2001,370630013031,0.651
2001,370630013032,0.3164
2001,370630013041,0.7256
2001,370630014001,0.5076
2001,370630014002,0.7104
2001,370630015011,0.0382
2001,370630015021,0.6341
2001,370630015022,0
2001,370630015023,0.4513
2001,370630015024,0.0532
2001,370630015031,0
2001,370630016011,0.5702
2001,370630016012,0.6267
2001,370630016013,0.4323
2001,370630016031,0.5407
2001,370630016032,0.6216
2001,370630016033,0.6557
2001,370630016034,0.5121
2001,370630016041,0.5525
2001,370630016042,0.4049
2001,370630016043,0.5048
2001,370630017051,0.3313
2001,370630017052,0.6847
2001,370630017053,0.6797
2001,370630017061,0.3744
2001,370630017062,0.4996
2001,370630017071,0.4214
2001,370630017072,0.6463
2001,370630017073,0.1918
2001,370630017074,0.6594
2001,370630017075,0.6259
2001,370630017081,0.7816
2001,370630017091,0.3982
2001,370630017092,0.3711
2001,370630017093,0.746
2001,370630017101,0.7471
2001,370630017102,0.4848
2001,370630017111,0.7913
2001,370630017112,0.6312
2001,370630017113,0.6987
2001,370630018011,0.5641
2001,370630018012,0.2707
2001,370630018013,0.7188
2001,370630018014,0.683
2001,370630018015,0.5515
2001,370630018021,0.6923
2001,370630018022,0.4286
2001,370630018023,0.6691
2001,370630018024,0.7576
2001,370630018061,0.6575
2001,370630018062,0.5169
2001,370630018071,0.6012
2001,370630018072,0.54
2001,370630018073,0.0936
2001,370630018081,0.2564
2001,370630018082,0.5988
2001,370630018091,0.7598
2001,370630018092,0.6917
2001,370630019001,0.406
2001,370630019002,0.6247
2001,370630020071,0.0937
2001,370630020072,0.4925
2001,370630020073,0.1332
2001,370630020081,0.4702
2001,370630020082,0.1842
2001,370630020091,0.7341
2001,370630020092,0.6251
2001,370630020093,0.5375
2001,370630020131,0.3785
2001,370630020132,0.5661
2001,370630020133,0.4821
