"id","y_2011","y_2012","y_2013","y_2014","y_2015","y_2016","y_2017","y_2018","y_2019"
370630001011,19114,19422,19350,7812,7040,12224,9575,16645,9310
370630001012,8851,9568,15350,7687,11398,10246,12495,11418,14712
370630001021,10820,8304,11792,10021,9526,12092,6227,5700,11976
370630001022,4642,5576,6475,9508,11281,7010,4907,9682,12686
370630002001,18818,17060,18202,14021,16880,14190,13242,16562,NA
370630002002,17439,10238,4646,12367,7645,10139,8309,12761,16811
370630002003,31338,30285,29217,27210,32941,20368,38127,40885,26685
370630003011,5441,2468,5738,8592,9565,10191,11971,8678,9919
370630003012,26234,17698,19128,21578,13451,16809,12693,14827,12824
370630003013,19464,10759,9724,12460,16516,24922,36821,41854,29674
370630003021,23381,33800,32321,14671,12741,19832,12136,13903,26092
370630003022,27760,26083,16030,12610,10609,9705,8671,39648,23994
370630003023,3244,6167,7385,4377,8171,13233,17748,25591,22972
370630004011,11614,29131,36992,27049,21131,14905,26791,21676,11759
370630004012,29260,24665,30730,42524,27841,10309,25093,63532,44320
370630004013,37044,33003,52588,31062,23386,17634,27135,28935,30558
370630004021,7835,13991,15531,13280,5739,9107,12408,10065,9210
370630005001,1946,7369,13762,11711,NA,8434,12791,9910,9748
370630005002,13213,7236,5889,6533,6809,11165,17818,18057,19298
370630005003,4955,8478,3939,5734,4687,5691,3718,8601,8931
370630005004,6696,2650,4778,13005,13734,9656,6068,5456,14616
370630006001,12079,14222,14155,14658,17209,2388,9460,3961,11462
370630006002,15013,22276,11480,8095,11056,5247,17966,16894,26382
370630006003,35219,22689,36902,30759,51059,55013,108766,65544,NA
370630007001,9241,3560,4203,4517,5614,7963,9004,22051,17339
370630007002,47343,34014,44079,7274,13394,15646,21236,36741,39028
370630007003,32704,48344,34414,37597,47144,46768,44752,56536,42587
370630009001,6339,8794,10064,6820,10146,11922,6741,3562,4907
370630009002,7048,3686,6575,5177,4118,4298,8491,22367,23926
370630010011,13443,11847,23572,35095,25204,21482,25922,19676,24749
370630010012,5689,1943,2114,7244,6187,3673,3855,6088,4932
370630010013,7922,10919,12207,22159,20670,16310,15868,12349,10032
370630010021,11441,7162,1963,3962,6267,7514,14632,9388,10627
370630010022,6272,5015,7863,7941,18430,21653,NA,9125,3542
370630010023,17678,24487,19058,17567,15630,18554,20822,17160,15236
370630010024,7821,14179,13688,7374,16062,21306,27002,12963,10112
370630011001,2943,1575,2032,1780,2580,4234,5841,3694,3258
370630011002,2663,5340,2471,2895,3816,2688,3661,5395,6692
370630013011,6569,5896,6259,4097,4534,4622,10795,10711,6511
370630013031,7662,14862,10397,5198,9822,7068,8762,4718,20174
370630013032,23308,18882,11533,17650,11537,15649,21302,17700,18743
370630013041,5281,3761,4913,4369,2232,2008,7166,4378,4113
370630014001,7572,5901,6129,6772,10268,13739,4131,5062,23288
