"id","y_2011","y_2012","y_2013","y_2014","y_2015","y_2016","y_2017","y_2018","y_2019"
370630001011,10051,5649,5237,5194,5711,5493,5673,7699,773.802749045079
370630001012,3729,3468,3070,2910,2612,3354,5278,7250,212.308370275858
370630001021,3069,3190,3061,3331,3352,3685,3147,3188,247.079756033595
370630001022,4453,3975,5802,5124,5102,5633,4968,4507,138.20392335408
370630002001,8588,7612,6192,4529,3242,4089,5958,8439,1089.74965823908
370630002002,4245,5042,4324,4996,4998,4175,8976,8025,245.085396182925
370630002003,8245,7394,7872,8221,9407,9973,9881,9961,1416.53709291978
370630003011,4757,4052,3605,3661,3631,3504,4503,4569,159.862923100389
370630003012,4781,4346,6070,5511,5432,5203,6547,6556,1874.84800003372
370630003013,8047,9630,8323,7680,5977,8635,13927,13982,1884.91496519778
370630003021,10813,12844,13229,12183,6789,7295,12582,15513,355.625527715154
370630003022,7814,7702,5869,7670,8497,10517,9529,9267,1052.76892641477
370630003023,8096,8073,8601,7688,6688,8799,9337,8516,250.452805797071
370630004011,8997,9264,9750,9150,7576,7251,7084,8064,1216.23842319787
370630004012,6504,6023,6195,6448,6908,5588,7614,8534,1120.70763185704
370630004013,7808,9572,9102,6599,6591,7172,5796,6320,1257.09062199479
370630004021,5215,5161,4844,5440,3326,3801,4621,4676,168.643529847941
370630005001,2606,3763,4490,3997,4708,3750,3571,3242,242.064326703151
370630005002,6193,8954,7206,8176,5767,9309,8198,12313,3151.85731510839
370630005003,3618,4139,3369,3219,3614,3670,4793,6493,864.492978679551
370630005004,3162,2897,3375,3055,2972,3082,3143,2218,258.582084152442
370630006001,5828,10038,8286,6807,6118,6019,4483,5486,343.400241543671
370630006002,5480,6027,5117,6367,6028,7448,8872,9605,476.883969793271
370630006003,37812,19409,21767,14467,21732,19181,42510,42475,6565.49237679212
370630007001,4294,4482,4602,5751,4236,5480,6484,6237,718.908781705466
370630007002,23413,19942,14851,14291,11962,13301,10513,13158,545.743777706876
370630007003,7374,9151,9168,7669,8187,16027,15640,21291,617.671843850468
