id,y_2010,y_2015,y_2016
370630001011,,205,195
370630001012,,470,482
370630001021,,413,500
370630001022,,307,313
370630002001,,318,514
370630002002,,224,281
370630002003,,189,288
370630003011,,226,245
370630003012,,185,190
370630003013,,235,194
370630003021,,160,158
370630003022,,309,355
370630003023,,281,241
370630004011,,150,145
370630004012,,220,176
370630004013,,192,203
370630004021,,167,184
370630005001,,215,233
370630005002,,135,154
370630005003,,286,302
370630005004,,296,306
370630006001,,657,627
370630006002,,559,584
370630006003,,165,167
370630007001,,207,179
370630007002,,206,375
370630007003,,296,287
370630009001,,354,209
370630009002,,298,257
370630010011,,557,586
370630010012,,402,364
370630010013,,697,625
370630010021,,572,659
370630010022,,473,537
370630010023,,434,410
370630010024,,696,716
370630011001,,391,386
370630011002,,296,257
370630013011,,228,209
370630013031,,445,343
370630013032,,152,165
370630013041,,347,345
370630014001,,235,215
370630014002,,264,344
370630015011,,345,530
370630015021,,585,516
370630015022,,257,230
370630015023,,314,292
370630015024,,290,214
370630015031,,194,225
370630016011,,343,344
370630016012,,472,609
370630016013,,562,461
370630016031,,214,249
370630016032,,407,463
370630016033,,395,332
370630016034,,295,273
370630016041,,322,372
370630016042,,337,325
370630016043,,400,352
370630017051,,342,458
370630017052,,387,437
370630017053,,280,415
370630017061,,437,437
370630017062,,384,411
370630017071,,234,281
370630017072,,342,347
370630017073,,122,173
370630017074,,353,335
370630017075,,262,296
370630017081,,442,328
370630017091,,426,371
370630017092,,354,346
370630017093,,658,668
370630017101,,386,492
370630017102,,433,348
370630017111,,474,347
370630017112,,431,389
370630017113,,315,302
370630018011,,644,557
370630018012,,201,365
370630018013,,673,842
370630018014,,614,584
370630018015,,208,234
370630018021,,640,568
370630018022,,609,601
370630018023,,624,633
370630018024,,460,408
370630018061,,390,415
370630018062,,478,582
370630018071,,609,685
370630018072,,855,668
370630018073,,548,603
370630018081,,465,461
370630018082,,530,449
370630018091,,686,488
370630018092,,453,525
370630019001,,172,168
370630019002,,245,262
370630020071,,399,331
370630020072,,397,502
370630020073,,172,227
370630020081,,161,166
370630020082,,193,220
370630020091,,352,452
370630020092,,255,307
370630020093,,289,351
370630020131,,296,277
370630020132,,195,184
370630020133,,265,247
370630020151,,539,585
370630020152,,421,591
370630020153,,203,245
370630020161,,531,644
370630020162,,400,468
370630020171,,342,273
370630020172,,308,296
370630020173,,444,372
370630020181,,255,288
370630020182,,492,670
370630020183,,387,498
370630020191,,478,424
370630020192,,328,322
370630020193,,246,272
370630020201,,516,470
370630020202,,526,538
370630020211,,374,359
370630020212,,444,531
370630020221,,331,354
370630020222,,411,305
370630020231,,232,293
370630020232,,384,343
370630020241,,396,456
370630020242,,224,221
370630020243,,211,182
370630020251,,538,464
370630020252,,486,454
370630020253,,412,334
370630020261,,511,509
370630020262,,779,753
370630020271,,630,467
370630020272,,815,828
370630020273,,522,683
370630020281,,520,503
370630020282,,542,469
370630020283,,457,491
370630021001,,316,307
370630021002,,462,420
370630021003,,315,301
370630022001,,270,223
370630023001,,197,200
370630023002,,164,184
370639801001,,12,12
