id,y_2011,y_2016,y_2019,y_2021,y_2022,y_2023
370630001011,10,1,1,1,1,1
370630001012,7,1,1,1,3,3
370630001021,1,0,3,1,6,6
370630001022,1,1,0,1,9,9
370630002001,2,4,2,1,2,2
370630002002,1,1,1,1,1,1
370630002003,1,1,1,2,2,2
370630003011,0,2,1,1,1,1
370630003012,3,1,1,2,2,2
370630003013,2,2,2,1,1,1
370630003021,2,1,1,1,1,1
370630003022,1,1,1,1,2,2
370630003023,0,1,1,1,1,1
370630004011,2,2,2,1,3,3
370630004012,1,1,1,1,3,3
370630004013,1,1,1,1,4,4
370630004021,3,1,1,1,6,6
370630005001,2,1,2,2,7,7
370630005002,2,2,2,5,5,5
370630005003,1,2,2,1,2,4
370630005004,3,1,1,1,1,1
370630006001,1,1,1,1,2,1
370630006002,0,1,1,1,4,4
370630006003,4,5,5,2,4,4
370630007001,1,2,1,2,1,1
370630007002,2,1,1,1,1,1
370630007003,1,1,5,1,1,1
370630009001,8,1,1,2,2,2
370630009002,2,5,4,1,1,1
370630010011,9,4,3,4,2,2
370630010012,2,4,2,2,5,8
370630010013,12,1,1,1,1,1
370630010021,3,2,2,1,2,2
370630010022,1,2,7,1,1,1
370630010023,2,1,1,2,4,3
370630010024,4,6,5,1,1,1
370630011001,2,1,1,1,5,6
370630011002,1,1,1,1,2,1
370630013011,6,1,1,1,8,7
370630013031,0,1,1,0,1,1
370630013032,2,2,2,1,0,1
370630013041,0,10,9,1,2,3
370630014001,1,3,3,2,2,2
370630014002,3,1,1,1,1,3
370630015011,2,0,0,1,1,1
370630015021,0,1,1,1,4,3
370630015022,6,2,1,1,3,2
370630015023,0,3,9,1,4,6
370630015024,1,9,5,3,3,1
370630015031,2,1,1,1,1,1
370630016011,1,1,1,1,1,1
370630016012,0,3,2,1,4,4
370630016013,1,1,1,1,3,4
370630016031,2,2,2,1,2,2
370630016032,4,1,0,0,3,3
370630016033,1,1,1,1,2,2
370630016034,7,1,1,4,9,10
370630016041,1,2,2,1,5,6
370630016042,1,0,0,1,4,4
370630016043,5,1,1,1,4,4
370630017051,1,1,1,1,3,3
370630017052,1,2,2,3,6,3
370630017053,1,1,1,1,3,4
370630017061,1,1,2,1,5,5
370630017062,2,1,1,1,2,2
370630017071,13,1,1,1,1,1
370630017072,1,1,1,1,5,4
370630017073,0,2,2,3,3,3
370630017074,1,1,1,1,3,3
370630017075,1,1,1,1,3,2
370630017081,5,1,1,1,6,7
370630017091,1,1,1,1,3,3
370630017092,5,1,1,1,1,1
370630017093,4,4,4,1,8,7
370630017101,0,1,1,1,2,2
370630017102,7,3,2,1,1,1
370630017111,2,0,1,1,2,2
370630017112,1,2,2,1,1,1
370630017113,1,1,1,1,2,3
370630018011,2,1,1,1,8,7
370630018012,8,1,1,1,1,1
370630018013,0,0,0,0,2,2
370630018014,1,1,1,1,2,2
370630018015,2,3,3,1,3,3
370630018021,1,1,1,1,5,6
370630018022,1,1,1,4,5,6
370630018023,1,4,3,4,3,1
370630018024,2,1,1,3,4,4
370630018061,1,1,1,1,4,3
370630018062,0,1,2,1,2,3
370630018071,0,3,2,1,4,3
370630018072,4,0,0,1,4,4
370630018073,2,0,0,1,4,4
370630018081,10,0,1,1,1,1
370630018082,0,1,1,1,3,3
370630018091,0,1,1,0,4,2
370630018092,1,1,1,1,4,3
370630019001,3,1,1,0,7,7
370630019002,1,3,1,1,7,6
370630020071,2,1,1,1,3,3
370630020072,1,0,1,1,4,4
370630020073,1,8,6,1,1,1
370630020081,1,1,1,1,1,1
370630020082,1,5,3,1,4,4
370630020091,2,1,1,1,1,1
370630020092,1,3,4,1,1,1
370630020093,1,3,2,1,1,1
370630020131,1,1,1,1,2,2
370630020132,14,1,1,1,4,5
370630020133,3,3,3,1,4,5
370630020151,1,0,0,1,3,3
370630020152,1,1,1,1,2,2
370630020153,1,2,2,2,3,2
370630020161,0,1,1,1,6,8
370630020162,0,1,1,1,3,2
370630020171,1,4,2,0,2,2
370630020172,1,1,1,1,3,3
370630020173,1,1,1,3,7,4
370630020181,1,2,3,1,4,4
370630020182,0,2,2,0,4,4
370630020183,2,2,3,0,2,3
370630020191,1,1,1,1,1,1
370630020192,1,0,1,1,1,1
370630020193,1,1,1,1,1,1
370630020201,1,1,1,1,1,0
370630020202,1,4,2,1,3,2
370630020211,1,0,0,1,3,3
370630020212,1,1,1,1,1,1
370630020221,4,0,1,1,2,5
370630020222,1,1,0,1,2,2
370630020231,5,1,1,1,1,1
370630020232,2,1,1,1,2,2
370630020241,0,0,1,1,5,5
370630020242,6,2,2,1,1,1
370630020243,2,1,1,2,5,4
370630020251,1,0,0,1,1,1
370630020252,1,0,0,1,2,2
370630020253,1,4,4,1,1,1
370630020261,0,0,0,0,0,1
370630020262,1,0,1,0,1,1
370630020271,1,2,0,1,2,2
370630020272,2,1,1,1,4,4
370630020273,1,1,0,1,3,3
370630020281,1,1,1,2,4,3
370630020282,6,3,3,1,4,3
370630020283,3,0,1,0,1,1
370630021001,2,1,1,1,6,6
370630021002,1,2,2,1,6,7
370630021003,1,2,2,1,3,3
370630022001,1,1,1,1,2,2
370630023001,6,1,1,1,1,1
370630023002,3,2,2,1,1,1
