id,y_2015,y_2016,y_2017,y_2018,y_2019,y_2021,y_2022,y_2023
370630001011,16,12,11,13,10,7,6,6
370630001012,13,14,8,10,13,18,52,53
370630001021,11,10,9,5,7,16,30,28
370630001022,14,11,8,9,11,8,55,56
370630002001,10,7,9,9,13,9,31,26
370630002002,14,10,10,16,7,17,19,18
370630002003,18,13,2,6,5,13,13,8
370630003011,12,12,20,16,17,15,15,17
370630003012,23,13,15,21,21,42,41,33
370630003013,7,10,12,7,8,0,0,1
370630003021,6,10,9,3,3,5,4,4
370630003022,13,10,9,11,9,5,7,5
370630003023,8,4,6,9,8,5,8,6
370630004011,1,2,5,8,7,5,16,18
370630004012,1,1,1,2,2,4,22,20
370630004013,5,4,6,7,9,2,45,38
370630004021,3,2,3,2,2,4,51,42
370630005001,11,14,10,8,7,7,20,18
370630005002,14,11,18,23,15,8,7,7
370630005003,21,21,22,5,14,26,25,27
370630005004,3,14,12,18,24,22,29,22
370630006001,16,18,11,8,9,8,34,25
370630006002,11,14,11,10,8,18,27,25
370630006003,6,5,8,9,14,8,27,25
370630007001,8,11,9,8,9,12,11,10
370630007002,13,23,13,11,9,11,10,10
370630007003,9,8,6,7,10,7,7,9
370630009001,21,17,12,18,19,21,13,8
370630009002,7,10,18,18,18,15,11,11
370630010011,14,23,17,10,8,19,17,15
370630010012,10,13,17,20,20,22,31,36
370630010013,28,23,16,16,14,16,12,11
370630010021,11,11,7,10,12,8,17,20
370630010022,21,29,35,20,22,6,18,10
370630010023,30,41,36,19,15,24,14,18
370630010024,15,13,12,18,14,18,21,20
370630011001,9,9,15,17,16,22,65,58
370630011002,9,12,10,11,13,6,19,17
370630013011,8,5,7,8,10,23,55,32
370630013031,7,9,9,8,8,11,25,28
370630013032,10,16,10,19,23,13,14,17
370630013041,15,13,8,9,8,7,25,31
370630014001,11,3,16,6,15,27,25,12
370630014002,11,13,13,13,14,17,18,15
370630015011,4,2,3,6,4,4,6,6
370630015021,9,9,8,10,9,11,49,46
370630015022,1,1,1,4,4,9,29,22
370630015023,10,11,11,9,11,11,27,28
370630015024,13,9,18,39,18,15,16,23
370630015031,5,4,5,5,5,5,6,5
370630016011,12,14,18,21,16,18,2,2
370630016012,10,9,10,10,9,13,62,61
370630016013,12,15,16,16,12,20,45,48
370630016031,17,10,11,15,6,12,26,26
370630016032,11,8,7,9,10,9,36,37
370630016033,20,15,14,18,20,4,24,25
370630016034,8,5,5,7,6,4,22,37
370630016041,5,5,6,5,2,8,28,31
370630016042,4,5,8,7,6,9,48,66
370630016043,9,11,15,12,9,28,60,48
370630017051,17,22,24,14,7,16,46,47
370630017052,13,14,10,11,7,7,24,13
370630017053,17,18,16,15,7,8,50,59
370630017061,12,15,12,10,10,5,39,36
370630017062,15,15,15,14,12,16,18,18
370630017071,8,6,9,9,7,7,17,12
370630017072,6,9,10,13,11,6,37,32
370630017073,4,3,3,2,19,18,18,13
370630017074,3,4,1,4,3,6,14,8
370630017075,4,6,7,6,10,9,35,45
370630017081,6,5,5,4,6,14,117,105
370630017091,21,3,63,32,23,34,70,74
370630017092,5,18,17,19,21,0,27,30
370630017093,8,12,12,8,9,12,124,134
370630017101,12,9,12,11,12,13,30,43
370630017102,13,12,13,18,16,18,21,20
370630017111,3,8,7,14,15,14,36,39
370630017112,12,13,12,17,20,20,17,15
370630017113,14,11,13,15,14,11,22,23
370630018011,20,26,24,24,19,23,22,61
370630018012,41,22,14,9,21,29,24,30
370630018013,16,12,12,16,13,19,67,71
370630018014,13,19,15,20,18,19,39,41
