id,y_2015,y_2016,y_2017,y_2018,y_2019,y_2021,y_2022,y_2023
370630001011,10,8,9,12,10,9,3,3
370630001012,6,4,7,8,7,5,5,5
370630001021,5,5,6,7,7,5,5,6
370630001022,6,5,4,7,6,5,4,6
370630002001,8,8,9,8,8,8,15,13
370630002002,11,9,9,7,8,8,5,2
370630002003,9,9,9,8,7,9,6,8
370630003011,7,7,7,8,7,8,4,12
370630003012,6,6,6,7,8,8,4,1
370630003013,10,9,10,9,7,4,2,2
370630003021,7,9,10,9,9,8,9,7
370630003022,8,7,8,6,6,6,4,4
370630003023,6,6,6,7,8,8,10,10
370630004011,6,6,7,6,5,10,5,7
370630004012,8,7,7,6,7,7,7,7
370630004013,7,6,6,7,7,9,9,8
370630004021,4,3,3,2,2,3,0,2
370630005001,2,1,1,2,2,4,1,1
370630005002,6,10,7,8,8,5,4,2
370630005003,7,8,6,7,7,17,5,6
370630005004,6,6,8,4,7,4,14,10
370630006001,6,5,6,6,7,5,3,4
370630006002,6,7,6,7,8,8,10,10
370630006003,10,8,8,9,10,12,4,5
370630007001,5,6,7,6,5,3,1,2
370630007002,10,10,10,6,7,12,7,8
370630007003,6,7,7,8,10,8,12,13
370630009001,10,7,7,7,7,10,10,9
370630009002,5,6,7,7,7,8,5,5
370630010011,5,7,7,6,6,8,7,7
370630010012,1,11,9,9,12,9,12,8
370630010013,3,4,7,8,14,8,9,8
370630010021,8,7,7,8,5,2,17,18
370630010022,20,16,19,16,10,29,17,20
370630010023,11,12,9,18,17,17,2,1
370630010024,22,6,6,10,10,7,10,8
370630011001,6,7,6,7,7,8,7,6
370630011002,7,8,7,7,9,6,6,5
370630013011,6,6,7,6,6,7,7,8
370630013031,3,3,4,3,3,3,3,2
370630013032,7,8,10,9,9,6,4,5
370630013041,6,6,7,6,6,7,2,2
370630014001,9,10,11,12,12,6,6,5
370630014002,11,11,11,11,12,10,13,10
370630015011,1,1,1,1,1,1,0,0
370630015021,6,7,7,7,7,9,4,9
370630015022,1,1,1,2,1,3,1,1
370630015023,6,6,6,5,6,5,2,2
370630015024,14,18,18,16,20,11,6,12
370630015031,2,2,2,3,2,2,1,1
370630016011,9,8,7,7,9,12,8,7
370630016012,6,7,6,7,6,5,4,5
370630016013,7,6,8,9,7,6,5,4
370630016031,11,8,11,9,12,6,10,9
370630016032,6,6,7,8,7,5,8,7
370630016033,7,7,9,10,10,10,7,7
370630016034,8,7,6,5,5,6,2,6
370630016041,6,6,6,6,6,8,8,7
370630016042,4,4,5,6,6,6,2,4
370630016043,8,8,7,6,6,4,6,6
370630017051,8,11,13,6,6,8,7,7
370630017052,8,9,9,7,8,10,8,9
370630017053,10,9,10,11,9,12,8,5
370630017061,7,6,6,5,5,9,6,6
370630017062,7,7,8,7,7,6,4,3
370630017071,9,10,9,8,7,9,5,4
370630017072,7,8,8,7,7,7,7,7
370630017073,9,15,15,15,11,14,6,6
370630017074,8,9,8,8,8,7,12,11
370630017075,4,4,5,6,6,4,4,4
370630017081,6,5,5,5,5,4,5,5
370630017091,8,15,13,12,10,12,11,14
370630017092,17,20,18,19,20,11,7,11
370630017093,5,6,6,6,4,6,7,7
370630017101,7,5,6,6,5,7,4,4
370630017102,7,7,8,9,7,6,14,13
370630017111,5,6,6,6,8,8,9,7
370630017112,7,7,8,8,8,7,5,3
370630017113,10,8,9,8,8,6,4,9
370630018011,9,7,9,10,13,12,6,6
370630018012,7,2,5,10,10,16,22,18
370630018013,5,6,7,7,9,5,7,7
370630018014,5,10,10,9,8,8,9,13
370630018015,7,16,16,16,19,15,6,6
