id,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021,y_2022,y_2023
370630001011,56,27,24,28,26,27,27,27,53,25,26,23,20
370630001012,27,24,26,18,20,20,21,17,53,25,33,34,36
370630001021,23,21,18,17,16,17,15,17,31,13,14,18,12
370630001022,23,23,23,20,19,18,19,14,40,12,11,15,18
370630002001,43,28,26,26,24,21,27,28,52,25,34,44,31
370630002002,34,32,28,30,23,28,22,24,43,16,12,18,10
370630002003,42,33,34,31,31,24,28,38,52,35,53,20,7
370630003011,21,18,16,19,19,18,18,20,39,21,19,18,14
370630003012,78,20,18,23,21,17,18,21,44,53,68,57,51
370630003013,17,20,18,20,21,18,18,16,36,15,10,11,11
370630003021,544,76,65,44,33,32,27,23,21,35,44,31,21
370630003022,21,18,21,18,19,25,22,17,36,21,22,23,19
370630003023,17,18,17,12,13,14,15,16,35,31,33,32,26
370630004011,77,40,40,39,34,33,21,20,18,18,30,31,27
370630004012,170,46,44,40,33,26,30,26,43,37,44,25,31
370630004013,54,21,29,30,37,41,36,19,22,20,34,32,18
370630004021,15,12,14,14,14,13,11,10,18,10,10,10,11
370630005001,44,24,18,21,25,23,16,15,129,22,32,33,23
370630005002,57,22,28,23,21,25,24,26,51,25,28,23,13
370630005003,19,17,18,18,17,16,17,17,32,20,21,22,26
370630005004,27,24,24,22,21,18,22,20,55,18,24,27,28
370630006001,20,20,18,14,18,18,22,24,55,25,25,29,10
370630006002,32,22,18,24,23,25,22,29,66,41,42,49,48
370630006003,,144,92,83,80,75,87,37,85,37,36,49,69
370630007001,19,19,16,17,17,16,17,14,19,12,12,11,7
370630007002,160,49,25,26,26,20,21,28,11,44,46,49,42
370630007003,90,27,22,23,20,25,23,33,72,44,50,41,51
370630009001,23,18,19,19,19,22,22,19,43,19,24,19,26
370630009002,47,51,21,19,17,19,22,16,42,21,22,30,17
370630010011,42,28,28,24,22,22,27,29,71,24,26,33,10
370630010012,56,33,29,24,20,18,20,22,61,25,31,33,59
370630010013,23,21,21,18,20,20,24,23,42,22,25,26,22
370630010021,18,20,18,20,18,17,19,15,41,19,15,18,19
370630010022,64,38,35,30,34,35,26,30,113,35,34,27,10
370630010023,53,33,36,31,37,42,27,37,74,33,29,48,56
370630010024,31,34,29,22,19,32,31,23,67,26,28,42,65
370630011001,28,16,16,17,13,14,15,14,4,17,18,17,19
370630011002,20,20,20,20,17,18,16,17,10,18,20,22,15
370630013011,35,21,15,15,13,14,14,16,29,9,11,10,19
370630013031,44,14,15,13,15,20,18,15,60,17,17,19,16
370630013032,124,35,38,35,22,27,28,17,72,22,21,23,24
370630013041,12,12,12,13,13,14,14,13,24,14,15,12,19
370630014001,33,20,20,16,19,21,24,26,25,9,11,11,2
370630014002,27,20,16,21,21,19,19,22,33,24,24,19,21
370630015011,274,50,34,31,53,45,53,39,179,281,151,346,303
370630015021,14,12,13,15,14,14,14,15,34,11,9,12,15
370630015022,38,17,19,20,19,18,16,9,60,15,13,15,18
370630015023,13,13,12,13,14,14,14,13,28,15,15,13,11
370630015024,30,10,14,14,20,22,28,24,51,17,19,19,14
370630015031,377,,,,,,,,,,,,
370630016011,179,38,28,35,32,38,44,62,158,69,60,53,60
370630016012,360,52,55,54,31,43,43,32,192,47,73,70,69
370630016013,95,39,36,38,23,33,23,29,104,54,79,75,61
370630016031,,,57,20,20,23,70,19,,58,47,73,32
370630016032,754,,,75,102,48,39,29,127,18,20,14,76
370630016033,163,54,22,22,20,24,27,60,60,2589,1706,2996,874
370630016034,653,217,150,200,240,,,,,,,,
370630016041,244,28,42,35,34,34,27,36,104,110,113,74,73
370630016042,181,73,55,84,51,61,45,43,26,99,96,110,59
370630016043,516,87,73,56,66,45,45,54,44,65,90,79,43
370630017051,80,26,43,29,21,12,25,27,83,53,26,30,48
370630017052,22,21,21,16,19,22,21,18,46,26,28,23,16
370630017053,26,25,26,16,19,22,30,33,38,19,20,37,18
370630017061,17,14,15,15,16,14,17,17,29,14,16,19,16
370630017062,16,14,14,20,21,20,19,19,39,24,23,22,7
370630017071,265,74,74,74,50,47,68,43,30,102,171,174,
370630017072,73,18,30,15,15,16,14,13,45,40,58,74,11
370630017073,,,,,,,,,,,,,
370630017074,327,26,26,25,24,22,25,25,32,48,30,31,10
370630017075,16,13,16,20,19,21,22,20,34,26,25,28,23
370630017081,13,12,17,17,18,16,15,14,29,8,11,11,4
370630017091,67,36,39,34,40,69,40,40,65,37,45,24,12
370630017092,42,23,16,23,34,39,40,40,90,40,42,44,42
370630017093,14,14,15,14,14,15,15,15,26,13,14,12,18
370630017101,19,24,27,22,23,19,25,23,47,21,20,19,22
370630017102,25,24,19,19,23,23,22,26,54,8,14,12,24
370630017111,25,20,22,13,12,13,17,20,52,11,5,5,22
370630017112,19,19,18,18,16,16,16,18,31,20,20,22,24
370630017113,15,16,14,13,12,15,15,14,38,19,20,20,23
370630018011,106,56,55,85,71,,36,27,16,90,83,645,31
370630018012,141,71,68,26,40,46,49,34,71,32,33,34,35
370630018013,65,22,15,17,22,31,42,51,111,36,40,38,16
370630018014,,48,33,52,44,42,41,40,191,55,41,26,32
370630018015,338,20,37,47,53,55,89,92,80,27,25,90,39
370630018021,64,108,20,31,22,26,24,23,64,26,26,27,27
370630018022,41,34,33,30,27,25,22,26,76,29,31,29,11
370630018023,33,32,28,30,34,37,37,32,60,31,32,32,31
370630018024,76,40,40,45,31,46,30,33,25,61,65,224,71
370630018061,111,54,22,32,31,23,34,44,189,457,1028,260,132
370630018062,82,38,39,39,32,27,26,19,74,37,47,48,38
370630018071,37,27,22,22,28,30,30,26,33,50,47,41,23
370630018072,80,31,31,31,26,28,26,40,187,101,41,34,40
370630018073,49,26,23,27,33,27,32,21,11,19,25,27,28
370630018081,,54,39,36,32,33,41,46,38,77,87,90,134
370630018082,75,18,19,20,16,16,28,24,42,28,28,22,21
370630018091,18,18,17,17,17,16,19,17,32,16,15,14,19
370630018092,40,28,32,28,28,28,33,31,75,39,35,36,39
370630019001,306,37,32,41,41,37,30,25,83,34,21,28,18
370630019002,89,19,18,28,37,33,33,26,85,30,27,30,17
370630020071,118,17,48,26,23,26,35,32,138,34,42,27,30
370630020072,38,19,21,22,25,17,13,10,11,21,18,17,11
370630020073,195,34,,86,71,71,27,24,417,137,186,,
370630020081,297,60,44,55,51,61,86,133,,,,,
370630020082,166,36,36,40,36,48,51,51,41,134,199,74,35
370630020091,52,24,31,20,23,18,24,28,70,23,26,28,26
370630020092,57,17,19,26,33,26,30,23,69,18,22,29,23
370630020093,49,26,29,25,26,24,27,29,7,37,51,36,83
370630020131,86,42,35,33,35,36,30,37,77,72,63,56,49
370630020132,76,32,21,41,35,33,36,32,88,44,57,65,46
370630020133,82,37,46,42,24,30,34,34,53,49,58,62,23
370630020151,30,22,20,21,20,21,24,20,49,22,27,27,16
370630020152,18,20,18,19,19,17,17,19,34,23,29,27,13
370630020153,21,21,14,14,12,12,13,13,27,23,21,20,20
370630020161,13,11,12,14,13,14,13,14,26,16,16,16,9
370630020162,13,12,12,12,13,13,17,21,42,19,18,15,12
370630020171,200,68,51,38,41,39,47,44,80,41,41,34,8
370630020172,165,33,44,49,52,39,48,37,99,43,40,38,26
370630020173,12,12,11,12,14,11,13,12,25,3,7,7,14
370630020181,24,19,18,17,19,18,21,19,62,29,24,29,24
370630020182,17,15,16,17,16,19,18,18,30,20,19,19,15
370630020183,285,69,39,23,23,10,16,16,24,26,20,21,14
370630020191,20,20,21,22,21,21,18,18,22,17,16,14,14
370630020192,32,22,15,24,23,17,19,19,34,17,17,19,15
370630020193,323,55,47,49,40,25,36,16,33,85,67,60,34
370630020201,262,76,55,60,55,47,41,59,113,66,80,49,48
370630020202,891,93,100,86,75,75,,,490,125,132,121,70
370630020211,24,24,24,23,23,10,11,14,11,19,16,13,12
370630020212,176,42,54,45,40,35,38,30,189,27,27,35,23
370630020221,22,18,17,17,16,10,16,14,11,15,16,15,3
370630020222,49,36,34,32,25,20,22,25,53,21,14,22,13
370630020231,41,33,29,29,28,16,17,18,13,17,21,21,12
370630020232,35,22,20,14,15,15,17,14,8,15,16,19,12
370630020241,53,29,15,28,25,23,22,27,64,33,30,24,11
370630020242,65,43,41,37,31,14,14,18,47,67,61,52,12
370630020243,53,21,20,22,27,41,43,42,79,63,52,32,11
370630020251,188,81,17,49,18,18,43,41,104,26,36,30,17
370630020252,48,34,33,43,35,34,30,22,53,22,32,35,30
370630020253,53,29,32,11,16,17,24,7,18,31,38,35,49
370630020261,27,8,23,21,24,24,28,23,49,28,23,29,32
370630020262,19,19,17,18,16,15,20,16,36,15,16,15,15
370630020271,50,15,16,13,13,51,43,43,127,10,7,9,10
370630020272,18,18,19,18,17,16,17,16,29,14,19,17,13
370630020273,16,17,15,14,17,16,20,18,39,24,23,18,12
