id,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021
370630001011,40.9,46.7,42.6,41,39.9,39.3,36.6,32.9,33.6,33.5,35.4
370630001012,32.7,34.4,36.4,31,31.8,31.9,34.8,33.5,43.1,41.4,41.5
370630001021,33,32.5,32.4,32.1,31.6,31.1,31,36.5,36.4,32.3,32.2
370630001022,43.7,38.8,39,44,42.9,40.6,42.7,35,34,31.1,31.9
370630002001,38.7,38.6,35.6,36.2,31.9,33.5,30.8,30.1,30.8,34.6,35.2
370630002002,37.3,37.4,29.9,31.2,33.8,34.1,34.8,34.9,35.4,36.1,35.8
370630002003,33.4,29.3,30.2,33.3,33.3,32.2,35,37.3,38.1,35.9,38.9
370630003011,33.8,31.1,31.7,29.8,30.9,32.6,31.7,30.9,34,30.7,31.1
370630003012,40.2,47.4,47.5,40.8,37.9,37.7,34.8,32.4,34.8,34.7,34.6
370630003013,35.2,30.7,31.7,30.2,30.7,30.2,31.2,31.6,33,32.3,31.9
370630003021,38.9,43.6,40.2,40.4,40.6,37.2,33.8,36,32.8,34.7,36.2
370630003022,29.8,35.2,35.7,35.3,33.9,38.3,38.2,37.7,35.2,34.3,36.1
370630003023,32.2,33.7,36.1,32.4,33.4,33.1,33.2,32.2,32.5,31.3,31.2
370630004011,43.5,42.2,37.6,35.2,38.1,43.3,40.9,40.7,42.6,38.5,44.5
370630004012,48.5,48.1,46.1,40.9,38.6,36,35.5,35.1,33.2,37.1,37.6
370630004013,36.9,30.2,30.7,32,32.8,32.4,36.4,41.2,38,36.6,35.7
370630004021,30.2,29.6,28.7,28.6,28.7,28.4,28.6,28.7,28.8,30.8,30.7
370630005001,21.7,22.7,22.6,21.8,21.5,21.3,21.3,20.7,20.8,23.7,23.6
370630005002,31.5,31.5,31.8,30.8,30.6,31.4,34.8,34.2,34.9,36.8,36.8
370630005003,28.3,28.9,26.1,27.2,27.8,28.3,28.5,30.2,33,38.6,40.9
370630005004,32.1,30.3,32.1,31.4,29.7,31.4,28.7,26.2,24,24,23.9
370630006001,35.7,34.5,31.3,32.7,34.1,34.6,34.5,34.5,34.7,34.7,36.4
370630006002,37.5,31.2,31.5,33.1,31.1,33.2,34,33.1,31,45.3,44.3
370630006003,60.6,59.9,54.7,59.4,55.1,54.5,54.7,57.4,61,49.5,49
370630007001,48.3,48.2,47.1,45.8,47.7,42.6,36.1,35.9,36.1,34.7,31.3
370630007002,49.9,51.6,42.4,42.5,39.1,35.5,42.1,45.3,45,42.1,42.4
370630007003,39.6,36.7,38.3,37.5,35.8,37.4,37.9,39.1,38.1,39.7,39.6
370630009001,28.8,31.3,33.9,34.7,33.6,37.4,34.3,31.1,29.8,31,31.1
370630009002,27.5,40.1,35,35.3,31.9,31.3,31.3,32,32.4,32.7,34.3
370630010011,35.1,30.5,31.3,32.4,30.4,31,34.8,34.2,37.3,37.5,38.6
370630010012,33.9,48.4,42.1,42.7,42.3,42.5,40.2,37.8,32.8,41.8,46.5
