year,fips,value
2001,370630001011,84161600
2001,370630001012,60976586
2001,370630001021,72283999
2001,370630001022,264020753
2001,370630002001,60110517
2001,370630002002,32058562
2001,370630002003,48705364
2001,370630003011,96531492
2001,370630003012,19786150
2001,370630003013,24708135
2001,370630003021,51858942
2001,370630003022,42648271
2001,370630003023,75237900
2001,370630004011,67531345
2001,370630004012,79618073
2001,370630004013,60897229
2001,370630004021,155256410
2001,370630005001,26635718
2001,370630005002,24027314
2001,370630005003,25306871
2001,370630005004,26354627
2001,370630006001,110841895
2001,370630006002,384881352
2001,370630006003,647214936
2001,370630007001,79211075
2001,370630007002,83543088
2001,370630007003,72580667
2001,370630009001,17787435
2001,370630009002,27735301
2001,370630010011,28709628
2001,370630010012,38922989
2001,370630010013,47663780
2001,370630010021,65867257
2001,370630010022,28398153
2001,370630010023,19382284
2001,370630010024,24324501
2001,370630011001,37150194
2001,370630011002,36077401
2001,370630013011,54861723
2001,370630013031,68284503
2001,370630013032,22082113
2001,370630013041,72669459
2001,370630014001,26603331
2001,370630014002,64366084
2001,370630015011,325399839
2001,370630015021,62896863
2001,370630015022,31283849
2001,370630015023,65225435
2001,370630015024,289658816
2001,370630015031,25000
2001,370630016011,73379135
2001,370630016012,181485859
2001,370630016013,97201455
2001,370630016031,47848968
2001,370630016032,126004069
2001,370630016033,82866245
2001,370630016034,150039895
2001,370630016041,205042820
2001,370630016042,211223152
2001,370630016043,103673193
2001,370630017051,112130676
2001,370630017052,181920872
2001,370630017053,91030599
2001,370630017061,111700527
2001,370630017062,106616245
2001,370630017071,64148558
2001,370630017072,171184904
2001,370630017073,54168182
2001,370630017074,197456823
2001,370630017075,107280839
2001,370630017081,116062548
2001,370630017091,26942161
2001,370630017092,28719635
2001,370630017093,207130273
2001,370630017101,112650325
2001,370630017102,44256565
2001,370630017111,55560216
2001,370630017112,39980650
2001,370630017113,67348097
2001,370630018011,72558073
2001,370630018012,27285482
2001,370630018013,86766895
2001,370630018014,46390768
2001,370630018015,121233371
2001,370630018021,80987868
2001,370630018022,46012316
2001,370630018023,63821305
2001,370630018024,34174131
2001,370630018061,119586403
2001,370630018062,83308342
2001,370630018071,54109184
2001,370630018072,147510855
2001,370630018073,94217819
2001,370630018081,121194255
2001,370630018082,84388103
