id,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019
370630001011,5,6,12,15,17,14,19,20
370630001012,3,9,5,12,7,5,10,9
370630001021,3,7,6,13,11,16,11,21
370630001022,4,17,6,7,7,13,14,13
370630002001,4,5,3,5,5,8,13,9
370630002002,14,8,8,13,12,18,18,19
370630002003,11,14,18,15,21,17,17,22
370630003011,5,2,4,7,7,15,14,7
370630003012,3,6,7,9,5,6,8,3
370630003013,7,8,3,10,12,15,12,5
370630003021,17,11,12,20,14,11,18,23
370630003022,7,7,8,20,11,15,20,11
370630003023,13,23,16,19,21,20,19,10
370630004011,5,9,18,14,23,17,16,18
370630004012,18,26,22,27,22,14,41,25
370630004013,14,5,10,21,11,4,12,10
370630004021,13,23,42,43,37,22,31,25
370630005001,21,30,12,7,9,1,1,0
370630005002,7,5,13,8,11,3,5,5
370630005003,16,7,13,12,11,10,7,7
370630005004,9,15,10,14,10,11,16,9
370630006001,36,17,19,19,28,22,28,37
370630006002,11,9,17,20,19,13,15,20
370630006003,7,8,12,16,18,12,10,18
370630007001,5,7,9,11,12,4,6,8
370630007002,20,19,28,26,43,15,20,13
370630007003,10,10,12,7,16,9,11,8
370630009001,2,4,4,5,4,6,12,10
370630009002,1,10,12,12,20,30,36,31
370630010011,10,4,3,6,7,6,9,20
370630010012,5,7,4,13,20,15,19,18
370630010013,5,6,16,10,13,26,12,9
370630010021,1,1,3,4,4,4,8,2
370630010022,0,1,1,1,1,2,2,1
370630010023,1,1,0,3,4,4,13,9
370630010024,3,11,3,4,7,5,6,9
370630011001,27,26,31,19,24,28,22,16
370630011002,21,7,2,5,13,14,8,7
370630013011,11,5,7,9,14,16,16,27
370630013031,6,1,3,2,5,8,13,29
370630013032,2,1,1,2,1,3,7,5
370630013041,3,3,4,4,9,4,11,4
370630014001,2,5,0,1,0,1,2,2
370630014002,2,2,1,4,6,1,6,3
370630015011,12,34,0,10,4,1,3,7
370630015021,4,2,1,9,2,5,2,1
370630015022,0,0,0,0,7,3,1,3
370630015023,0,4,4,0,2,0,3,18
370630015024,28,0,1,1,1,0,3,20
370630015031,3,7,2,4,1,3,0,4
370630016011,13,10,10,12,19,13,12,4
370630016012,9,15,11,14,15,10,10,12
370630016013,6,1,4,11,14,5,10,13
370630016031,3,3,3,5,4,4,5,1
370630016032,29,26,46,22,10,10,8,4
370630016033,4,3,6,6,8,9,8,7
370630016034,4,5,5,9,11,10,11,10
370630016041,13,10,8,12,8,18,9,16
370630016042,14,14,18,27,25,21,25,19
370630016043,14,9,5,8,15,16,12,13
370630017051,2,3,10,8,10,14,9,21
370630017052,23,14,15,20,15,19,33,28
370630017053,4,4,4,6,3,6,6,4
370630017061,82,82,121,44,3,10,13,5
370630017062,7,5,2,10,5,10,29,29
370630017071,6,5,7,6,9,12,9,10
370630017072,11,8,18,13,26,20,13,7
370630017073,3,4,5,8,5,3,13,6
370630017074,14,23,17,16,28,19,40,47
370630017075,9,14,34,34,27,31,36,44
370630017081,23,89,5,8,9,6,4,2
370630017091,0,1,1,2,1,0,4,1
370630017092,0,1,0,0,5,4,4,0
370630017093,2,0,3,4,33,39,42,93
370630017101,3,5,4,3,27,10,8,8
370630017102,2,2,3,8,4,2,3,2
370630017111,15,39,36,1,3,1,7,15
370630017112,2,2,3,15,2,1,2,1
370630017113,5,1,0,1,0,3,0,3
370630018011,2,7,14,7,8,5,2,9
370630018012,3,1,1,5,5,7,2,4
370630018013,31,14,27,16,9,5,6,9
370630018014,3,0,11,4,37,21,6,1
370630018015,2,4,1,4,6,4,4,7
370630018021,4,3,10,5,4,2,21,6
370630018022,1,6,4,1,1,0,3,1
370630018023,1,5,3,6,6,2,5,2
370630018024,2,2,1,2,4,2,2,4
370630018061,6,8,4,9,9,6,6,14
370630018062,38,33,21,29,41,54,44,64
370630018071,2,5,3,3,5,27,26,20
370630018072,4,6,4,6,3,9,6,5
370630018073,5,3,2,5,4,3,1,6
370630018081,11,17,6,3,6,4,8,5
370630018082,202,299,280,286,349,362,192,144
370630018091,2,10,6,7,11,16,47,184
370630018092,22,25,22,14,15,20,14,80
370630019001,5,89,218,324,293,297,394,318
370630019002,9,8,8,5,11,8,9,9
370630020071,8,14,16,15,21,16,32,25
370630020072,10,14,8,12,21,15,19,8
370630020073,9,9,7,6,9,14,12,16
370630020081,17,15,19,19,26,22,33,25
370630020082,34,47,38,38,45,32,45,22
370630020091,2,2,2,4,6,2,7,4
370630020092,3,0,5,2,7,3,5,8
370630020093,2,3,4,4,5,5,8,8
370630020131,11,2,5,7,35,51,56,56
370630020132,3,4,4,7,3,3,9,5
370630020133,10,6,9,8,10,11,14,14
370630020151,11,9,10,9,11,3,4,13
370630020152,3,9,5,2,6,2,4,5
370630020153,2,14,9,25,9,1,16,1
370630020161,0,7,0,10,8,0,2,0
370630020162,10,7,13,12,19,17,7,4
370630020171,54,24,36,34,49,29,39,29
370630020172,11,10,17,23,21,21,15,64
370630020173,17,19,19,24,21,14,15,23
370630020181,11,10,5,5,2,6,7,4
370630020182,51,56,15,27,11,12,12,25
370630020183,49,63,35,24,35,73,112,73
370630020191,2,3,1,2,1,7,23,9
370630020192,45,38,16,17,30,32,29,10
370630020193,8,11,5,22,29,8,16,24
370630020201,9,18,14,21,23,20,93,132
370630020202,54,112,84,178,136,152,110,83
370630020211,8,6,5,9,8,8,25,5
370630020212,1,32,3,3,5,1,3,10
370630020221,2,0,0,2,1,4,8,22
370630020222,32,5,7,10,8,7,12,10
370630020231,6,8,6,6,9,6,8,9
370630020232,8,5,9,6,4,8,11,17
370630020241,41,53,60,67,107,49,33,23
370630020242,8,11,2,4,5,2,7,1
370630020243,4,3,5,13,8,13,6,9
370630020251,13,5,45,6,6,6,69,15
370630020252,6,4,6,10,8,6,12,11
370630020253,5,6,5,3,5,5,6,1
370630020261,35,27,1,7,1,2,1,4
370630020262,43,47,2,9,6,19,18,187
370630020271,29,29,56,79,94,117,109,75
370630020272,5,2,6,51,80,40,14,12
370630020273,1,1,0,1,7,74,127,1
370630020281,48,30,21,28,98,141,182,180
370630020282,0,0,0,0,0,0,76,76
370630020283,93,81,74,166,179,61,102,136
370630021001,28,24,14,29,35,14,30,28
370630021002,14,15,13,17,20,10,12,13
370630021003,13,14,11,16,14,11,17,14
370630022001,20,32,19,16,34,27,21,32
370630023001,13,11,31,51,55,22,16,19
370630023002,1,0,20,2,20,12,17,1
370639801001,0,1,1,0,0,0,0,0
