id,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020
370630001011,34750,326798.69,384725.55,1195029,747905.63,1102112.8,1315949,1092211,1949541.71
370630001012,29261,350438,440308,188830,116535,440982,460939.33,569270.5,919728
370630001021,13821,242651,95098.3,331376.46,1037972.28,280552,271905,1051562.22,236409
370630001022,188677,148782,207250,404807,212600,678757,833137,944967,796621.02
370630002001,338656,63148.8,157192,332671,235100,1140084,1119078,1076302,160316
370630002002,530529,502589,1112838,960401,1351556,1138245,2664169,2695410,4761888.28
370630002003,582825,709708,1279135,1316642.97,1271482.77,2243467,1598179,3126923,4223498.65
370630003011,54300,29400,1163321.76,934352,270675,1487299,622023,974075,1133480
370630003012,49016,290574,576125,436829,305600,554791,152680,1068040,1940631.5
370630003013,528959,255512.8,482100,893418,1516359,822573,1012135,239815,255854
370630003021,713279,183660,361248,981740.8,532551,1673785.08,2514512,1229318,1539820
370630003022,545962,248088,1515556.57,499580,1155301,1345294,1104959,1505849,968018.25
370630003023,1541941,1481125.44,1524947.6,1020965,1272478.65,7423400,1714475,1821915,4661341
370630004011,227055,538100,328731,941756.4,913115,884260.55,1621470,1861459,1353101
370630004012,1083032,1352931.58,1416980.7,1689778.25,1419566.54,2912550,3748265,2797848,1815826.5
370630004013,331522,698800,1781976.22,384800.6,1059930,228300,630729,402746,3522456.25
370630004021,45952924,28740806,21742601.8,3684621,1964552.82,3586622.27,3712379,2782307,9606910.94
370630005001,626719,17807092,568677,82895,240812,204812,406890,25972697,85531
370630005002,226488,357696,1112081,221950,1065695,152025,933473,1964923,1631017
370630005003,336587,633538,172143,1720521,499751,679973,365226,945184.96,1204876
370630005004,159264,370802,349990,1133402,750990,1085989,866684,1061118,2288169
370630006001,1528116.08,1180123.07,2044029.6,1974592,1825331,2612878.09,2420058.03,7323210,1577892
370630006002,243911.5,728357,1428349,1731837.51,1064470,2166843.54,912026,949420,755208
370630006003,947775.87,806195,1098357,2966060.64,782558,1264446.5,1851923,1626904,4307883
370630007001,848164,53768249,53627,662968,544573,280390,40828987,21433265,64560110.4
370630007002,3936109,2387379.82,3889101.57,1100004,1758799.8,1218874.65,2003989,3463026,1525751.62
370630007003,738625,913802,708263,273506,429451.35,1074374,1550500,653351,1769624.5
370630009001,5800,250544,274347.35,342280,566748,504000,739850,1062850,171582
370630009002,74542,490166,582526,547613,1845052,3991348,3753934,2940160,4898300
370630010011,363940,186014,43105,327168,250862,525618,921237,538620,911835
370630010012,313161,704187,511882.39,740678,1751977,1324680.2,2002669.02,1522739,1305090.03
370630010013,217480,263874.39,1468157.11,1049041,1272541.61,7504001,244500,1013465,3683788
370630010021,11000,19700,0,148864.25,349224,345563,201475,135000,4438228.94
370630010022,0,4470,25400,0,5000,134187.5,26300,74600,13500
370630010023,17480,7000,87900,388560,354140,445345,1063125,412400,487247.04
370630010024,261474,268025,93600,201823.75,392776,574870,476297,648429,903738
370630011001,1042524,561052,917972.44,834409,2673797,3271864,1709767,1066147,4643825.22
370630011002,5453788,213124,2081800,1482890.64,1554249,558172,2132208,1080580,2336250.38
370630013011,80975,272290,267335,15192698.67,757869.9,1208318,2004186,2151170,1455649.74
370630013031,2800,445862,150457.59,270850,340264,391400,1859706,4758697,494954.73
370630013032,44300,0,0,115807.78,85838.02,569632,519805.75,503545,1888487
370630013041,232663,11907,167437,174450,177405,336221,366209,598811,951186
370630014001,99000,73100,0,64367.79,17000,3800,83800,71000,39166
370630014002,26000,28352.54,71320.15,133320,297724,46330,13600,244700,312774
370630015011,462014,458409,0,15351779.56,42821138,111706229,38833044,990807,367370
370630015021,2400,65007.81,5159,19009,3305834,224948,63354,168666,0
370630015022,75000,0,0,0,18762793.72,0,0,49430,0
370630015023,44112960,0,0,3095267,13274123,95000,4071457,10015101.7,93415.56
370630015024,33178,269669,0,7193258.47,27600,39890,38079,25450,0
