id,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021,y_2022,y_2023
370630001011,161700,129130,163715,193600,208565,213860,224048,206010,119966,132312,137852,216644,259678
370630001012,215940,266586,269864,155714,159609,142766,135864,93632,186144,166463,182598,304167,278819
370630001021,348639,379874,450908,520500,530352,603460,677376,674660,652320,325473,307114,651148,809419
370630001022,294375,287928,293600,333207,328696,293475,304000,384503,455616,194389,174919,333699,425537
370630002001,171717,209061,259616,315253,265540,245280,238981,197505,167736,140343,137101,113715,208500
370630002002,142766,163322,154814,123342,122500,128575,174000,204006,242503,265408,326502,266104,285936
370630002003,146265,137379,162688,93379,116021,177406,135975,129765,117710,85493,,,126525
370630003011,233508,271354,320137,282376,278920,294630,321100,320255,335755,448960,497493,398156,355923
370630003012,98169,118404,153076,133363,127968,181050,172886,120783,131811,215376,191820,203268,204356
370630003013,175406,166135,165213,192126,196784,193116,212800,265185,256450,397296,493232,559146,596268
370630003021,22950,17646,18660,39146,66402,103118,81426,122304,134190,147150,121739,204952,164335
370630003022,304658,301550,324400,308388,236201,191961,167079,177650,237276,226600,283500,340360,403155
370630003023,360250,345699,348028,366096,397089,422091,440664,464486,441604,429128,427452,453474,434918
370630004011,125239,118944,131796,105148,83070,80712,102856,148512,154818,275630,188631,214823,149385
370630004012,59826,57684,61131,55552,83594,112288,99081,175940,197685,92351,,122243,108770
370630004013,139392,171737,269990,208608,169128,170784,124602,87305,106794,106347,96343,97733,153417
370630004021,935952,870767,844751,809360,808640,830844,1125192,1419728,1583041,873960,989268,2255520,2382085
370630005001,195480,127444,120120,126861,100170,141873,151221,129744,142905,156457,96214,90049,98633
370630005002,118854,166779,170188,152295,187000,211456,151272,159432,183524,234937,226380,296075,346964
370630005003,228158,202272,227907,246090,280075,288900,291205,243600,276930,365092,394740,434568,474144
370630005004,153816,173989,173692,219480,246350,299141,375230,396410,387990,317254,284226,268290,234612
370630006001,374360,392088,487172,477225,594402,775742,790320,762584,839844,761784,559109,518462,595242
370630006002,279416,381946,457929,431528,466416,482715,468864,411320,380694,348816,405280,305573,318517
370630006003,,,,,,,,29450,47806,348816,405280,44983,19033
370630007001,154349,194181,188742,179267,183960,209700,,508199,759240,902000,1239967,1351920,1523385
370630007002,29450,25937,71284,108801,150660,208737,191111,153974,112700,69120,151830,193800,203050
370630007003,96728,99414,139806,257446,235000,210459,247605,202800,149160,106444,148520,174928,153670
370630009001,170000,190762,193536,200305,177192,222363,261075,222768,188552,220033,197176,234577,278856
370630009002,149160,155118,199155,222453,277914,295412,300518,170914,166852,149084,194880,204057,248625
370630010011,211926,243004,259488,243049,258335,262260,196080,179270,201204,240217,271150,285735,367148
370630010012,128037,103395,83545,191622,171704,231525,304560,416279,287730,169371,121680,209988,159766
370630010013,282960,416300,387258,309312,256907,292853,354978,358512,377580,408580,376711,459161,478045
370630010021,517608,544260,506519,459571,555126,577980,554769,563604,660293,304045,287749,579582,702036
370630010022,83650,97963,137984,171600,148080,103994,159012,138086,171450,167713,153444,191620,241740
370630010023,163282,158840,128934,114142,179480,161792,192512,201528,189144,136525,147232,103816,78600
370630010024,194000,144384,118730,250902,239010,276318,302808,367616,274176,205446,220524,200412,205887
370630011001,182223,206850,205368,293088,312928,374530,419136,415496,406575,196443,201521,342075,309047
370630011002,216700,182780,169060,187056,178075,205012,246016,287330,303597,254150,266216,260700,357434
370630013011,189846,221292,255640,267750,281160,315510,295298,330881,361152,233955,270608,594450,645718
370630013031,168756,191352,200760,225387,233970,294576,305095,251664,261924,205557,209952,263739,306706
370630013032,66015,53784,41418,49379,116713,121968,127125,188825,162174,251412,261222,178598,163163
370630013041,414180,411983,442250,422136,471779,554075,652805,693173,729606,336469,288086,742179,585070
370630014001,157916,157746,131328,113535,76287,56994,41990,42640,35154,237327,200200,238007,295191
370630014002,213110,340119,346986,231214,240996,227031,239391,157728,321233,284050,320272,359324,347647
370630015011,29448,35373,30987,37557,27222,31590,28054,44642,16711,,,,
370630015021,592032,612981,602335,752958,798225,911295,1005961,1083600,1041564,757441,773139,1058949,1230177
370630015022,370804,550638,642114,644096,735256,760284,694020,712044,798519,907367,941871,1418877,1626424
370630015023,553420,544181,584783,655928,713834,837408,813450,910602,934061,563043,618985,1192476,1391074
370630015024,79060,67947,167940,71232,52574,60210,,50032,,424952,509220,167577,185911
370630015031,,,,,,,,,,,,,
370630016011,,,,,,,,,,,107280,166116,135234
370630016012,32373,66420,59584,60102,,,45725,63120,129428,118420,121158,158191,130118
370630016013,152201,241920,275566,286116,154818,171336,118972,,74672,71700,56667,72985,87571
370630016031,,,,,,,,,,99774,208369,,205849
370630016032,,,,,,,125950,,251199,260072,326063,518534,542556
370630016033,63736,37625,73485,80375,133604,124630,,,,99774,208369,,
370630016034,,,,,,,,,,,,,
370630016041,64600,57040,81779,133570,201058,182584,155990,98604,,,,,
370630016042,,,137772,,52578,41400,71910,,49818,,,,
370630016043,,,,46535,,70851,55484,37125,68276,44616,,,
370630017051,141108,200725,142994,224448,278460,264434,219472,200830,166624,54315,120573,260889,499136
370630017052,390588,459540,514129,577672,521256,483060,472940,456035,381264,178646,258706,421249,325177
370630017053,288711,222705,236895,284848,321441,449163,549600,516971,474898,401108,428877,770395,786404
370630017061,462000,567675,665756,774696,699825,714343,757950,689718,683100,264305,297376,974085,1216827
370630017062,345917,320800,359260,362112,424281,444096,422218,454680,486208,308585,335758,535388,557039
370630017071,,92015,,,,49536,,51702,52875,,,,
370630017072,146475,,93840,162511,206448,227669,328987,242896,183168,80248,81050,,
370630017073,,,,,,,,,,,,,
370630017074,27630,88740,101592,126021,147576,156060,113680,89730,61866,,162239,318000,284412
370630017075,564190,741091,680035,651932,711480,634500,665475,718794,799119,715445,747166,1503791,1973505
370630017081,504336,482944,556668,557173,529575,473921,556012,507312,586880,263765,303521,931504,1875874
370630017091,151050,156480,118000,166830,168903,0,166600,193156,208656,226799,246545,253741,262069
370630017092,274227,245410,199095,110920,184528,161772,166944,213663,225855,150241,216480,323264,340686
370630017093,999372,1095150,1212100,1258676,1336326,1526868,1551616,1576638,1778004,388887,352357,2051613,2031002
370630017101,390216,327360,278200,297032,292462,315264,398970,390980,412960,179031,151806,467731,523010
370630017102,251920,263808,330190,408432,377420,303278,328328,286130,285760,257584,451704,562530,592836
370630017111,220317,207010,190156,231066,216651,264430,281134,272320,254064,774980,977217,1204583,1295207
370630017112,436020,480411,482662,551232,635065,611153,643720,672210,752000,602540,770620,665742,596761
370630017113,497497,457616,475650,450408,477802,539612,559968,581256,584640,387122,440006,673204,693503
370630018011,106182,104566,79424,,,,,,,,,,
370630018012,70140,71370,75936,34776,57150,84133,100548,145678,230545,220116,245716,263557,
370630018013,162288,246500,225170,161298,174248,171600,144771,140708,142898,279015,237650,409751,563128
370630018014,,,72726,80620,129425,147552,99691,84027,71484,279015,192873,466128,519852
370630018015,,38208,35341,,,,,,,,,,99653
370630018021,155479,70090,77500,146174,164971,208260,246744,276379,285439,366209,332673,366069,369036
370630018022,231072,174825,137808,130221,199143,243194,370944,438060,417171,334799,339903,347119,333461
370630018023,278888,334194,340844,307307,304515,245841,237500,294300,488807,547860,544446,579568,411750
370630018024,121407,115920,98884,97014,66669,117486,158873,161622,129272,65094,,,
370630018061,97830,47216,53032,97400,134190,143792,166803,,,,,,
370630018062,196854,232866,317148,266662,251160,232755,274056,408291,354723,150345,244827,480816,585550
370630018071,316279,285852,377400,371817,351594,335891,422716,354484,437437,268924,447840,692980,887092
