id,y_2001,y_2002,y_2003,y_2004,y_2005,y_2007,y_2008,y_2009,y_2010,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019
370630001011,635586,601894,670296,1171601,1088623,1061791,1686987,1753302,1839397,1734869,1682256,1854503,1752749,1684582,1714713,1839716,2553479,5781870
370630001012,922723,920089,840134,908292,871188,855138,1331300,1146412,1368957,1694017,1721309,1567735,1670278,1497345,1451199,1283916,2118451,6090715
370630001021,798279,827051,1051305,1088284,1363486,1099897,1607972,1593188,1249033,1441001,921063,901983,1137328,797954,873329,1061319,1012036,3175620
370630001022,1101312,1287418,1008377,1600855,1680770,1640376,1813417,1867564,1502393,1654415,1480970,1996049,3047828,2629372,3601968,3359580,4135826,8998110
370630002001,400795,377523,350909,506398,434290,511281,843564,841997,1060600,608950,631430,481533,353614,353614,410476,585033,782551,2169658
370630002002,235366,274909,282061,795914,683892,695416,1539819,1614931,1498346,2110154,1952047,1825775,1445178,1482057,1678901,1964440,2681382,6545335
370630002003,368205,456248,328618,409186,558693,605651,1303553,1311233,1355416,1052555,1347431,836770,880524,628198,998789,1255272,2079501,6585936
370630003011,441356,732591,732591,747235,522966,860696,956265,988615,862744,771202,929727,1144209,1083102,1245557,1676838,1254339,2365895,4335884
370630003012,575186,592022,485947,619475,783148,908988,1221703,1221703,857972,756814,844661,1001995,1311555,824851,1316299,1436992,1779009,3380403
370630003013,437873,571665,571665,682194,799592,435366,1102714,1031869,707575,689779,704964,994504,974743,468386,1063204,988294,1671698,3377831
370630003021,645991,678646,714366,513954,601414,948200,2196988,2118772,2288728,2283365,2510482,2166310,2407865,2283018,3194552,3844785,5254888,8201946
370630003022,559732,369831,623641,639665,480664,537271,1474943,2177599,2789342,2558948,2228148,2292093,2977404,2156186,2435873,2135051,2831159,6573150
370630003023,853186,840279,997912,978883,1116061,839709,1322527,1575321,1600846,1825638,2150373,2488144,2545432,2144354,4086732,3802176,6236529,13790136
370630004011,605223,532941,753110,869930,783653,792539,1887202,1813422,1696213,1938456,2205862,2275325,2156978,1798339,1452694,1584312,1995888,4420554
