id,y_2001,y_2002,y_2003,y_2004,y_2005,y_2007,y_2008,y_2009,y_2010,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019
370630001011,12818117,12173241,12645910,12558707,12182355,9305990,14933223,13423625,13509720,13275157,13222544,13630519,13528765,13436753,16226978,16104238,24880719,52086926
370630001012,2658903,2301746,1696007,1715753,1789294,1366217,1902504,1588186,1810731,2135791,2163083,2011006,2500314,1939968,1875311,1703243,2911071,9663125
370630001021,1204360,1233132,1457386,1088284,1363486,2396872,3465116,1653704,1286594,1478562,958624,939544,1274965,968883,2294665,13111874,16802716,47109538
370630001022,1739850,9507779,1673331,2012819,11320021,11548821,13445311,20134366,19987488,9640155,9463227,10069499,12250873,10838639,21892425,20277255,23351660,52061268
370630002001,5028794,5392052,5365438,4898033,4820025,4897016,4678120,4490195,4708798,4257148,4279628,4074736,3946817,3946817,4161402,3813733,5195438,11399676
370630002002,455094,494637,282061,795914,755603,810890,1814573,1889685,1773100,2384908,2089424,1963152,1780873,1799674,2362238,2106907,2681382,6545335
370630002003,368205,456248,328618,409186,558693,686616,1303553,1311233,1355416,1052555,1347431,836770,880524,628198,998789,1255272,3213876,6585936
370630003011,13008573,13299808,13986555,14612031,14129571,13936895,15175897,15089606,15169452,15927371,15225487,15378095,15406365,15479443,21161681,15959781,17207287,102509960
370630003012,799336,816172,710097,843625,852577,978417,1306562,1221703,937643,836485,924332,1081666,1391226,904522,1468040,1588733,2064697,3906314
370630003013,437873,571665,571665,682194,799592,435366,1102714,1031869,707575,689779,704964,994504,974743,468386,1063204,988294,1671698,4278551
370630003021,645991,678646,714366,513954,601414,1055108,2326084,2358591,2528547,2523184,2750301,2406129,2647684,2524965,3423039,4073272,5883238,9332202
370630003022,712874,522973,776783,792807,544117,626960,1474943,2177599,2789342,2558948,2228148,2292093,2977404,2156186,2435873,2135051,2831159,6573150
370630003023,3447823,3434916,1126284,1107255,1244433,968081,1528101,1780895,1806420,2031212,2355947,2693718,2766617,3929379,4773465,5554288,8134473,18824593
370630004011,988000,872506,1048868,1165688,1232568,1241454,3379947,3306167,3188958,3431201,3698607,3768070,3649723,3291084,3222474,3354092,4842659,9475694
370630004012,973154,960275,1205796,1812944,1079418,1517065,1713032,2175866,2237134,1876875,2042573,2227604,2222552,1745791,3132828,3304656,4834671,8153244
370630004013,1493538,1716385,1875259,2910434,1957852,1946771,2642359,3523682,3714300,3386705,3816080,3537611,4587972,4309843,7160738,7905164,10129278,21124370
370630004021,35570983,34377339,39913003,40192511,40721695,65659955,106355972,98156823,98682565,99430305,99143628,103329191,115757772,145652967,247947615,245168735,286536701,617444594
370630005001,1348621,1348621,1348621,1348621,1348621,1789265,3339622,1691237,1691237,1716178,1691237,1691237,1691237,2930540,35584704,3383163,4086330,10381681
370630005002,2422218,2386414,2451735,2524313,2451735,2406816,3148318,3208408,4048672,5826400,5326516,5288359,5288359,5288359,5055428,5418235,7629102,16801617
370630005003,5033110,5033110,5142246,5183680,4999402,4418270,5723559,5449420,5548606,5670788,7353369,9524491,9454190,9271639,10826202,10694610,13115094,28659917
370630005004,818433,1216354,1229209,2564811,2622969,2735466,3733608,2717661,2543649,2577812,2321816,1234616,1409886,1185238,1271881,1201015,1744855,6336012
370630006001,8872770,9230136,9593412,9908367,9241093,1478999,2569279,3105453,3472357,4513011,5858792,6083333,4967728,9947538,20651767,20119480,24218693,34061058
370630006002,11711742,11822771,11079517,11669309,12462073,11589759,14313294,14938208,15111706,15564909,15402288,9566354,9217895,9201172,11572021,11062571,15893399,22346339
370630006003,460243,580372,580372,1052299,1138713,883561,1047781,1373055,1575880,1522867,1909127,1591893,1455821,1403163,1479654,1769408,2287438,7630376
370630007001,1822326,1784997,1353748,1686284,1795239,14301751,19495941,9133413,9217195,26376375,23534763,26789996,27707162,59203499,69161062,66475754,78277851,214559353
370630007002,2337106,3202749,2314745,2571645,2899360,2399280,3621472,4727963,3823800,4315163,5289715,5004185,3863528,3305718,4643688,5837485,8044995,19802001
370630007003,606510,521023,725468,1538962,1179906,1418513,2127617,3150540,3519459,3490054,3386552,3102529,3397752,2880673,3174902,3864931,5085364,9386115
