"id","y_2011","y_2012","y_2013","y_2014","y_2015","y_2016","y_2017","y_2018","y_2019"
370630001011,22404195,20288576,25247789,25319840,26481168,33233955,36060829,30665216,30015
370630001012,31294824,30860712,28227336,23837472,24586224,30537149,33522005,41346914,27629
370630001021,41143014,45075228,51433866,50364552,52511144,56597528,52811900,47833557,22463
370630001022,37317618,39749214,43616132,47299076,46745244,48780184,48195000,47111544,23968
370630002001,17209980,18424622,19643568,21710245,22707104,20785169,25547280,29640532,23650
370630002002,21494895,17516179,17539288,13761056,15829220,16183566,22376276,26024641,25483
370630002003,33980960,32251176,32341959,32183890,31135018,37536785,40986324,41727450,48613
370630003011,18241311,19521130,21219228,18358216,16471950,17366730,18500964,20641950,19401
370630003012,13762064,13406549,16343886,15141094,13759137,16005024,18085632,15416505,26975
370630003013,19144202,16232844,16521314,19432106,22602048,27797572,28065198,31276890,51440
370630003021,34046970,34751762,30308908,30626184,32240268,35121432,51549066,54723672,66005
370630003022,38893590,40459492,40700946,38924844,40621882,46420146,39318067,52381428,42935
370630003023,42008428,37420059,47731754,42494604,44787208,46952064,55117660,55579150,40002
370630004011,34215795,34873224,31092180,35232378,39534480,37064853,39680464,40298310,45591
370630004012,30486780,37310512,39913620,43532406,42690877,43727853,48665760,53955080,46995
370630004013,37640498,31665024,35126091,34522197,34659022,40141689,39562575,43715606,43184
370630004021,57243537,55248648,50876184,55249320,63016801,63647298,76415430,82086346,37990
370630005001,6962165,6635573,6718932,7565760,7618483,7109256,7439124,7437702,6552
370630005002,10642180,15901480,13660568,15037752,19122785,16790312,20491873,30273362,47390
370630005003,14479920,14136238,11357244,10999112,12966768,15828126,16892370,19683198,25435
370630005004,9109035,9956114,12166084,13391675,15219165,17225433,20275112,23752947,10919
370630006001,65845908,83193264,76126045,71777900,70097394,77920241,81062451,80772706,35069
370630006002,47191932,51839170,47944569,48061890,57591328,59635116,68270405,83870880,40344
370630006003,35246580,23546050,18696188,24361013,36571689,39926180,48713280,51206808,125519
370630007001,17538681,23975712,23109867,26441511,25839218,26096481,27931150,39456088,37443
370630007002,50905919,45562890,51073958,48571092,54927197,62395450,68152900,77290472,61575
370630007003,43755426,54118346,51359085,52162600,52553835,64911930,66994121,64900674,58075
370630009001,10159758,11019021,13319584,12567016,12308870,12202645,16252236,14680996,17630
370630009002,9719476,8362962,9993276,11967964,15632562,14549632,14444220,15826402,23752
370630010011,17382411,16821504,19225150,18761652,18168790,19373904,14441024,12081846,19647
370630010012,10417440,12877592,9013900,13679840,13339634,16015250,15898896,18381594,12637
370630010013,9958550,12981898,18552866,27036270,26355238,24513066,27017641,30166984,16491
370630010021,29099784,31594707,29151489,25097581,26025621,29467362,26797825,22410305,8695
370630010022,5745320,7221825,15025120,18577072,18335526,15984400,25292432,14412552,14885
370630010023,9191264,9344192,9615116,10710360,12528042,7992629,11802742,11516868,13773
370630010024,11166525,10196556,7947720,13076448,12790421,15416837,17265960,19059410,14525
370630011001,9661112,15471493,17010218,18626038,22906912,26842365,28987084,28908264,17410
370630011002,11998728,11416574,12722670,13500441,14640288,15297984,15673966,17100450,14021
370630013011,11981850,13837880,12518352,16308261,21647460,20373760,20344800,25374936,17126
370630013031,21174843,20191304,22743360,23583880,27873129,26084310,26288590,23568025,7736
370630013032,9614336,8906270,9573992,7999935,8929686,8336006,8260188,14317542,19956
370630013041,31728996,30371550,35664552,38990262,36569860,39231306,41375295,48257734,15670
370630014001,9806574,10560416,10209528,11173261,12809908,13788902,9017982,9254070,22852
370630014002,18743810,18186192,33825660,33370650,27233063,28747664,39001495,12898852,7713
