id,y_2010,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021
370630001011,1261,973,1165,1369,1186,1099,1110.8,1068.7
370630001012,1891,1922,1861,1705,1883,2051,2619.49,2867.06
370630001021,2585,2716,2918,2900,2523,2302,2073.45,2111.84
370630001022,1950,1729,1588,1620,1863,2128,1628.55,1627.16
370630002001,861,1424,1219,1320,1273,1094,1109.26,1248.51
370630002002,1111,844,903,1027,1049,1162,1271.74,1504.49
370630002003,974,922,1117,972,894,1087,928,652
370630003011,1019,1005,995,1068,1050,1108,1132.92,1176.83
370630003012,728,609,714,768,657,592,709.54,514.3
370630003013,757,938,869,782,747,681,669.51,886.14
370630003021,779,809,849,986,916,938,1040,1136
370630003022,1114,1141,1206,929,1111,1314,1122,1040
370630003023,1533,1528,1538,1495,1529,1567,1353,1434
370630004011,898,810,789,848,810,888,970.17,899.15
370630004012,931,1129,1189,1144,1160,1076,825.91,886.02
370630004013,694,943,1057,975,946,936,943.49,902.55
370630004021,1963,2021,2054,2093,2242,2337,2606.46,2807
370630005001,1155,769,924,996,1007,1100,1072.52,1014.9
370630005002,584,649,616,529,622,576,695.48,765.1
370630005003,1289,954,1039,1017,894,899,1037,1010
370630005004,1065,1105,1191,1628,1973,1957,1797.96,1661.72
370630006001,2431,2973,2989,2889,2582,2817,3057.04,3344.28
370630006002,2228,2636,2406,2317,2461,2222,1510.91,1589.68
370630006003,518,539,622,528,516,465,503.09,489.32
370630007001,718,998,909,970,1169,1200,1286,1462
370630007002,1030,1087,1475,1324,1256,1276,1161,1226
370630007003,1082,1395,1347,1451,1181,1206,1253,1254
370630009001,801,1010,845,1089,1033,959,904,810
370630009002,867,1166,1154,1020,773,751,800,941
370630010011,878,1333,1296,884,694,864,1034,836
370630010012,1299,1034,1175,1404,1694,1421,1492,1007
370630010013,1289,1963,1906,1513,1748,1421,1299,1829
370630010021,3045,2643,2654,2525,2209,3056,2529,2473
370630010022,787,1059,898,1097,924,674,1175,1083
370630010023,846,802,641,749,916,860,603,605
370630010024,1296,1421,1583,1752,1730,1341,1221,1377
370630011001,1947,2087,2321,2116,1848,1760,1927,1720
370630011002,1278,1248,1296,1309,1325,1423,1157,1382
370630013011,1128,1292,1408,1384,1486,1382,1805,1957
370630013031,3121,2991,3122,3154,3175,3354,3657.72,3727.49
370630013032,555,474,469,492,753,631,825.28,809.51
370630013041,2557,2798,3006,3305,3226,3411,2875,2577
370630014001,984,733,626,438,397,353,786,636
370630014002,1625,1727,1916,1937,2108,2044,1879,1937
370630015011,3070,2836,2911,2948,3162,3387,3498,3559
370630015021,2391,2996,2827,2861,2878,2649,2456.81,2256.69
370630015022,1024,1011,947,806,756,828,1613.19,1665.31
370630015023,2117,1927,2129,1919,2145,2082,1996.96,1880.99
370630015024,454,507,389,455,398,369,311.04,312.01
370630015031,1941,1621,1642,1638,1671,1727,1923,1909
370630016011,1124,1482,1407,1488,1270,1342,1154,1341
370630016012,2984,2808,3190,3309,3603,3841,3407.07,2619.04
370630016013,1698,1548,1517,1264,1234,1252,1175.93,1223.96
370630016031,638,652,751,596,600,497,831.32,929.87
370630016032,2624,2893,2885,3136,3043,3294,3745.66,3820.72
370630016033,1227,1348,1210,1250,1240,1323,1252.02,1240.41
370630016034,1782,1362,1431,1506,1703,1715,1513.51,1244
370630016041,1979,1947,1882,1864,1793,1931,1962.16,2073.23
370630016042,2842,2744,2647,2781,2837,2817,2981.84,2855.77
370630016043,1824,2086,2070,2019,1902,1633,1946,1662
370630017051,1611,1667,1747,1362,1373,1722,1269.31,1714.97
370630017052,1535,2033,2084,2443,2229,1936,2158.73,1977.94
370630017053,1373,1035,1371,1393,1513,1392,1444.69,1656.03
370630017061,2310,2822,3313,3250,3119,3169,3159.74,3023.16
370630017062,1869,1986,1720,1704,2069,2152,2019.26,2195.84
370630017071,1068,1109,1159,983,959,858,875.28,991.01
370630017072,1601,1945,1862,1857,1493,1843,1960.25,1808.64
370630017073,627,340,438,402,483,539,564,439
370630017074,1744,1963,1994,1912,2023,1990,2644,2678
370630017075,1445,1557,1589,1678,1765,1855,2147,2286
370630017081,3989,5414,5260,5674,5273,5245,5317,5049
370630017091,971,896,681,1028,1261,1376,1237.05,1483.43
370630017092,975,933,1027,1020,1009,872,902.7,995.23
370630017093,4163,4660,4769,4878,4952,4716,4812.96,4763.58
370630017101,2581,2531,3022,3048,3188,3297,3360,3071
370630017102,2124,1713,1326,1354,1331,1597,1310,1776
370630017111,1305,1278,1161,1280,1244,1216,1596.49,1845.88
370630017112,1616,1847,1821,1850,1666,1706,1290.51,1468.12
370630017113,1582,1575,1638,1610,1563,1543,1409.27,1408.06
370630018011,1890,2719,1693,1745,1705,1616,1271.17,1308.34
370630018012,658,412,750,716,1066,1182,1383,1194
370630018013,2550,2995,3758,3637,3122,3166,3276.81,3260.16
370630018014,1279,1393,1159,1367,1937,2296,2317.53,2375.37
370630018015,746,489,492,438,435,358,828.49,829.14
370630018021,2033,2108,2310,2463,2274,2272,2971.98,2692.69
370630018022,1629,1670,1855,2319,2223,1986,1818.02,1756.31
370630018023,2176,2263,2125,2046,1936,2504,2340,2277
370630018024,898,816,1162,1365,1518,1359,881,405
370630018061,1742,2168,2159,2118,2032,1565,1953,1965
370630018062,3930,3506,3845,4688,5511,5851,5798,5670
370630018071,3266,3055,2882,3439,3025,3192,4144,3994
370630018072,3450,3515,3631,3789,3787,4014,3355,3710
370630018073,2700,2722,2640,2404,2623,2949,3127,2542
370630018081,2080,2092,2389,2404,2582,1950,2158,2052
370630018082,2966,5026,5565,6328,7162,8457,8699.26,8963.82
370630018091,2484,2826,2781,3167,3657,3855,4407,4862
370630018092,2664,3270,2667,2769,2514,2362,1962.74,2094.18
370630019001,729,663,659,966,1493,1806,3022.24,3625.6
370630019002,2118,2348,2443,2487,2635,2612,1960.76,1985.4
370630020071,1732,2001,1827,2006,1737,1752,1626.16,1663.25
370630020072,2306,2133,2529,2388,2546,2328,2563.84,2591.75
370630020073,816,730,725,778,646,775,788,929
370630020081,960,859,921,896,870,958,1757,1837
370630020082,1947,2210,2180,2207,2195,2111,1985,1947
370630020091,1904,1692,1601,1494,1771,2249,2326,2487
370630020092,1119,1019,1151,1220,1115,1126,1532,1490
370630020093,1662,1692,1807,1842,1802,1677,1466,1062
370630020131,1553,1375,1387,1316,1373,1569,1926.84,2086.63
370630020132,898,957,1018,999,1181,1016,1001.3,966.26
370630020133,2030,2351,2145,2132,2023,2094,1778.86,1718.11
370630020151,2253,2865,2595,3038,3489,3471,2585.33,2937.12
370630020152,2183,1845,2153,2062,1783,1693,1833.55,1641.6
370630020153,691,736,757,682,666,637,625.12,600.31
370630020161,3228,2825,2982,3323,2870,3081,2585.72,2684.66
