"id","y_2014","y_2018"
370630001011,0,0
370630001012,0,37
370630001021,3,17
370630001022,164,386
370630002001,0,0
370630002002,0,0
370630002003,0,0
370630003011,204,244
370630003012,0,0
370630003013,0,0
370630003021,0,0
370630003022,0,0
370630003023,0,0
370630004011,206,226
370630004012,0,2
370630004013,37,37
370630004021,931,1615
370630005001,0,0
370630005002,0,0
370630005003,0,0
370630005004,0,0
370630006001,0,0
370630006002,0,0
370630006003,0,0
370630007001,0,338
370630007002,0,0
370630007003,0,0
370630009001,0,0
370630009002,0,0
370630010011,0,0
370630010012,0,0
370630010013,0,0
370630010021,49,66
370630010022,124,150
370630010023,78,100
370630010024,14,18
370630011001,0,0
370630011002,0,0
370630013011,13,378
370630013031,0,16
370630013032,0,0
370630013041,0,0
370630014001,0,0
370630014002,0,0
370630015011,0,137
370630015021,0,1356
370630015022,0,831
370630015023,0,743
370630015024,0,392
370630015031,0,0
370630016011,0,0
370630016012,13,29
370630016013,0,0
370630016031,0,0
370630016032,10,21
370630016033,0,0
370630016034,0,0
370630016041,0,0
370630016042,0,0
370630016043,0,0
370630017051,2,3
370630017052,595,670
370630017053,148,480
370630017061,477,477
370630017062,163,176
370630017071,0,0
370630017072,4,4
370630017073,0,0
370630017074,0,0
370630017075,0,0
370630017081,382,386
370630017091,0,0
370630017092,0,0
370630017093,0,583
370630017101,63,65
370630017102,0,0
370630017111,401,1171
370630017112,73,75
370630017113,144,163
370630018011,6,7
370630018012,0,0
370630018013,0,0
370630018014,9,14
370630018015,0,0
370630018021,0,0
370630018022,0,0
370630018023,0,0
370630018024,0,0
370630018061,16,18
370630018062,0,0
370630018071,13,14
370630018072,22,25
370630018073,25,29
370630018081,2,4
370630018082,16,23
370630018091,0,0
370630018092,0,0
370630019001,0,0
370630019002,0,0
370630020071,0,0
370630020072,0,264
370630020073,0,0
370630020081,0,0
370630020082,2,4
370630020091,0,0
370630020092,0,0
370630020093,25,33
370630020131,0,0
370630020132,0,0
370630020133,0,0
370630020151,0,0
370630020152,0,164
370630020153,0,0
370630020161,362,362
370630020162,465,480
370630020171,1,1
370630020172,0,0
370630020173,1,1
370630020181,0,0
370630020182,261,261
370630020183,15,19
370630020191,350,358
370630020192,0,0
370630020193,0,0
370630020201,0,0
370630020202,0,0
370630020211,811,781
370630020212,0,0
370630020221,630,902
370630020222,409,539
370630020231,0,0
370630020232,357,636
370630020241,24,58
370630020242,0,0
370630020243,120,199
370630020251,0,15
370630020252,0,0
370630020253,0,0
370630020261,65,88
370630020262,0,0
370630020271,0,0
370630020272,105,106
370630020273,0,0
370630020281,156,193
370630020282,832,832
370630020283,0,0
370630021001,0,0
370630021002,0,0
370630021003,0,0
370630022001,115,241
370630023001,13,73
370630023002,217,624
370639801001,0,0
