id,y_2010,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021
370630001011,18,0,0,0,0,0,0,0,18.811907983764,30.457374830856
370630001012,19,0,0,0,0,0,0,0,19.188092016236,3.542625169144
370630001021,21,0,0,0,15,17,12,42,29.698784454649,22.974058002005997
370630001022,44,0,18,36,38,66,107,97,35.301215545351,69.025941997994
370630002001,2,11,12,0,0,0,0,0,4.466918714548,75
370630002002,11,0,0,0,0,0,0,0,25.533081285452,0
370630002003,10,15,5,19,17,5,8,7,15,13
370630003011,17,156,168,108,72,20,24,18,33.372693726944,26.34686346864
370630003012,14,0,0,0,18,26,20,28,31.635514018675,9.03871829105
370630003013,23,29,37,24,28,31,25,39,23.178791615278,8.023427866827
370630003021,18,61,59,58,58,54,11,17,22,11
370630003022,27,27,21,12,0,0,0,46,21,63
370630003023,40,54,28,60,88,79,27,58,55,61
370630004011,16,0,0,0,0,0,0,0,17.507380073802,19.19003690037
370630004012,39,22,17,30,41,12,33,43,34.119926199254,15.46309963099
370630004013,28,93,96,62,60,47,14,16,17.44859813084,23.41388518024
370630004021,103,294,197,195,190,181,165,134,370.737096235172,286.523968661873
370630005001,231,149,188,99,89,144,138,120,190.56058890148,109.89014722537
370630005002,13,19,21,28,106,14,17,13,44.43941109852,11.10985277463
370630005003,31,57,61,96,131,131,215,112,112,20
370630005004,2,0,0,0,0,0,144,104,57.56551141164,168.858833474144
370630006001,45,107,166,162,158,141,55,20,55.43448858836,180.141166525856
370630006002,76,37,46,43,165,104,52,45,95.125537303378,19.237668161415
370630006003,18,0,14,14,15,41,44,57,26.874462696622004,35.762331838585
370630007001,11,0,0,18,25,49,66,50,125,80
370630007002,19,8,8,22,14,12,52,58,43,47
370630007003,17,77,64,83,70,74,39,38,19,25
370630009001,0,0,0,0,0,0,0,10,2,14
370630009002,9,0,0,0,0,0,0,6,5,7
370630010011,0,0,0,0,0,0,0,0,28,0
370630010012,2,0,0,0,0,0,19,21,25,7
370630010013,0,43,49,0,0,0,0,0,32,9
370630010021,18,0,0,0,0,0,0,0,8,0
370630010022,0,0,0,0,0,0,0,0,6,0
370630010023,0,0,0,0,0,0,0,0,4,0
370630010024,2,0,0,0,0,105,165,176,5,318
370630011001,3,0,0,0,0,0,0,0,42,0
370630011002,0,0,0,0,0,0,0,0,46,48
370630013011,3,0,0,5,5,3,4,5,14,0
370630013031,1,121,93,101,94,92,87,87,18.091764705884,65.585882352944
370630013032,1,0,0,0,0,0,0,0,4.908235294116,8.414117647056
370630013041,2,16,12,12,0,0,0,0,9,0
370630014001,0,0,0,0,0,0,0,0,1,0
370630014002,2,0,0,0,0,0,0,0,12,0
370630015011,961,586,481,623,644,603,577,585,64,408
370630015021,45,131,158,187,247,248,239,239,256.260294909575,194.204922452397
370630015022,239,161,227,329,249,274,368,418,594.739705090425,642.7950775476029
370630015023,567,536,615,746,842,814,941,763,830.348296626052,495.74905368114
370630015024,20,0,0,0,0,0,0,0,52.651703373948,29.25094631886
370630015031,443,408,335,294,328,332,314,342,31,316
370630016011,29,86,87,152,124,24,21,21,23,0
370630016012,91,6,5,0,23,20,25,78,87.412911084042,64
370630016013,28,0,0,0,0,0,0,0,29.587088915958,67
370630016031,7,0,0,0,0,0,0,0,39.86781792451,21.55295315681
370630016032,199,118,132,164,204,211,207,151,197.400669750417,118.44704684319
370630016033,24,0,0,0,0,0,0,0,10.731512325073,0
370630016034,16,0,0,0,0,0,0,0,16.707317073176,0.975609756098
370630016041,64,52,13,10,13,14,0,0,52.654343807770005,0
370630016042,33,115,133,20,14,17,35,41,60.34565619223,21
370630016043,88,89,52,48,63,209,171,170,41,216
370630017051,40,0,0,0,0,0,45,31,32.353673723532,14
370630017052,57,0,20,83,126,159,120,174,105.634511683608,14
370630017053,56,22,22,23,0,0,0,0,65.646326276468,0
370630017061,195,226,219,396,338,315,296,335,307.9843294858,116.546395781734
370630017062,132,180,181,316,245,220,246,205,176.0156705142,246.453604218266
370630017071,27,79,111,51,34,22,30,48,43.763948497845,46.681545064368
370630017072,41,57,150,201,201,129,194,89,43.408701074801,1.318454935632
370630017073,27,62,52,14,14,12,18,34,28,0
370630017074,48,9,54,53,53,54,52,0,71,5
370630017075,78,187,153,100,77,20,84,135,153,113
370630017081,61,272,90,75,69,14,30,38,93,67
370630017091,6,0,0,0,0,0,0,0,3.637193656872,1.412301777976
370630017092,0,0,0,0,0,0,0,0,0,0
370630017093,42,114,159,151,174,158,52,61,99.362806343128,65.587698222024
370630017101,134,294,311,224,319,120,111,122,117,153
370630017102,24,0,0,0,0,0,52,49,35,123
370630017111,20,0,0,0,0,95,90,82,69.083018867938,49
370630017112,19,16,17,20,29,23,0,0,25.916981132062,0
370630017113,34,94,39,37,31,36,37,14,43.365488316392,12
370630018011,7,0,0,0,0,0,0,0,6.612062341370001,0
370630018012,1,0,0,0,0,0,0,0,4,0
370630018013,12,0,0,0,0,0,1,1,30.351071988674,0.849789424427
370630018014,5,17,57,53,20,37,22,0,8.945137651011999,0
370630018015,2,0,0,0,0,0,0,0,5.091728018944,0.150210575573
370630018021,9,20,20,18,18,0,0,0,9.8061388058,0
370630018022,3,0,0,0,0,0,0,0,10.1938611942,0
370630018023,20,0,0,0,0,1,52,74,28,122
370630018024,4,28,30,0,0,0,0,0,19,0
370630018061,5,20,0,0,0,0,0,0,11,0
370630018062,30,83,48,33,48,41,0,0,77,16
370630018071,46,30,25,29,25,19,10,12,47,32
370630018072,72,48,72,83,86,34,30,8,52,0
