id,y_2010,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020
370630001011,294,60,93,184,152,239,1187.8376184033839
370630001012,288,517,450,433,388,187,1842.102803227706
370630001021,957,800,861,845,828,717,2373.036666989721
370630001022,336,305,290,329,493,513,1683.963333010279
370630002001,116,697,477,483,368,384,848.61153119065
370630002002,300,127,124,167,245,339,908.38846880935
370630002003,169,171,279,226,160,187,851
370630003011,206,233,282,203,238,258,888.7675276754561
370630003012,177,130,116,120,33,11,612.82510013319
370630003013,136,269,179,107,88,59,657.029593094611
370630003021,55,38,40,72,40,81,796
370630003022,325,268,218,141,214,285,1018
370630003023,312,396,394,318,311,328,1499
370630004011,101,18,80,76,73,61,871.143911439148
370630004012,43,102,97,97,71,94,982.088560885396
370630004013,48,8,51,55,56,45,638.061415220272
370630004021,298,171,165,192,208,183,2826.083891551249
370630005001,80,12,10,58,59,99,1102.586636466696
370630005002,70,23,11,0,0,0,601.413363533304
370630005003,495,26,27,25,21,26,1116
370630005004,205,151,255,435,426,364,1055.3677092134
370630006001,431,258,276,264,138,124,2541.6322907866
370630006002,965,739,371,674,888,914,2014.536646466609
370630006003,15,0,0,0,0,0,505.463353533391
370630007001,43,127,32,26,69,81,1294
370630007002,45,24,33,0,0,4,1084
370630007003,46,156,131,179,155,162,1036
370630009001,332,509,400,434,391,408,816
370630009002,124,173,164,200,177,92,840
370630010011,187,129,315,315,276,364,855
370630010012,373,121,249,329,527,440,1423
370630010013,283,494,564,92,239,168,1398
370630010021,1243,1202,1634,1648,1414,1863,2815
370630010022,217,241,120,129,108,100,799
370630010023,329,285,242,289,393,285,792
370630010024,706,694,902,1061,750,644,1248
370630011001,573,599,627,487,249,289,1892
370630011002,251,203,230,391,455,332,1882
370630013011,80,220,177,142,158,177,1338
370630013031,93,306,330,117,136,147,3404.880000000194
370630013032,12,0,0,0,0,0,578.119999999806
370630013041,303,244,243,400,506,640,2561
370630014001,33,113,183,63,68,53,725
370630014002,174,70,133,270,261,334,1870
370630015011,187,187,213,213,198,290,3379
370630015021,1136,1190,1135,951,849,685,1967.182626405956
370630015022,80,137,122,96,22,21,1650.817373594044
370630015023,382,87,91,77,256,314,2540.49095739756
370630015024,65,115,0,81,78,84,279.50904260244
370630015031,175,125,143,154,131,130,1809
370630016011,61,0,51,169,116,267,1316
370630016012,131,308,537,440,433,414,2766.8964677222302
370630016013,120,402,302,0,0,0,1620.10353227777
370630016031,55,57,55,57,22,0,633.38269124042
370630016032,155,365,290,271,172,135,2833.348821085232
370630016033,66,0,0,45,70,277,1212.268487674348
370630016034,53,27,32,66,155,102,1654.58536585408
370630016041,78,18,25,32,15,83,1841.16451016667
370630016042,65,14,75,80,69,70,2770.83548983333
370630016043,111,32,39,22,34,42,1635
370630017051,223,230,329,136,105,347,1477.082191780544
370630017052,104,283,140,382,263,305,2173.519472737439
370630017053,199,66,318,395,485,488,1331.917808219456
370630017061,149,341,280,307,97,222,2808.776667523395
370630017062,198,106,21,8,116,151,1973.223332476605
370630017071,78,228,229,138,128,18,1052.279828325962
370630017072,77,60,71,123,100,108,1508.826154579935
370630017073,28,0,0,0,0,0,571
370630017074,89,176,186,0,16,28,1910
370630017075,38,32,43,41,99,56,1972
370630017081,329,821,865,1001,1008,822,4519
370630017091,125,0,0,0,282,485,975.9122616430531
370630017092,50,0,71,81,67,75,1007.047845316953
370630017093,505,702,606,932,916,447,5528.099471408904
370630017101,317,414,389,444,590,553,2522
370630017102,955,616,346,283,147,266,1690
370630017111,386,443,421,361,287,248,1547.09433962343
370630017112,469,486,275,342,320,376,1516.90566037657
370630017113,314,230,366,414,423,371,1666.480527262561
370630018011,258,44,24,148,109,83,2049.198924238488
370630018012,174,0,378,293,502,386,693
370630018013,425,487,616,786,1145,1379,2752.5749743305
370630018014,321,783,439,442,534,770,1534.7076648838138
370630018015,97,95,91,28,30,39,685.518436547198
370630018021,443,625,455,643,605,753,2239.882029144908
370630018022,530,709,649,882,769,633,1675.117970855092
370630018023,292,613,772,583,392,489,2266
370630018024,245,511,724,874,1046,1058,832
370630018061,132,408,325,583,191,278,1628
370630018062,420,123,223,112,251,460,4715
370630018071,818,439,590,950,1169,1337,3277
370630018072,301,641,604,503,152,221,3245
370630018073,294,297,399,564,498,639,2784
370630018081,199,54,50,85,253,234,1999
370630018082,439,694,527,627,588,450,8594.750000000615
370630018091,289,565,188,272,605,599,3901
370630018092,242,527,13,24,18,143,2877.249999999384
370630019001,57,10,7,23,43,33,3650.84880245885
370630019002,118,56,57,128,102,133,2159.150987305732
370630020071,85,11,34,34,35,84,1762.901664145136
370630020072,148,379,417,207,44,31,2148.098335854864
370630020073,47,1,1,110,115,114,840
370630020081,21,0,0,0,0,7,965
370630020082,66,36,50,66,75,64,1975
370630020091,328,145,211,292,419,660,1822
370630020092,143,233,335,341,323,102,1004
370630020093,121,41,194,311,191,232,1735
