"id","y_2010","y_2015","y_2016","y_2017","y_2018"
370630001011,24,80,85,65,0
370630001012,49,28,11,24,7
370630001021,63,24,0,41,41
370630001022,41,54,81,84,79
370630002001,27,29,24,24,41
370630002002,28,1,1,1,8
370630002003,22,0,0,0,0
370630003011,35,17,12,28,29
370630003012,14,0,4,4,4
370630003013,33,7,0,0,23
370630003021,23,13,0,67,67
370630003022,26,50,68,45,11
370630003023,47,21,45,37,79
370630004011,30,0,9,17,41
370630004012,21,5,15,31,24
370630004013,18,0,0,0,0
370630004021,50,56,54,65,49
370630005001,21,36,39,24,51
370630005002,22,7,22,19,34
370630005003,22,40,33,46,32
370630005004,34,10,0,12,12
370630006001,83,260,234,257,271
370630006002,29,13,14,62,69
370630006003,6,16,19,18,16
370630007001,17,0,9,10,12
370630007002,29,45,48,54,39
370630007003,29,23,18,21,16
370630009001,14,0,0,0,5
370630009002,18,4,22,24,29
370630010011,16,92,148,42,39
370630010012,19,189,66,74,30
370630010013,23,204,193,1,0
370630010021,53,45,52,23,24
370630010022,11,0,0,0,10
370630010023,13,0,0,0,0
370630010024,16,54,64,62,92
370630011001,34,15,25,24,22
370630011002,26,3,4,3,4
370630013011,23,40,45,35,7
370630013031,67,94,95,91,121
370630013032,22,3,0,0,39
370630013041,56,75,171,468,415
370630014001,12,30,28,0,0
370630014002,38,178,183,25,22
370630015011,40,85,81,73,71
370630015021,28,40,53,102,136
370630015022,30,16,16,0,0
370630015023,51,134,162,160,97
370630015024,10,0,24,24,23
370630015031,39,73,40,35,24
370630016011,27,39,39,26,29
370630016012,66,45,82,122,180
370630016013,37,0,0,0,0
370630016031,8,0,0,0,49
370630016032,76,43,60,70,73
370630016033,28,61,63,65,63
370630016034,43,0,0,13,19
370630016041,48,50,56,53,69
370630016042,38,27,22,70,76
370630016043,32,91,81,64,50
370630017051,37,9,7,8,0
370630017052,30,0,0,0,25
370630017053,45,1,1,1,56
370630017061,66,17,46,135,203
370630017062,50,92,39,24,71
370630017071,18,13,13,11,13
370630017072,43,162,163,180,0
370630017073,5,10,0,0,0
370630017074,26,56,61,13,14
370630017075,11,0,0,16,29
370630017081,116,346,85,90,67
370630017091,16,0,0,0,0
370630017092,11,15,14,0,0
370630017093,96,134,216,168,185
370630017101,81,31,42,82,75
370630017102,68,10,19,23,23
370630017111,32,41,36,59,41
370630017112,37,68,97,33,17
370630017113,33,9,23,49,32
370630018011,53,233,159,23,9
370630018012,13,29,0,0,0
370630018013,40,0,0,0,0
370630018014,21,0,0,0,0
370630018015,18,0,0,11,17
370630018021,49,107,112,48,45
370630018022,37,0,165,106,136
370630018023,49,1,1,22,66
370630018024,16,8,5,22,25
370630018061,12,0,0,0,0
370630018062,82,24,39,79,103
370630018071,71,53,75,95,120
370630018072,89,82,93,84,0
370630018073,63,52,38,0,38
370630018081,56,268,30,13,17
370630018082,70,64,156,151,177
370630018091,76,32,34,16,14
370630018092,64,114,85,106,100
370630019001,8,35,41,28,33
370630019002,40,108,86,108,103
370630020071,20,40,26,0,0
370630020072,70,21,46,45,13
370630020073,30,0,63,80,75
370630020081,14,20,20,58,51
370630020082,29,63,66,101,92
370630020091,37,0,0,0,77
370630020092,22,16,18,27,86
370630020093,24,0,72,83,91
370630020131,40,115,116,86,70
370630020132,39,20,11,0,0
370630020133,68,51,49,53,57
370630020151,50,2,2,45,49
370630020152,76,135,117,99,92
370630020153,9,5,5,0,0
370630020161,70,103,120,48,68
370630020162,57,230,23,24,19
370630020171,62,105,144,139,170
370630020172,30,0,22,10,34
370630020173,64,194,152,136,64
370630020181,32,22,33,54,65
370630020182,96,16,93,180,170
370630020183,85,150,107,200,122
370630020191,49,0,0,25,22
370630020192,46,0,0,4,4
370630020193,23,0,0,0,0
370630020201,69,125,112,162,75
370630020202,116,0,125,215,376
370630020211,84,37,77,32,76
370630020212,41,0,0,0,0
370630020221,49,63,72,58,15
370630020222,76,31,102,126,125
370630020231,39,0,0,16,25
370630020232,54,16,0,30,60
370630020241,122,0,0,33,55
370630020242,34,0,0,15,14
370630020243,19,39,41,51,28
370630020251,48,170,139,124,87
370630020252,67,0,0,0,0
370630020253,39,85,63,33,46
370630020261,44,122,140,70,91
370630020262,69,76,76,158,121
370630020271,40,47,46,51,15
370630020272,149,252,112,28,47
370630020273,49,32,36,39,42
370630020281,63,92,96,130,153
370630020282,33,19,65,43,45
370630020283,95,136,101,149,146
370630021001,46,26,25,0,0
370630021002,39,200,248,299,301
370630021003,31,18,19,18,21
370630022001,55,66,51,47,26
370630023001,7,3,4,0,0
370630023002,1,0,0,0,12
370639801001,0,0,0,0,0
