id,y_2010,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021
370630001011,546,517,669,700,662,642,572.419485791676,723.8105548038719
370630001012,294,235,236,300,384,409,461.047975253224,584.189445196128
370630001021,646,963,974,905,795,866,892.97228470563,933.644167978392
370630001022,879,783,849,830,781,829,809.02771529437,1046.355832021608
370630002001,293,326,334,337,326,378,370.88941398851,585.324196597082
370630002002,255,350,389,395,424,459,486.11058601149,892.6758034029181
370630002003,600,542,677,726,698,859,655,552
370630003011,270,279,296,277,294,321,411.889298893072,343.387453874608
370630003012,186,142,203,286,271,242,312.73965287032996,245.85313751656
370630003013,439,539,562,555,575,517,507.258939580507,697.146732428746
370630003021,605,614,640,718,783,718,693,784
370630003022,562,591,702,649,758,853,710,875
370630003023,891,854,895,924,918,877,1078,968
370630004011,629,784,692,716,636,731,675.6042435424511,761.510147601489
370630004012,789,983,1027,995,1008,872,858.506457564477,708.102398523903
370630004013,555,834,912,827,823,816,565.320427236304,820.257676902528
370630004021,1362,1461,1541,1544,1710,1841,2164.680980312513,2099.742453151894
370630005001,559,453,542,536,493,547,588.010192525554,667.434881087302
370630005002,297,405,333,350,394,377,416.989807474446,569.565118912698
370630005003,100,205,188,215,250,238,352,332
370630005004,68,114,163,114,117,154,236.978021977918,454.767540151956
370630006001,1015,1247,1182,1327,1460,1572,1438.021978022082,2160.232459848044
370630006002,767,988,915,964,1086,1016,973.904593930591,947.9176898753119
370630006003,440,482,562,432,409,329,413.095406069409,363.082310124688
370630007001,372,545,601,679,800,777,822,808
370630007002,748,674,773,911,838,1001,831,940
370630007003,515,579,614,577,592,748,592,838
370630009001,36,49,55,108,143,117,100,359
370630009002,26,32,39,101,96,117,270,247
370630010011,82,144,137,160,179,216,190,307
370630010012,113,64,73,90,91,103,265,352
370630010013,96,160,195,121,114,147,213,326
370630010021,133,198,69,157,152,127,266,742
370630010022,77,53,27,131,128,115,104,247
370630010023,76,4,3,3,4,53,98,325
370630010024,87,166,167,105,164,172,168,474
370630011001,138,193,297,391,390,443,473,607
370630011002,86,89,71,82,77,111,357,441
370630013011,26,43,58,52,38,46,167,472
370630013031,65,199,223,272,316,451,134.774117647074,972.4470588235899
370630013032,1,23,41,9,49,58,45.225882352926,180.55294117641
370630013041,38,55,93,28,42,72,196,524
370630014001,5,0,0,0,0,0,28,251
370630014002,27,2,33,29,28,37,90,311
370630015011,1527,1342,1307,1324,1433,1572,234,2178
370630015021,233,386,459,554,590,526,503.287556085784,626.58594349647
370630015022,651,529,549,425,333,358,712.712443914216,717.41405650353
370630015023,433,327,329,352,389,422,768.647497512348,698.37074156513
370630015024,33,19,103,92,92,89,77.352502487652,131.62925843487
370630015031,1044,665,655,661,735,819,232,1132
370630016011,814,923,899,911,718,798,877,1094
370630016012,1643,1515,1491,1495,1746,1505,1463.386114494486,1192.560292326402
370630016013,1153,847,901,1027,1027,1057,1076.613885505514,707.439707673598
370630016031,458,425,600,495,448,406,360.197644204552,618.25878131479806
370630016032,1537,1497,1522,1801,1766,1937,1685.87297538264,2698.534023482538
370630016033,954,929,955,901,905,769,878.929380412808,1139.207195202664
370630016034,1556,1217,1340,1349,1417,1501,1398.146341463772,1149.3414634149522
370630016041,1565,1709,1577,1603,1543,1653,1516.5064695011802,1651.85397412227
370630016042,2363,2543,2326,2281,2371,2372,2217.49353049882,2031.1460258777302
