id,y_2000,y_2001,y_2002,y_2004,y_2005,y_2006,y_2007,y_2008,y_2009,y_2010,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019
370630001011,89,78,96,92,86,98,110,89,93,71,78,45,61,68,54,40,60,49,35
370630001012,147,179,180,158,156,129,168,171,182,134,107,114,117,88,63,71,45,40,49
370630001021,284,256,338,343,440,463,488,474,399,409,324,273,325,380,339,241,339,302,256
370630001022,71,96,153,113,147,76,89,107,78,102,64,61,61,79,65,55,63,41,35
370630002001,181,155,166,212,208,212,222,256,245,171,160,133,153,144,158,182,91,164,149
370630002002,211,187,224,172,167,166,135,138,127,113,102,68,77,89,69,71,52,68,24
370630002003,103,93,114,104,84,77,75,75,59,91,66,51,54,45,37,35,16,22,12
370630003011,161,188,219,219,226,269,175,173,184,192,154,150,128,90,97,74,80,130,95
370630003012,91,102,143,115,93,93,95,79,47,54,47,55,35,30,48,56,48,44,25
370630003013,72,96,109,83,75,57,50,42,50,33,23,39,25,15,21,21,19,10,25
370630003021,19,19,29,25,19,17,20,48,33,23,24,29,22,19,19,16,3,3,1
370630003022,128,114,142,195,152,104,90,92,73,73,55,38,41,33,37,39,33,21,22
370630003023,144,134,205,176,164,209,159,160,133,139,123,101,118,94,99,78,59,67,67
370630004011,34,33,33,37,55,65,48,49,56,34,33,24,20,14,25,20,19,17,28
370630004012,41,33,29,35,26,12,38,25,28,29,22,27,28,3,7,2,3,0,2
370630004013,17,15,20,37,40,41,47,24,23,15,18,14,21,14,1,5,5,1,2
370630004021,116,106,105,141,120,78,72,64,60,53,43,48,35,20,28,28,30,23,47
370630005001,4,0,4,3,6,15,2,14,2,0,3,1,2,0,2,2,1,0,0
370630005002,111,101,127,110,48,48,69,45,45,32,34,24,19,11,9,12,8,7,13
370630005003,193,170,236,189,190,167,195,164,134,146,101,65,85,45,63,46,42,46,52
370630005004,170,159,182,193,187,164,155,159,131,129,130,95,120,91,92,97,86,82,111
370630006001,184,152,208,190,197,218,241,218,175,218,196,176,206,199,184,176,155,200,143
370630006002,393,264,369,276,320,254,229,254,186,171,184,144,174,175,175,208,148,163,75
370630006003,3,3,7,3,2,2,2,4,3,4,2,2,2,1,5,10,4,1,0
370630007001,31,42,49,35,27,33,48,49,37,39,30,13,15,33,22,16,26,51,46
370630007002,41,29,78,59,76,65,55,94,89,61,30,27,24,20,11,23,18,20,13
370630007003,36,47,59,58,62,51,87,54,62,52,73,55,43,33,34,46,57,60,24
370630009001,153,137,136,121,105,104,140,112,97,97,67,80,79,118,108,80,80,68,86
370630009002,163,166,178,160,138,99,115,102,100,112,103,94,100,71,61,61,100,66,63
370630010011,119,124,111,112,86,102,95,103,127,103,90,78,81,64,55,57,46,50,52
370630010012,182,180,247,136,142,164,153,188,192,155,133,93,121,99,76,80,67,49,63
370630010013,192,186,209,203,184,184,177,170,189,169,129,107,95,102,126,129,89,79,106
370630010021,243,140,194,220,269,372,327,386,355,365,202,201,164,215,197,206,124,146,159
370630010022,89,84,136,94,120,119,127,116,116,106,113,100,95,76,65,65,70,63,51
370630010023,136,103,135,120,111,85,88,106,98,96,102,108,92,85,63,79,64,64,69
370630010024,166,158,180,165,152,104,113,151,156,149,178,107,106,81,88,67,66,75,85
370630011001,417,382,447,358,373,306,268,349,340,261,243,214,205,191,174,181,151,111,144
370630011002,208,228,241,196,188,151,147,163,125,89,53,46,137,73,87,129,77,67,72
370630013011,254,246,263,179,135,111,115,148,144,146,134,124,113,135,118,105,136,119,120
370630013031,109,95,129,134,134,123,108,116,127,85,96,64,61,60,57,60,62,72,90
370630013032,48,45,58,41,32,28,30,49,42,33,33,32,39,46,39,46,32,37,31
370630013041,202,291,446,458,474,266,278,449,447,444,456,237,257,220,129,205,152,198,230
370630014001,175,169,295,280,293,176,177,178,215,169,139,93,134,117,95,170,123,101,114
370630014002,360,352,492,515,523,376,335,357,470,357,330,215,241,268,256,326,270,244,293
370630015011,4,0,2,0,3,0,9,5,7,5,4,1,0,0,0,0,0,0,0
370630015021,172,132,240,266,295,287,405,326,203,233,258,234,231,193,156,194,193,182,243
370630015022,9,13,13,17,14,22,46,21,14,22,21,1,1,8,18,8,8,13,6
370630015023,190,163,178,210,198,232,161,187,155,126,94,77,59,97,58,71,71,36,37
370630015024,138,158,191,204,234,286,211,238,229,178,217,217,203,202,137,101,113,103,77
370630015031,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370630016011,4,4,2,10,13,15,22,9,6,7,7,6,13,10,5,4,4,1,0
370630016012,39,54,28,45,22,16,41,44,49,56,43,18,17,9,20,21,12,19,12
370630016013,28,26,20,27,31,24,25,37,17,25,18,16,13,7,11,16,8,10,13
370630016031,4,5,38,5,3,2,5,3,6,11,16,4,0,1,0,1,2,3,1
370630016032,15,16,17,14,10,25,10,26,17,14,22,18,8,7,23,23,18,9,7
370630016033,4,12,9,5,7,14,20,19,14,11,3,9,7,4,2,2,1,1,5
370630016034,14,9,19,4,4,14,15,23,9,3,3,2,1,1,0,2,2,4,5
370630016041,4,7,8,11,2,16,15,12,19,3,11,5,11,7,3,1,2,6,4
370630016042,10,13,11,16,4,10,10,6,8,5,6,8,1,1,4,6,2,7,8
370630016043,10,7,7,6,13,8,5,9,18,11,21,5,9,2,3,5,6,5,5
370630017051,63,59,46,14,23,33,29,45,35,31,27,19,29,27,22,30,13,14,30
370630017052,34,19,39,36,40,46,44,49,49,32,30,36,51,13,16,15,44,71,86
370630017053,17,10,26,54,54,76,65,32,90,58,89,72,76,55,49,30,42,63,60
370630017061,99,151,227,175,213,363,341,407,295,319,324,250,238,221,307,320,208,182,119
370630017062,58,67,53,130,120,133,154,143,143,150,121,84,100,123,99,103,76,50,61
370630017071,6,9,11,16,16,30,33,27,20,12,17,25,29,8,16,5,20,11,15
370630017072,23,23,27,33,35,36,28,23,39,31,19,7,27,23,11,13,11,13,5
370630017073,1,1,2,1,7,8,3,3,6,6,3,0,5,6,8,0,0,2,0
370630017074,17,9,12,34,17,11,18,17,16,14,11,13,9,5,3,4,3,4,3
370630017075,2,2,1,2,1,2,0,1,3,4,1,0,1,0,1,0,0,0,0
370630017081,55,134,282,212,207,226,316,241,202,205,306,200,231,223,153,150,131,176,116
370630017091,69,81,98,62,100,82,75,93,77,70,64,65,52,44,53,35,29,38,42
370630017092,86,52,87,73,72,55,68,83,65,50,68,42,48,38,54,49,35,42,43
370630017093,327,469,633,645,681,611,592,534,583,701,604,463,515,504,456,420,398,321,471
370630017101,133,150,166,143,166,167,156,137,128,149,159,114,135,119,117,94,105,92,70
370630017102,84,74,42,41,40,65,166,174,61,73,83,265,177,134,61,249,152,72,81
370630017111,43,71,124,178,91,124,124,87,102,69,84,82,106,125,121,152,114,116,126
370630017112,75,67,118,110,145,121,201,170,153,301,280,238,172,175,193,191,155,228,225
370630017113,236,223,249,281,212,288,256,315,269,243,221,204,181,178,176,158,168,137,134
370630018011,20,21,23,35,46,46,31,57,43,32,39,30,18,6,31,29,17,14,22
370630018012,29,30,41,43,54,61,41,36,30,41,18,11,16,23,23,31,17,21,8
370630018013,34,63,62,43,39,45,35,47,34,35,41,34,19,13,29,47,38,38,25
370630018014,44,32,17,23,32,50,43,29,32,43,27,21,18,13,29,29,29,20,21
370630018015,11,9,13,9,24,15,3,8,8,2,6,5,4,1,4,0,1,0,1
370630018021,159,128,141,171,228,244,215,256,245,126,75,56,47,64,52,65,65,53,40
370630018022,239,251,294,166,146,114,160,165,155,141,133,126,112,118,128,159,154,110,111
370630018023,65,73,86,57,117,125,88,103,102,113,145,103,98,72,63,46,39,42,43
370630018024,42,27,33,32,11,20,37,26,36,28,26,15,25,13,14,21,20,14,5
370630018061,25,14,14,12,17,12,13,7,19,13,12,3,9,6,4,5,8,4,0
370630018062,45,49,42,32,30,49,53,75,97,105,88,50,29,32,46,28,32,33,37
370630018071,118,127,88,101,54,100,153,230,290,329,300,264,252,214,184,210,117,68,70
370630018072,21,38,43,42,32,42,43,54,64,44,60,57,57,58,42,45,36,20,22
370630018073,26,49,69,39,34,34,35,31,32,39,35,24,32,16,12,16,16,17,15
370630018081,4,14,25,11,9,38,20,21,32,36,22,11,11,9,5,21,22,15,11
