id,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021,y_2022,y_2023
370630001011,23,28,8,22,34,43,48,37,37,30,26,12,41
370630001012,181,115,94,84,90,68,68,76,106,108,107,158,190
370630001021,152,117,120,79,62,53,55,46,34,8,40,60,64
370630001022,146,117,97,100,83,68,49,48,27,10,22,37,39
370630002001,45,74,74,120,72,63,57,39,20,119,92,77,72
370630002002,53,70,82,29,44,31,29,16,17,0,9,8,17
370630002003,49,28,26,28,16,20,19,19,31,19,14,29,34
370630003011,55,89,74,62,46,51,44,39,41,32,25,29,27
370630003012,31,31,30,39,39,7,7,6,0,0,0,24,52
370630003013,25,27,18,22,21,20,8,6,7,9,21,23,29
370630003021,54,84,108,85,86,74,63,17,14,25,40,41,10
370630003022,21,38,46,52,47,47,45,41,23,15,14,10,11
370630003023,25,22,63,50,40,31,31,17,9,24,26,0,0
370630004011,30,19,19,48,51,50,48,42,29,20,27,14,17
370630004012,47,49,51,34,19,21,19,19,27,27,34,21,25
370630004013,46,52,38,66,74,49,55,55,44,27,40,12,17
370630004021,34,41,54,58,46,59,43,43,47,31,25,39,28
370630005001,10,0,0,0,0,0,0,0,0,4,4,2,2
370630005002,0,0,0,9,14,18,21,20,19,12,12,7,6
370630005003,89,43,27,5,7,20,21,49,67,52,23,37,8
370630005004,55,60,49,37,16,13,18,29,28,8,26,20,48
370630006001,117,171,133,110,72,49,44,75,80,142,158,139,106
370630006002,57,25,28,10,32,22,86,96,91,71,68,52,51
370630006003,16,23,17,17,21,33,25,5,6,51,43,46,46
370630007001,22,40,17,21,10,14,0,0,0,0,18,26,42
370630007002,45,55,38,59,48,84,99,118,130,119,74,44,25
370630007003,115,63,65,72,48,63,55,88,33,57,80,85,55
370630009001,15,0,0,0,0,0,2,28,20,21,36,17,12
370630009002,22,25,23,28,45,30,18,20,21,11,25,31,33
370630010011,112,73,46,46,42,19,20,12,12,19,20,32,43
370630010012,103,87,64,0,24,21,21,27,33,0,0,0,0
370630010013,5,7,19,30,22,10,10,7,10,8,9,32,47
370630010021,125,102,174,170,120,64,71,7,63,60,77,47,41
370630010022,0,17,60,45,28,23,13,0,0,0,0,23,22
370630010023,28,31,9,0,0,0,0,0,0,0,0,0,0
370630010024,34,23,44,9,4,11,12,21,23,31,35,31,11
370630011001,9,17,38,35,37,35,34,33,37,28,19,11,11
370630011002,29,24,53,44,22,60,44,32,33,32,11,27,35
370630013011,18,29,29,50,70,61,52,40,9,6,8,7,19
370630013031,54,37,27,18,35,30,29,16,5,12,25,26,24
370630013032,41,57,46,38,30,21,11,23,27,6,14,14,13
370630013041,23,32,33,45,53,51,38,40,33,37,42,63,111
370630014001,8,0,9,10,9,10,9,0,15,28,22,14,27
370630014002,51,54,44,9,8,7,7,5,6,110,125,117,104
370630015011,0,0,0,0,0,0,0,0,0,0,0,0,0
370630015021,17,8,14,27,15,13,2,1,0,0,0,0,0
370630015022,0,0,0,0,0,0,0,0,0,0,0,0,0
370630015023,0,0,0,0,0,0,0,6,11,21,14,13,0
370630015024,0,0,0,0,0,0,0,0,0,10,6,7,0
370630015031,0,0,0,0,0,0,0,0,0,0,0,0,0
370630016011,112,106,95,100,60,51,16,55,60,35,115,126,86
370630016012,291,259,292,252,306,274,275,284,304,199,252,182,199
370630016013,48,64,43,61,62,82,71,67,73,64,46,32,37
370630016031,15,23,18,17,24,26,0,0,16,23,17,34,38
370630016032,155,171,198,207,259,251,212,203,192,114,73,119,119
370630016033,93,95,81,53,23,17,36,77,122,155,148,136,100
370630016034,153,106,94,54,42,32,30,0,20,24,39,42,78
370630016041,114,107,114,142,125,88,74,79,46,56,69,70,95
370630016042,194,170,140,111,164,144,145,157,159,80,127,142,219
370630016043,179,164,188,184,219,158,155,175,159,115,86,82,46
370630017051,127,150,204,190,127,86,127,86,93,89,78,90,92
370630017052,41,24,18,18,21,0,33,36,38,70,52,48,56
370630017053,68,85,42,43,59,41,19,18,0,14,23,40,57
370630017061,62,61,63,57,44,79,59,98,99,84,63,58,47
370630017062,192,138,147,88,45,32,40,53,31,91,118,150,109
370630017071,47,29,29,59,58,33,39,33,16,19,35,58,63
370630017072,160,177,198,181,162,113,59,77,81,71,120,159,157
370630017073,29,29,52,50,67,32,33,15,15,0,0,10,5
370630017074,152,164,166,158,173,202,204,206,129,71,55,48,39
370630017075,45,41,13,43,38,38,44,50,28,16,22,13,14
370630017081,254,255,263,302,363,313,321,309,278,201,188,165,321
370630017091,27,8,50,41,50,67,82,33,22,27,26,27,2
370630017092,17,43,55,82,111,86,58,26,28,14,56,48,54
370630017093,154,135,95,175,121,124,100,91,59,66,33,55,236
370630017101,265,279,258,236,191,148,125,123,81,67,88,140,180
370630017102,125,21,30,30,16,15,9,0,0,10,11,52,66
370630017111,43,54,15,25,17,22,19,0,0,0,0,0,0
370630017112,0,0,0,0,0,0,0,0,0,0,0,0,0
370630017113,45,45,48,26,44,34,34,29,39,41,42,55,60
370630018011,62,94,72,56,116,86,48,98,112,63,65,107,78
370630018012,24,12,12,13,43,28,51,55,57,47,39,28,28
370630018013,208,150,151,154,167,259,246,243,228,172,123,104,145
370630018014,71,103,67,72,120,125,149,158,229,195,173,124,126
370630018015,39,26,22,19,22,15,25,17,12,13,2,15,20
370630018021,142,155,150,209,193,136,184,161,127,63,74,31,41
370630018022,91,47,133,130,134,87,92,18,0,40,39,48,37
370630018023,240,222,187,212,218,144,80,116,93,81,98,78,86
370630018024,54,78,79,50,72,41,17,25,20,0,17,59,59
370630018061,144,184,143,125,132,142,68,86,162,308,247,221,213
370630018062,459,408,286,195,184,147,153,181,259,325,275,522,459
370630018071,235,170,182,175,160,50,14,0,36,97,231,125,157
370630018072,279,148,141,214,240,239,282,348,279,160,180,200,129
370630018073,301,298,260,335,285,225,228,268,156,162,104,114,134
370630018081,140,121,85,65,107,128,134,123,149,97,108,72,84
370630018082,213,262,262,239,232,285,264,319,424,413,368,378,511
370630018091,80,97,118,129,114,105,83,101,101,149,108,93,167
370630018092,205,168,132,146,94,93,107,169,110,91,82,78,38
370630019001,25,21,34,56,61,43,104,106,102,209,242,274,229
370630019002,122,150,217,215,233,253,222,223,233,161,120,156,114
370630020071,96,112,109,157,150,144,170,205,173,173,154,104,98
370630020072,195,176,107,133,123,205,131,128,134,358,308,277,279
370630020073,122,113,119,147,99,94,77,74,62,55,55,66,95
370630020081,114,86,84,53,75,44,60,78,94,61,62,56,35
370630020082,155,145,117,95,85,140,120,143,195,176,121,143,126
370630020091,137,178,185,168,123,126,91,100,96,95,75,42,24
370630020092,53,73,92,122,117,98,96,69,64,148,152,184,172
370630020093,125,168,149,218,225,145,108,104,84,95,73,179,217
370630020131,67,89,68,112,116,120,92,92,57,38,52,65,54
370630020132,18,36,52,85,73,76,37,46,18,21,19,24,12
370630020133,216,156,133,147,122,122,121,120,71,80,21,25,68
370630020151,0,0,2,9,11,13,16,0,0,0,0,0,0
370630020152,15,14,14,0,0,62,55,66,65,57,13,16,0
370630020153,0,0,0,0,11,14,12,14,15,0,0,0,0
370630020161,0,0,0,0,0,0,0,0,0,0,0,0,0
370630020162,42,50,51,51,53,34,39,103,99,86,116,97,45
370630020171,125,159,157,135,132,135,112,93,93,27,3,1,28
370630020172,171,143,103,49,39,50,51,63,89,74,70,46,17
370630020173,74,47,49,79,60,81,81,98,72,58,27,47,36
370630020181,112,99,122,127,120,74,90,112,119,68,63,119,126
370630020182,141,153,201,221,257,235,234,163,145,35,46,63,45
370630020183,250,279,243,232,171,148,132,133,134,104,75,83,88
370630020191,15,21,14,13,0,0,0,32,75,57,54,57,30
370630020192,42,49,49,32,18,89,96,79,146,112,119,104,112
370630020193,132,109,125,177,86,117,155,163,98,157,140,10,0
370630020201,70,45,59,98,113,139,142,134,134,90,53,47,18
370630020202,288,364,350,293,274,242,238,281,249,278,330,214,154
370630020211,280,247,226,129,45,54,87,57,68,88,97,61,39
