id,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021,y_2022,y_2023
370630001011,108,106,132,166,191,164,186,190,61,51,51,111,99
370630001012,158,178,182,115,112,84,111,86,133,103,153,173,147
370630001021,301,351,370,447,444,525,607,549,421,322,317,289,352
370630001022,206,204,219,197,171,102,128,165,220,178,157,148,198
370630002001,168,176,187,223,170,162,176,156,113,91,114,102,172
370630002002,189,179,129,87,52,60,98,112,112,100,98,97,140
370630002003,160,149,182,73,87,73,80,50,51,22,0,0,8
370630003011,125,150,186,202,182,196,204,220,215,254,271,191,147
370630003012,73,103,82,106,105,137,100,86,66,175,155,181,178
370630003013,73,87,86,118,127,96,94,104,96,86,113,119,115
370630003021,18,17,20,23,29,26,25,18,20,29,19,33,43
370630003022,205,200,248,196,127,111,72,33,89,76,117,106,105
370630003023,377,327,280,197,223,260,269,262,240,243,214,221,183
370630004011,83,95,99,65,38,23,10,12,19,32,37,35,35
370630004012,37,30,43,39,53,58,53,42,41,45,25,36,35
370630004013,48,65,128,122,98,87,45,13,24,26,46,33,34
370630004021,409,398,445,392,397,425,456,546,596,791,840,868,861
370630005001,180,67,57,72,71,112,133,106,105,145,98,95,75
370630005002,104,142,172,166,182,173,104,83,115,112,93,133,121
370630005003,159,100,186,197,268,231,275,198,178,285,285,296,275
370630005004,215,214,182,192,163,194,301,315,375,367,280,203,190
370630006001,152,187,196,164,270,393,429,520,580,534,363,223,272
370630006002,181,319,384,426,396,439,311,276,243,402,367,265,307
370630006003,0,0,0,15,16,19,33,31,35,23,21,15,18
370630007001,281,351,290,261,236,177,246,286,304,321,348,306,328
370630007002,10,10,9,45,57,53,55,56,25,8,47,85,80
370630007003,44,50,66,132,138,131,149,129,74,58,62,83,94
370630009001,123,135,152,179,181,173,179,197,144,134,105,107,102
370630009002,176,190,216,173,188,181,178,78,84,72,109,101,95
370630010011,150,153,153,113,126,90,141,121,148,142,214,142,161
370630010012,145,166,133,205,172,213,256,357,290,280,195,153,82
370630010013,271,273,259,160,167,145,185,184,163,176,180,177,193
370630010021,413,480,482,416,462,369,450,485,510,433,404,335,351
370630010022,98,113,110,127,113,82,123,185,225,221,162,103,51
370630010023,65,135,98,84,189,188,94,144,159,81,73,89,79
370630010024,177,148,142,237,148,212,314,319,227,205,206,92,130
370630011001,219,215,220,281,253,274,281,291,221,284,256,282,221
370630011002,238,226,212,246,196,211,200,215,238,214,173,170,195
370630013011,216,202,218,208,168,212,181,203,271,361,335,343,357
370630013031,118,120,114,182,162,217,263,265,232,241,199,163,144
370630013032,35,38,20,26,56,64,77,98,82,60,57,46,44
370630013041,347,382,386,389,442,482,565,539,570,492,469,370,403
370630014001,167,164,169,107,49,42,32,27,18,29,0,0,13
370630014002,225,245,274,329,328,262,354,373,302,349,334,284,288
370630015011,20,25,33,39,22,26,22,29,12,8,15,7,4
370630015021,394,443,522,656,643,659,769,825,819,707,719,595,533
370630015022,228,343,282,315,360,406,420,431,423,659,658,571,655
370630015023,274,266,288,350,463,514,515,562,591,617,600,630,806
370630015024,25,15,68,71,57,56,90,45,61,48,79,69,126
370630015031,0,0,0,0,0,0,0,0,0,0,0,0,0
370630016011,15,0,0,0,0,0,0,13,59,59,44,91,69
370630016012,27,27,25,14,0,34,43,66,131,134,78,78,63
370630016013,89,142,116,109,27,43,14,0,17,31,21,29,35
370630016031,0,0,0,0,0,0,44,64,0,20,26,13,11
370630016032,0,0,0,16,5,29,94,90,130,319,356,327,331
370630016033,29,26,24,38,22,32,18,14,0,1,1,1,1
370630016034,0,0,0,0,0,0,0,0,0,0,0,0,0
370630016041,40,46,38,44,57,35,16,30,25,13,12,47,35
370630016042,44,43,58,11,17,14,13,0,0,0,0,0,55
370630016043,19,15,14,26,18,17,11,11,17,19,11,21,8
370630017051,115,81,52,39,67,45,57,52,71,24,35,96,280
370630017052,195,277,318,338,319,341,298,192,146,180,230,169,121
370630017053,159,106,79,52,87,131,228,241,129,109,102,277,223
370630017061,340,281,341,417,382,315,395,374,341,318,323,361,311
370630017062,179,145,177,195,180,201,181,196,265,175,167,208,184
370630017071,37,42,43,36,0,13,14,9,12,13,0,0,0
370630017072,4,0,16,24,25,34,56,59,31,32,52,33,21
370630017073,0,0,0,0,0,0,0,0,0,0,0,0,0
370630017074,0,23,37,41,43,41,17,14,15,15,14,31,17
370630017075,225,268,260,299,287,258,261,261,241,301,340,353,471
370630017081,250,256,289,303,270,204,240,251,263,221,274,397,332
370630017091,115,114,79,123,108,37,85,85,66,65,86,46,34
370630017092,114,137,112,81,93,84,90,103,139,81,114,188,216
370630017093,668,785,907,982,973,1074,1090,973,1062,1059,981,1003,933
370630017101,239,208,188,203,244,243,349,291,304,196,113,134,150
370630017102,227,211,218,280,274,194,175,199,186,109,210,246,266
370630017111,177,163,137,66,61,64,89,105,151,311,418,477,466
370630017112,134,266,301,407,459,453,359,398,420,315,369,374,274
370630017113,260,236,276,240,282,333,325,327,366,328,328,418,339
370630018011,49,59,44,19,17,0,0,0,0,0,0,0,0
370630018012,65,43,44,0,20,46,66,129,123,156,111,94,50
370630018013,146,182,94,67,84,51,36,48,48,79,87,117,142
370630018014,0,0,24,64,110,116,121,111,62,103,135,163,160
370630018015,0,0,14,12,12,13,13,0,0,0,0,5,10
370630018021,135,86,88,114,56,80,138,159,161,278,221,176,213
370630018022,156,150,78,46,101,265,373,459,496,390,372,265,186
370630018023,162,189,163,161,198,123,131,124,224,211,251,290,171
370630018024,64,63,54,40,13,43,35,47,22,16,0,0,11
370630018061,18,37,56,39,66,64,143,114,12,0,0,0,0
370630018062,61,100,156,160,167,158,200,203,214,261,201,158,175
370630018071,209,171,191,193,175,177,207,136,113,212,198,210,257
370630018072,40,70,73,97,120,141,127,140,71,45,61,95,118
370630018073,62,40,39,40,45,34,37,24,19,9,0,0,33
370630018081,0,20,14,16,16,14,0,0,0,53,46,46,62
370630018082,0,12,32,39,49,87,127,121,145,153,157,104,142
370630018091,342,328,353,292,282,364,566,671,824,862,822,841,786
370630018092,273,298,312,311,305,191,245,233,161,214,298,361,361
370630019001,0,0,0,0,7,29,31,46,47,53,72,60,56
370630019002,22,17,10,14,15,4,20,51,66,61,56,41,60
370630020071,0,0,21,28,40,68,134,98,25,15,0,0,23
370630020072,115,114,141,99,94,57,47,48,83,114,118,87,85
370630020073,53,38,0,14,17,17,44,51,18,19,14,0,0
370630020081,0,26,32,41,48,39,13,0,0,0,0,0,0
370630020082,12,14,6,13,13,13,32,19,0,11,11,11,42
370630020091,111,146,166,160,108,128,120,153,191,186,154,154,229
370630020092,23,35,24,23,43,101,145,180,223,232,239,121,121
370630020093,154,166,130,117,115,108,106,108,31,74,67,103,94
370630020131,73,93,75,90,54,66,51,41,26,35,41,81,83
370630020132,60,57,27,91,90,58,75,67,40,37,26,26,25
370630020133,89,104,78,50,19,50,69,88,60,46,33,34,13
370630020151,330,304,315,377,377,391,598,641,754,491,524,430,436
