year,fips,value
2015,370630001011,13
2017,370630001011,16
2018,370630001011,14
2019,370630001011,16
2015,370630001012,26
2017,370630001012,24
2018,370630001012,20
2019,370630001012,29
2015,370630001021,32
2017,370630001021,24
2018,370630001021,20
2019,370630001021,23
2015,370630001022,30
2017,370630001022,18
2018,370630001022,17
2019,370630001022,25
2015,370630002001,11
2017,370630002001,18
2018,370630002001,14
2019,370630002001,13
2015,370630002002,13
2015,370630004021,12
2019,370630004021,12
2015,370630005003,11
2019,370630005003,15
2015,370630005004,16
2017,370630005004,18
2018,370630005004,17
2019,370630005004,18
2015,370630006001,19
2017,370630006001,16
2018,370630006001,11
2019,370630006001,18
2015,370630006002,14
2017,370630006002,16
2018,370630006002,12
2019,370630006002,11
2015,370630007001,16
2017,370630007001,17
2018,370630007001,12
2019,370630007001,15
2018,370630007002,11
2015,370630007003,13
2015,370630009002,21
2017,370630009002,18
2019,370630009002,16
2015,370630010011,13
2017,370630010011,12
2015,370630010012,20
2017,370630010012,20
2018,370630010012,19
2019,370630010012,24
2015,370630010013,22
2017,370630010013,22
2018,370630010013,16
2019,370630010013,19
2015,370630010021,39
2017,370630010021,30
2018,370630010021,23
2019,370630010021,33
2015,370630010022,11
2019,370630010023,11
2015,370630010024,13
2017,370630010024,11
2019,370630010024,12
2015,370630011001,30
2017,370630011001,26
2018,370630011001,20
2019,370630011001,23
2015,370630011002,17
2017,370630011002,16
2018,370630011002,14
2019,370630011002,16
2015,370630013011,15
2017,370630013011,13
2018,370630013011,11
2019,370630013011,24
2015,370630013031,20
2017,370630013031,16
2018,370630013031,13
2019,370630013031,19
2015,370630013032,19
2017,370630013032,12
2019,370630013032,12
2015,370630013041,46
2017,370630013041,42
2018,370630013041,38
2019,370630013041,46
2015,370630014001,21
2017,370630014001,15
2019,370630014001,11
2015,370630014002,21
2017,370630014002,16
2018,370630014002,15
2019,370630014002,14
2015,370630015021,17
2017,370630015021,15
2018,370630015021,17
2019,370630015021,21
2015,370630015023,12
2019,370630015023,11
2015,370630015024,11
2015,370630016011,18
2017,370630016011,22
2018,370630016011,21
2019,370630016011,24
2015,370630016012,35
2017,370630016012,33
2018,370630016012,29
2019,370630016012,34
2015,370630016013,36
2017,370630016013,23
2018,370630016013,22
2019,370630016013,28
2015,370630016031,11
2015,370630016032,29
2017,370630016032,35
2018,370630016032,36
2019,370630016032,39
2015,370630016033,17
2018,370630016033,11
2019,370630016033,18
2015,370630016034,22
2017,370630016034,19
2018,370630016034,19
2019,370630016034,21
2015,370630016041,25
2017,370630016041,23
2018,370630016041,24
2019,370630016041,20
2015,370630016042,36
2017,370630016042,35
2018,370630016042,29
2019,370630016042,40
2015,370630016043,23
2017,370630016043,23
2018,370630016043,21
2019,370630016043,21
2015,370630017051,33
2017,370630017051,25
2018,370630017051,23
2019,370630017051,33
2015,370630017052,37
2017,370630017052,34
2018,370630017052,29
2019,370630017052,34
2015,370630017053,14
2017,370630017053,14
2018,370630017053,12
2015,370630017061,14
2017,370630017061,13
2018,370630017061,11
2019,370630017061,11
2015,370630017062,22
2017,370630017062,16
2018,370630017062,13
2019,370630017062,22
2015,370630017071,19
2017,370630017071,19
2018,370630017071,15
2019,370630017071,15
2015,370630017072,17
2017,370630017072,15
2018,370630017072,14
2019,370630017072,14
2015,370630017073,12
2015,370630017074,20
2017,370630017074,22
2018,370630017074,22
2019,370630017074,25
2015,370630017075,33
2017,370630017075,32
2018,370630017075,27
2019,370630017075,34
2015,370630017081,63
2017,370630017081,60
2018,370630017081,56
2019,370630017081,63
2015,370630017091,18
2019,370630017091,15
2015,370630017092,18
2017,370630017092,20
2018,370630017092,14
2019,370630017092,18
2015,370630017093,53
2017,370630017093,55
2018,370630017093,57
2019,370630017093,72
2015,370630017101,34
2017,370630017101,28
2018,370630017101,27
2019,370630017101,31
2015,370630017102,12
2017,370630017102,12
2018,370630017102,13
2019,370630017102,13
2019,370630017111,12
2015,370630017112,13
2017,370630017112,12
2019,370630017112,12
2015,370630017113,15
2017,370630017113,19
2018,370630017113,15
2019,370630017113,19
2015,370630018011,28
2017,370630018011,23
2018,370630018011,17
2019,370630018011,28
2019,370630018012,11
2015,370630018013,32
2017,370630018013,40
2018,370630018013,36
2019,370630018013,39
2015,370630018014,22
2017,370630018014,18
2018,370630018014,17
2019,370630018014,20
2015,370630018015,14
2017,370630018015,12
2019,370630018015,17
2015,370630018021,22
2017,370630018021,23
2018,370630018021,19
2019,370630018021,23
2015,370630018022,13
2017,370630018022,14
2018,370630018022,16
2019,370630018022,15
2015,370630018023,38
2017,370630018023,26
2018,370630018023,20
2019,370630018023,21
2015,370630018061,26
2017,370630018061,24
2018,370630018061,21
2019,370630018061,25
2015,370630018062,30
2017,370630018062,25
2018,370630018062,24
2019,370630018062,38
2015,370630018071,22
2017,370630018071,24
2018,370630018071,26
2019,370630018071,27
2015,370630018072,26
2017,370630018072,26
2018,370630018072,20
2019,370630018072,33
2015,370630018073,24
2017,370630018073,17
2018,370630018073,16
2019,370630018073,26
2015,370630018081,21
2017,370630018081,16
2018,370630018081,17
2019,370630018081,19
2015,370630018082,39
2017,370630018082,37
2018,370630018082,33
2019,370630018082,39
2015,370630018091,23
2017,370630018091,22
2018,370630018091,19
2019,370630018091,21
2015,370630018092,26
2017,370630018092,25
2018,370630018092,22
2019,370630018092,25
2015,370630019001,23
2017,370630019001,25
2018,370630019001,20
2019,370630019001,35
2015,370630019002,18
2017,370630019002,16
2018,370630019002,15
2019,370630019002,18
2015,370630020071,28
2017,370630020071,26
2018,370630020071,22
2019,370630020071,20
2015,370630020072,35
2017,370630020072,26
2018,370630020072,19
2019,370630020072,26
2015,370630020081,16
2017,370630020081,14
2018,370630020081,13
2019,370630020081,12
2015,370630020082,17
2019,370630020082,17
2015,370630020091,28
2017,370630020091,29
2018,370630020091,29
2019,370630020091,29
2015,370630020092,23
2017,370630020092,25
2018,370630020092,20
2019,370630020092,19
2015,370630020093,32
2017,370630020093,26
2018,370630020093,22
2019,370630020093,27
2015,370630020131,13
2017,370630020131,13
2019,370630020131,12
2015,370630020133,12
2015,370630020151,14
2017,370630020151,11
2019,370630020151,12
2015,370630020152,15
2017,370630020152,14
2018,370630020152,12
2019,370630020152,15
2015,370630020153,25
2017,370630020153,25
2018,370630020153,23
2019,370630020153,24
2015,370630020162,15
2017,370630020162,16
2018,370630020162,15
2019,370630020162,21
2015,370630020171,23
2017,370630020171,15
2018,370630020171,11
2019,370630020171,15
2015,370630020172,14
2019,370630020172,13
2015,370630020173,28
2017,370630020173,31
2018,370630020173,30
2019,370630020173,48
2015,370630020181,18
2017,370630020181,12
2019,370630020181,18
2015,370630020182,16
2017,370630020182,19
2018,370630020182,14
2019,370630020182,24
2015,370630020183,20
2017,370630020183,16
2018,370630020183,13
2019,370630020183,22
2019,370630020193,13
2015,370630020202,29
2017,370630020202,32
2018,370630020202,24
2019,370630020202,34
2015,370630020211,19
2017,370630020211,17
2018,370630020211,12
2019,370630020211,22
