year,fips,value
2015,370630001011,16
2017,370630001011,13
2018,370630001011,12
2019,370630001011,14
2015,370630001012,22
2017,370630001012,22
2018,370630001012,17
2019,370630001012,23
2015,370630001021,16
2017,370630001021,13
2019,370630001021,15
2015,370630001022,14
2017,370630001022,12
2017,370630002001,13
2017,370630002003,12
2015,370630003011,11
2019,370630003022,11
2015,370630006001,18
2017,370630006001,17
2018,370630006001,13
2019,370630006001,13
2015,370630006002,17
2017,370630006002,11
2015,370630007001,15
2017,370630007001,16
2018,370630007001,14
2019,370630007001,17
2015,370630007002,12
2017,370630007002,11
2015,370630009002,13
2017,370630009002,11
2019,370630009002,11
2015,370630010011,14
2017,370630010011,17
2018,370630010011,13
2019,370630010011,14
2015,370630010012,12
2017,370630010012,13
2019,370630010012,15
2015,370630010013,12
2017,370630010013,12
2018,370630010013,15
2019,370630010013,15
2015,370630010021,24
2017,370630010021,29
2018,370630010021,25
2019,370630010021,30
2019,370630010023,11
2019,370630010024,11
2015,370630011001,21
2017,370630011001,20
2018,370630011001,12
2019,370630011001,12
2015,370630011002,20
2017,370630011002,21
2018,370630011002,15
2019,370630011002,24
2015,370630013011,19
2017,370630013011,14
2019,370630013011,17
2015,370630013031,13
2017,370630013031,13
2018,370630013031,11
2019,370630013031,14
2015,370630013032,12
2017,370630013032,11
2018,370630013032,11
2019,370630013032,12
2015,370630013041,33
2017,370630013041,27
2018,370630013041,18
2019,370630013041,26
2015,370630014001,13
2017,370630014001,13
2019,370630014001,13
2015,370630014002,15
2017,370630014002,14
2018,370630014002,11
2019,370630014002,16
2019,370630015021,13
2015,370630015023,11
2015,370630015024,11
2017,370630015024,11
2019,370630015024,12
2015,370630016011,17
2017,370630016011,17
2018,370630016011,16
2019,370630016011,26
2015,370630016012,33
2017,370630016012,27
2018,370630016012,26
2019,370630016012,29
2015,370630016013,32
2017,370630016013,27
2018,370630016013,25
2019,370630016013,29
2015,370630016031,13
2015,370630016032,28
2017,370630016032,33
2018,370630016032,30
2019,370630016032,31
2015,370630016033,20
2017,370630016033,18
2018,370630016033,14
2019,370630016033,18
2015,370630016034,18
2017,370630016034,18
2018,370630016034,15
2019,370630016034,21
2015,370630016041,19
2017,370630016041,20
2018,370630016041,19
2019,370630016041,19
2015,370630016042,27
2017,370630016042,27
2018,370630016042,26
2019,370630016042,35
2015,370630016043,22
2017,370630016043,18
2018,370630016043,18
2019,370630016043,22
2015,370630017051,23
2017,370630017051,14
2018,370630017051,13
2019,370630017051,13
2015,370630017052,28
2017,370630017052,29
2018,370630017052,28
2019,370630017052,35
2015,370630017053,15
2017,370630017053,12
2019,370630017053,15
2015,370630017061,21
2017,370630017061,24
2018,370630017061,20
2019,370630017061,25
2015,370630017071,16
2017,370630017071,15
2018,370630017071,13
2019,370630017071,16
2015,370630017072,18
2017,370630017072,18
2018,370630017072,19
2019,370630017072,24
2015,370630017073,11
2019,370630017073,12
2015,370630017074,22
2017,370630017074,20
2018,370630017074,15
2019,370630017074,24
2015,370630017075,36
2017,370630017075,39
2018,370630017075,44
2019,370630017075,46
2015,370630017081,49
2017,370630017081,49
2018,370630017081,41
2019,370630017081,58
2017,370630017091,12
2018,370630017091,11
2015,370630017092,12
2017,370630017092,14
2018,370630017092,11
2015,370630017093,41
2017,370630017093,42
2018,370630017093,38
2019,370630017093,45
2015,370630017101,28
2017,370630017101,20
2018,370630017101,15
2019,370630017101,21
2015,370630017102,17
2017,370630017102,16
2018,370630017102,12
2019,370630017102,14
2015,370630017111,15
2017,370630017111,11
2019,370630017111,15
2019,370630017112,13
2015,370630018011,14
2017,370630018011,15
2018,370630018011,17
2019,370630018011,15
2015,370630018013,24
2017,370630018013,26
2018,370630018013,26
2019,370630018013,26
2015,370630018014,11
2019,370630018014,14
2015,370630018015,16
2017,370630018015,12
2019,370630018015,13
2015,370630018021,14
2017,370630018021,13
2018,370630018021,13
2019,370630018021,12
2018,370630018022,12
2019,370630018022,17
2015,370630018023,22
2017,370630018023,24
2018,370630018023,22
2019,370630018023,21
2015,370630018061,35
2017,370630018061,31
2018,370630018061,29
2019,370630018061,34
2015,370630018062,29
2017,370630018062,32
2018,370630018062,26
2019,370630018062,28
2015,370630018071,25
2017,370630018071,23
2018,370630018071,16
2019,370630018071,29
2015,370630018072,25
2017,370630018072,23
2018,370630018072,22
2019,370630018072,30
2015,370630018073,20
2017,370630018073,18
2018,370630018073,15
2019,370630018073,21
2015,370630018081,17
2017,370630018081,18
2018,370630018081,16
2019,370630018081,18
2015,370630018082,37
2017,370630018082,39
2018,370630018082,32
2019,370630018082,42
2015,370630018091,23
2017,370630018091,23
2018,370630018091,14
2019,370630018091,21
2015,370630018092,26
2017,370630018092,22
2018,370630018092,20
2019,370630018092,22
2015,370630019001,23
2017,370630019001,35
2018,370630019001,29
2019,370630019001,40
2015,370630019002,15
2017,370630019002,14
2018,370630019002,13
2019,370630019002,19
