year,fips,value
2015,370630001011,13
2017,370630001011,12
2019,370630001011,12
2015,370630001012,13
2015,370630001021,20
2017,370630001021,13
2019,370630001021,14
2015,370630001022,28
2017,370630001022,17
2018,370630001022,15
2019,370630001022,17
2017,370630002001,11
2015,370630002003,12
2017,370630002003,14
2019,370630003021,12
2019,370630003023,12
2015,370630004011,11
2017,370630004011,11
2015,370630004012,14
2015,370630004013,16
2017,370630004013,12
2015,370630004021,19
2017,370630004021,13
2019,370630004021,18
2015,370630006001,18
2017,370630006001,18
2018,370630006001,14
2019,370630006001,16
2015,370630006002,11
2015,370630006003,12
2015,370630007002,13
2017,370630007002,12
2019,370630007002,14
2015,370630016011,33
2017,370630016011,36
2018,370630016011,32
2019,370630016011,39
2015,370630016012,34
2017,370630016012,27
2018,370630016012,26
2019,370630016012,25
2015,370630016013,53
2017,370630016013,35
2018,370630016013,34
2019,370630016013,44
2015,370630016031,22
2017,370630016031,18
2018,370630016031,13
2019,370630016031,16
2015,370630016032,47
2017,370630016032,52
2018,370630016032,51
2019,370630016032,53
2015,370630016033,32
2017,370630016033,22
2018,370630016033,19
2019,370630016033,29
2015,370630016034,31
2017,370630016034,30
2018,370630016034,27
2019,370630016034,37
2015,370630016041,38
2017,370630016041,38
2018,370630016041,38
2019,370630016041,34
2015,370630016042,58
2017,370630016042,55
2018,370630016042,50
2019,370630016042,61
2015,370630016043,28
2017,370630016043,26
2018,370630016043,23
2019,370630016043,29
2015,370630017051,44
2017,370630017051,29
2018,370630017051,24
2019,370630017051,32
2015,370630017052,56
2017,370630017052,54
2018,370630017052,50
2019,370630017052,57
2015,370630017053,11
2017,370630017053,14
2018,370630017053,11
2019,370630017053,11
2015,370630017061,25
2017,370630017061,23
2018,370630017061,18
2019,370630017061,19
2015,370630017062,24
2017,370630017062,20
2018,370630017062,17
2019,370630017062,22
2015,370630017071,32
2017,370630017071,31
2018,370630017071,26
2019,370630017071,30
2015,370630017072,33
2017,370630017072,32
2018,370630017072,31
2019,370630017072,34
2015,370630017073,22
2017,370630017073,15
2018,370630017073,15
2019,370630017073,20
2015,370630017074,37
2017,370630017074,36
2018,370630017074,31
2019,370630017074,41
2015,370630017075,67
2017,370630017075,68
2018,370630017075,69
2019,370630017075,75
2015,370630017081,24
2017,370630017081,23
2018,370630017081,17
2019,370630017081,21
2015,370630017093,31
2017,370630017093,28
2018,370630017093,21
2019,370630017093,36
2015,370630017101,30
2017,370630017101,23
2018,370630017101,21
2019,370630017101,26
2015,370630017102,14
2017,370630017102,14
2015,370630017111,14
2017,370630017111,13
2018,370630017111,12
2019,370630017111,17
2017,370630017113,12
2019,370630017113,11
2015,370630018011,17
2017,370630018011,15
2018,370630018011,14
2019,370630018011,18
2015,370630018013,22
2017,370630018013,23
2018,370630018013,20
2019,370630018013,17
