fips,year,value
370630001011,2000,89
370630001011,2001,78
370630001011,2002,96
370630001011,2004,92
370630001011,2005,86
370630001011,2006,98
370630001011,2007,110
370630001011,2008,89
370630001011,2009,93
370630001011,2010,71
370630001011,2011,78
370630001011,2012,45
370630001011,2013,61
370630001011,2014,68
370630001011,2015,54
370630001011,2016,40
370630001011,2017,60
370630001011,2018,49
370630001011,2019,35
370630001011,2020,26
370630001011,2021,7
370630001012,2000,147
370630001012,2001,179
370630001012,2002,180
370630001012,2004,158
370630001012,2005,156
370630001012,2006,129
370630001012,2007,168
370630001012,2008,171
370630001012,2009,182
370630001012,2010,134
370630001012,2011,107
370630001012,2012,114
370630001012,2013,117
370630001012,2014,88
370630001012,2015,63
370630001012,2016,71
370630001012,2017,45
370630001012,2018,40
370630001012,2019,49
370630001012,2020,14
370630001012,2021,7
370630001021,2000,284
370630001021,2001,256
370630001021,2002,338
370630001021,2004,343
370630001021,2005,440
370630001021,2006,463
370630001021,2007,488
370630001021,2008,474
370630001021,2009,399
370630001021,2010,409
370630001021,2011,324
370630001021,2012,273
370630001021,2013,325
370630001021,2014,380
370630001021,2015,339
370630001021,2016,241
370630001021,2017,339
370630001021,2018,302
370630001021,2019,256
370630001021,2020,80
370630001021,2021,44
370630001022,2000,71
370630001022,2001,96
370630001022,2002,153
370630001022,2004,113
370630001022,2005,147
370630001022,2006,76
370630001022,2007,89
370630001022,2008,107
370630001022,2009,78
370630001022,2010,102
370630001022,2011,64
370630001022,2012,61
370630001022,2013,61
370630001022,2014,79
370630001022,2015,65
370630001022,2016,55
370630001022,2017,63
370630001022,2018,41
370630001022,2019,35
370630001022,2020,14
370630001022,2021,16
370630002001,2000,181
370630002001,2001,155
370630002001,2002,166
370630002001,2004,212
370630002001,2005,208
370630002001,2006,212
370630002001,2007,222
370630002001,2008,256
370630002001,2009,245
370630002001,2010,171
370630002001,2011,160
370630002001,2012,133
370630002001,2013,153
370630002001,2014,144
370630002001,2015,158
370630002001,2016,182
370630002001,2017,91
370630002001,2018,164
370630002001,2019,149
370630002001,2020,53
370630002001,2021,19
370630002002,2000,211
370630002002,2001,187
370630002002,2002,224
370630002002,2004,172
370630002002,2005,167
370630002002,2006,166
370630002002,2007,135
370630002002,2008,138
370630002002,2009,127
370630002002,2010,113
370630002002,2011,102
370630002002,2012,68
370630002002,2013,77
370630002002,2014,89
370630002002,2015,69
370630002002,2016,71
370630002002,2017,52
370630002002,2018,68
370630002002,2019,24
370630002002,2020,10
370630002002,2021,5
370630002003,2000,103
370630002003,2001,93
370630002003,2002,114
370630002003,2004,104
370630002003,2005,84
370630002003,2006,77
370630002003,2007,75
370630002003,2008,75
370630002003,2009,59
370630002003,2010,91
370630002003,2011,66
370630002003,2012,51
370630002003,2013,54
370630002003,2014,45
370630002003,2015,37
370630002003,2016,35
370630002003,2017,16
370630002003,2018,22
370630002003,2019,12
370630002003,2020,4
370630002003,2021,3
370630003011,2000,161
370630003011,2001,188
370630003011,2002,219
370630003011,2004,219
370630003011,2005,226
370630003011,2006,269
370630003011,2007,175
370630003011,2008,173
370630003011,2009,184
370630003011,2010,192
370630003011,2011,154
370630003011,2012,150
370630003011,2013,128
370630003011,2014,90
370630003011,2015,97
370630003011,2016,74
370630003011,2017,80
370630003011,2018,130
370630003011,2019,95
370630003011,2020,29
370630003011,2021,22
370630003012,2000,91
370630003012,2001,102
370630003012,2002,143
370630003012,2004,115
370630003012,2005,93
370630003012,2006,93
370630003012,2007,95
370630003012,2008,79
370630003012,2009,47
370630003012,2010,54
370630003012,2011,47
370630003012,2012,55
370630003012,2013,35
370630003012,2014,30
370630003012,2015,48
370630003012,2016,56
370630003012,2017,48
370630003012,2018,44
370630003012,2019,25
370630003012,2020,10
370630003012,2021,7
370630003013,2000,72
370630003013,2001,96
370630003013,2002,109
370630003013,2004,83
370630003013,2005,75
370630003013,2006,57
370630003013,2007,50
370630003013,2008,42
370630003013,2009,50
370630003013,2010,33
370630003013,2011,23
370630003013,2012,39
370630003013,2013,25
370630003013,2014,15
370630003013,2015,21
370630003013,2016,21
370630003013,2017,19
370630003013,2018,10
370630003013,2019,25
370630003013,2020,12
370630003013,2021,5
370630003021,2000,19
370630003021,2001,19
370630003021,2002,29
370630003021,2004,25
370630003021,2005,19
370630003021,2006,17
370630003021,2007,20
370630003021,2008,48
370630003021,2009,33
370630003021,2010,23
370630003021,2011,24
370630003021,2012,29
370630003021,2013,22
370630003021,2014,19
370630003021,2015,19
370630003021,2016,16
370630003021,2017,3
370630003021,2018,3
370630003021,2019,1
370630003021,2020,0
370630003021,2021,2
370630003022,2000,128
370630003022,2001,114
370630003022,2002,142
370630003022,2004,195
370630003022,2005,152
