year,fips,value
2013,37063000101,6
2013,37063000102,5
2013,37063000200,1
2013,37063000301,2
2013,37063000302,2
2013,37063000401,5
2013,37063000402,4
2013,37063000500,8
2013,37063000600,5
2013,37063000700,8
2013,37063000900,4
2013,37063001001,12
2013,37063001002,4
2013,37063001100,5
2013,37063001301,3
2013,37063001303,7
2013,37063001304,5
2013,37063001400,8
2013,37063001501,0
2013,37063001502,1
2013,37063001503,0
2013,37063001601,5
2013,37063001603,8
2013,37063001604,2
2013,37063001705,8
2013,37063001706,1
2013,37063001707,1
2013,37063001708,7
2013,37063001709,10
2013,37063001710,5
2013,37063001711,5
2013,37063001801,17
2013,37063001802,17
2013,37063001806,8
2013,37063001807,23
2013,37063001808,8
2013,37063001809,8
2013,37063001900,0
2013,37063002007,3
2013,37063002008,2
2013,37063002009,27
2013,37063002013,8
2013,37063002015,9
2013,37063002016,1
2013,37063002017,5
2013,37063002018,6
2013,37063002019,1
2013,37063002020,4
2013,37063002021,1
2013,37063002022,5
2013,37063002023,5
2013,37063002024,5
2013,37063002025,8
2013,37063002026,6
2013,37063002027,13
2013,37063002028,5
2013,37063002100,1
2013,37063002200,4
2013,37063002300,0
2013,37063980100,4
2014,37063000101,6
2014,37063000102,4
2014,37063000200,1
2014,37063000301,2
2014,37063000302,2
2014,37063000401,3
2014,37063000402,4
2014,37063000500,6
2014,37063000600,6
2014,37063000700,8
2014,37063000900,4
2014,37063001001,10
2014,37063001002,5
2014,37063001100,5
2014,37063001301,1
2014,37063001303,7
2014,37063001304,5
2014,37063001400,8
2014,37063001501,0
2014,37063001502,1
2014,37063001503,0
2014,37063001601,5
2014,37063001603,8
2014,37063001604,2
2014,37063001705,8
2014,37063001706,1
2014,37063001707,1
2014,37063001708,6
2014,37063001709,10
2014,37063001710,5
2014,37063001711,5
2014,37063001801,16
2014,37063001802,15
2014,37063001806,7
2014,37063001807,22
2014,37063001808,8
2014,37063001809,8
2014,37063001900,0
2014,37063002007,2
2014,37063002008,2
2014,37063002009,28
2014,37063002013,8
2014,37063002015,10
2014,37063002016,1
2014,37063002017,6
2014,37063002018,5
2014,37063002019,0
2014,37063002020,5
2014,37063002021,1
2014,37063002022,4
2014,37063002023,5
2014,37063002024,7
2014,37063002025,8
2014,37063002026,6
2014,37063002027,13
2014,37063002028,3
2014,37063002100,0
2014,37063002200,3
2014,37063002300,0
2014,37063980100,1
2015,37063000101,8
2015,37063000102,4
2015,37063000200,2
2015,37063000301,2
2015,37063000302,1
2015,37063000401,4
2015,37063000402,4
2015,37063000500,5
2015,37063000600,6
2015,37063000700,8
2015,37063000900,4
2015,37063001001,10
2015,37063001002,6
2015,37063001100,4
2015,37063001301,3
2015,37063001303,7
2015,37063001304,5
2015,37063001400,8
2015,37063001501,0
2015,37063001502,0
2015,37063001503,0
2015,37063001601,5
2015,37063001603,9
2015,37063001604,2
2015,37063001705,10
2015,37063001706,1
2015,37063001707,1
2015,37063001708,6
2015,37063001709,10
2015,37063001710,5
2015,37063001711,5
2015,37063001801,13
2015,37063001802,12
2015,37063001806,3
2015,37063001807,21
2015,37063001808,7
2015,37063001809,7
2015,37063001900,0
2015,37063002007,1
2015,37063002008,2
2015,37063002009,23
2015,37063002013,8
2015,37063002015,9
2015,37063002016,1
2015,37063002017,4
2015,37063002018,5
2015,37063002019,2
2015,37063002020,5
2015,37063002021,2
2015,37063002022,5
2015,37063002023,6
2015,37063002024,6
2015,37063002025,8
2015,37063002026,7
2015,37063002027,14
2015,37063002028,5
2015,37063002100,1
2015,37063002200,3
2015,37063002300,1
2015,37063980100,4
2016,37063000101,8
2016,37063000102,4
2016,37063000200,2
2016,37063000301,2
2016,37063000302,1
2016,37063000401,4
2016,37063000402,4
2016,37063000500,5
2016,37063000600,6
2016,37063000700,8
2016,37063000900,4
2016,37063001001,10
2016,37063001002,5
2016,37063001100,4
2016,37063001301,2
2016,37063001303,7
2016,37063001304,5
2016,37063001400,9
2016,37063001501,0
2016,37063001502,0
2016,37063001503,0
2016,37063001601,5
2016,37063001603,9
2016,37063001604,2
2016,37063001705,10
2016,37063001706,1
2016,37063001707,1
