year,fips,value
2013,37063000101,3
2013,37063000102,3
2013,37063000200,1
2013,37063000301,1
2013,37063000302,1
2013,37063000401,3
2013,37063000402,3
2013,37063000500,7
2013,37063000600,3
2013,37063000700,6
2013,37063000900,3
2013,37063001001,7
2013,37063001002,1
2013,37063001100,4
2013,37063001301,2
2013,37063001303,7
2013,37063001304,3
2013,37063001400,5
2013,37063001501,0
2013,37063001502,1
2013,37063001503,0
2013,37063001601,3
2013,37063001603,4
2013,37063001604,1
2013,37063001705,5
2013,37063001706,0
2013,37063001707,0
2013,37063001708,3
2013,37063001709,9
2013,37063001710,3
2013,37063001711,2
2013,37063001801,9
2013,37063001802,6
2013,37063001806,5
2013,37063001807,12
2013,37063001808,5
2013,37063001809,3
2013,37063001900,0
2013,37063002007,0
2013,37063002008,2
2013,37063002009,16
2013,37063002013,4
2013,37063002015,6
2013,37063002016,1
2013,37063002017,5
2013,37063002018,4
2013,37063002019,0
2013,37063002020,2
2013,37063002021,0
2013,37063002022,1
2013,37063002023,3
2013,37063002024,5
2013,37063002025,6
2013,37063002026,4
2013,37063002027,9
2013,37063002028,4
2013,37063002100,1
2013,37063002200,4
2013,37063002300,0
2013,37063980100,4
2014,37063000101,4
2014,37063000102,3
2014,37063000200,1
2014,37063000301,1
2014,37063000302,1
2014,37063000401,1
2014,37063000402,3
2014,37063000500,6
2014,37063000600,4
2014,37063000700,6
2014,37063000900,3
2014,37063001001,7
2014,37063001002,1
2014,37063001100,3
2014,37063001301,1
2014,37063001303,7
2014,37063001304,3
2014,37063001400,5
2014,37063001501,0
2014,37063001502,1
2014,37063001503,0
2014,37063001601,3
2014,37063001603,4
2014,37063001604,1
2014,37063001705,5
2014,37063001706,0
2014,37063001707,0
2014,37063001708,3
2014,37063001709,9
2014,37063001710,3
2014,37063001711,3
2014,37063001801,9
2014,37063001802,6
2014,37063001806,5
2014,37063001807,11
2014,37063001808,5
2014,37063001809,5
2014,37063001900,0
2014,37063002007,0
2014,37063002008,2
2014,37063002009,17
2014,37063002013,5
2014,37063002015,6
2014,37063002016,1
2014,37063002017,5
2014,37063002018,3
2014,37063002019,0
2014,37063002020,2
2014,37063002021,0
2014,37063002022,1
2014,37063002023,2
2014,37063002024,6
2014,37063002025,6
2014,37063002026,4
2014,37063002027,9
2014,37063002028,3
2014,37063002100,0
2014,37063002200,3
2014,37063002300,0
2014,37063980100,1
2015,37063000101,4
2015,37063000102,3
2015,37063000200,2
2015,37063000301,1
2015,37063000302,1
2015,37063000401,2
2015,37063000402,3
2015,37063000500,3
2015,37063000600,4
2015,37063000700,6
2015,37063000900,4
2015,37063001001,8
2015,37063001002,2
2015,37063001100,4
2015,37063001301,2
2015,37063001303,7
2015,37063001304,2
2015,37063001400,6
2015,37063001501,0
2015,37063001502,0
2015,37063001503,0
2015,37063001601,2
2015,37063001603,5
2015,37063001604,1
2015,37063001705,7
2015,37063001706,0
2015,37063001707,0
2015,37063001708,2
2015,37063001709,8
2015,37063001710,3
2015,37063001711,3
2015,37063001801,9
2015,37063001802,5
2015,37063001806,2
2015,37063001807,10
2015,37063001808,4
2015,37063001809,4
2015,37063001900,0
2015,37063002007,0
2015,37063002008,2
2015,37063002009,14
2015,37063002013,5
2015,37063002015,8
2015,37063002016,1
2015,37063002017,3
2015,37063002018,5
2015,37063002019,1
2015,37063002020,2
2015,37063002021,0
2015,37063002022,0
2015,37063002023,3
2015,37063002024,6
2015,37063002025,7
2015,37063002026,4
2015,37063002027,10
2015,37063002028,4
2015,37063002100,1
2015,37063002200,3
2015,37063002300,0
2015,37063980100,4
2016,37063000101,4
2016,37063000102,3
2016,37063000200,2
2016,37063000301,1
2016,37063000302,1
2016,37063000401,2
2016,37063000402,3
2016,37063000500,3
2016,37063000600,4
2016,37063000700,6
2016,37063000900,4
2016,37063001001,8
2016,37063001002,1
2016,37063001100,4
2016,37063001301,2
2016,37063001303,7
2016,37063001304,2
2016,37063001400,6
2016,37063001501,0
2016,37063001502,0
2016,37063001503,0
2016,37063001601,2
2016,37063001603,5
2016,37063001604,1
2016,37063001705,7
2016,37063001706,0
2016,37063001707,0
2016,37063001708,2
2016,37063001709,8
2016,37063001710,3
2016,37063001711,3
2016,37063001801,9
2016,37063001802,5
2016,37063001806,2
2016,37063001807,10
2016,37063001808,4
2016,37063001809,4
2016,37063001900,0
2016,37063002007,0
2016,37063002008,2
2016,37063002009,14
2016,37063002013,5
2016,37063002015,8
2016,37063002016,1
2016,37063002017,3
2016,37063002018,4
2016,37063002019,1
2016,37063002020,2
2016,37063002021,0
2016,37063002022,0
2016,37063002023,3
2016,37063002024,6
2016,37063002025,7
2016,37063002026,4
2016,37063002027,10
2016,37063002028,4
2016,37063002100,1
2016,37063002200,3
2016,37063002300,0
2016,37063980100,4
2017,37063000101,2
2017,37063000102,3
2017,37063000200,2
2017,37063000301,1
2017,37063000302,1
2017,37063000401,3
2017,37063000402,3
2017,37063000500,4
2017,37063000600,4
2017,37063000700,5
2017,37063000900,2
2017,37063001001,4
2017,37063001002,2
2017,37063001100,4
2017,37063001301,2
2017,37063001303,4
2017,37063001304,2
2017,37063001400,3
2017,37063001501,0
2017,37063001502,0
2017,37063001503,0
2017,37063001601,2
2017,37063001603,4
2017,37063001604,1
2017,37063001705,6
2017,37063001706,0
2017,37063001707,0
2017,37063001708,1
2017,37063001709,9
2017,37063001710,5
2017,37063001711,3
2017,37063001801,8
2017,37063001802,5
2017,37063001806,2
2017,37063001807,12
2017,37063001808,5
2017,37063001809,4
2017,37063001900,0
2017,37063002007,0
2017,37063002008,2
2017,37063002009,17
2017,37063002013,6
2017,37063002015,10
2017,37063002016,0
2017,37063002017,2
2017,37063002018,4
2017,37063002019,1
2017,37063002020,3
2017,37063002021,0
2017,37063002022,0
2017,37063002023,2
2017,37063002024,5
2017,37063002025,8
2017,37063002026,4
2017,37063002027,6
2017,37063002028,3
2017,37063002100,1
2017,37063002200,2
2017,37063002300,0
2017,37063980100,4
2018,37063000101,4
