fips,year,value
37063000101,2009,15
37063000101,2010,12
37063000101,2011,10
37063000101,2012,8
37063000101,2013,15
37063000101,2014,17
37063000101,2015,27
37063000101,2016,24
37063000101,2017,19
37063000101,2018,29
37063000101,2019,29
37063000101,2020,26
37063000101,2021,27
37063000101,2022,35
37063000101,2023,40
37063000101,2024,40
37063000102,2009,6
37063000102,2010,18
37063000102,2011,7
37063000102,2012,7
37063000102,2013,24
37063000102,2014,12
37063000102,2015,20
37063000102,2016,18
37063000102,2017,29
37063000102,2018,25
37063000102,2019,34
37063000102,2020,25
37063000102,2021,24
37063000102,2022,33
37063000102,2023,36
37063000102,2024,41
37063000200,2009,19
37063000200,2010,20
37063000200,2011,34
37063000200,2012,29
37063000200,2013,27
37063000200,2014,29
37063000200,2015,33
37063000200,2016,38
37063000200,2017,43
37063000200,2018,48
37063000200,2019,50
37063000200,2020,46
37063000200,2021,44
37063000200,2022,46
37063000200,2023,44
37063000200,2024,44
37063000301,2009,13
37063000301,2010,14
37063000301,2011,18
37063000301,2012,15
37063000301,2013,16
37063000301,2014,14
37063000301,2015,26
37063000301,2016,24
37063000301,2017,36
37063000301,2018,34
37063000301,2019,15
37063000301,2020,30
37063000301,2021,26
37063000301,2022,29
37063000301,2023,27
37063000301,2024,34
37063000302,2009,28
37063000302,2010,31
37063000302,2011,40
37063000302,2012,37
37063000302,2013,41
37063000302,2014,36
37063000302,2015,59
37063000302,2016,46
37063000302,2017,46
37063000302,2018,57
37063000302,2019,44
37063000302,2020,56
37063000302,2021,64
37063000302,2022,51
37063000302,2023,63
37063000302,2024,59
37063000401,2009,27
37063000401,2010,20
37063000401,2011,49
37063000401,2012,37
37063000401,2013,40
37063000401,2014,50
37063000401,2015,62
37063000401,2016,56
37063000401,2017,35
37063000401,2018,69
37063000401,2019,53
37063000401,2020,42
37063000401,2021,72
37063000401,2022,60
37063000401,2023,83
37063000401,2024,59
37063000402,2009,17
37063000402,2010,16
37063000402,2011,20
37063000402,2012,13
37063000402,2013,23
37063000402,2014,42
37063000402,2015,43
37063000402,2016,37
37063000402,2017,22
37063000402,2018,31
37063000402,2019,25
37063000402,2020,19
