year,fips,value
2008,37063000101,3
2008,37063000102,0
2008,37063000200,0
2008,37063000301,0
2008,37063000302,1
2008,37063000401,0
2008,37063000402,3
2008,37063000500,7
2008,37063000600,0
2008,37063000700,1
2008,37063000900,2
2008,37063001001,2
2008,37063001002,1
2008,37063001100,11
2008,37063001301,2
2008,37063001303,1
2008,37063001304,0
2008,37063001400,1
2008,37063001501,0
2008,37063001502,0
2008,37063001503,0
2008,37063001601,0
2008,37063001603,1
2008,37063001604,0
2008,37063001705,1
2008,37063001706,0
2008,37063001707,0
2008,37063001708,1
2008,37063001709,3
2008,37063001710,0
2008,37063001711,0
2008,37063001801,0
2008,37063001802,5
2008,37063001806,0
2008,37063001807,0
2008,37063001808,0
2008,37063001809,1
2008,37063001900,0
2008,37063002007,0
2008,37063002008,0
2008,37063002009,0
2008,37063002013,2
2008,37063002015,0
2008,37063002016,0
2008,37063002017,0
2008,37063002018,2
2008,37063002019,0
2008,37063002020,0
2008,37063002021,0
2008,37063002022,2
2008,37063002023,0
2008,37063002024,0
2008,37063002025,0
2008,37063002026,1
2008,37063002027,1
2008,37063002028,3
2008,37063002100,1
2008,37063002200,1
2008,37063002300,5
2008,37063980100,0
2009,37063000101,0
2009,37063000102,0
2009,37063000200,0
2009,37063000301,0
2009,37063000302,0
2009,37063000401,0
2009,37063000402,0
2009,37063000500,20
2009,37063000600,0
2009,37063000700,2
2009,37063000900,4
2009,37063001001,5
2009,37063001002,1
2009,37063001100,6
2009,37063001301,8
2009,37063001303,1
2009,37063001304,0
2009,37063001400,0
2009,37063001501,0
2009,37063001502,0
2009,37063001503,0
2009,37063001601,2
2009,37063001603,0
2009,37063001604,1
2009,37063001705,2
2009,37063001706,0
2009,37063001707,1
2009,37063001708,1
2009,37063001709,1
2009,37063001710,0
2009,37063001711,0
2009,37063001801,2
2009,37063001802,4
2009,37063001806,4
2009,37063001807,0
2009,37063001808,0
2009,37063001809,1
2009,37063001900,1
2009,37063002007,0
2009,37063002008,0
2009,37063002009,3
2009,37063002013,1
2009,37063002015,0
2009,37063002016,0
2009,37063002017,0
2009,37063002018,1
2009,37063002019,1
2009,37063002020,0
2009,37063002021,0
2009,37063002022,0
2009,37063002023,0
2009,37063002024,0
2009,37063002025,1
2009,37063002026,0
2009,37063002027,1
2009,37063002028,0
2009,37063002100,2
2009,37063002200,1
2009,37063002300,55
2009,37063980100,0
2010,37063000101,2
2010,37063000102,1
2010,37063000200,1
2010,37063000301,5
2010,37063000302,2
2010,37063000401,0
2010,37063000402,0
2010,37063000500,20
2010,37063000600,0
2010,37063000700,0
2010,37063000900,5
2010,37063001001,9
2010,37063001002,0
2010,37063001100,4
2010,37063001301,5
2010,37063001303,2
2010,37063001304,1
2010,37063001400,1
2010,37063001501,0
2010,37063001502,0
2010,37063001503,0
2010,37063001601,0
2010,37063001603,1
2010,37063001604,1
2010,37063001705,0
2010,37063001706,0
2010,37063001707,2
2010,37063001708,2
2010,37063001709,1
2010,37063001710,0
2010,37063001711,0
2010,37063001801,3
2010,37063001802,3
2010,37063001806,0
2010,37063001807,1
2010,37063001808,0
2010,37063001809,0
2010,37063001900,0
2010,37063002007,0
2010,37063002008,3
2010,37063002009,1
2010,37063002013,0
2010,37063002015,0
2010,37063002016,0
2010,37063002017,0
2010,37063002018,0
2010,37063002019,1
2010,37063002020,1
2010,37063002021,0
2010,37063002022,0
2010,37063002023,0
2010,37063002024,0
2010,37063002025,1
2010,37063002026,0
2010,37063002027,2
2010,37063002028,1
2010,37063002100,1
2010,37063002200,3
2010,37063002300,2
2010,37063980100,0
2011,37063000101,1
2011,37063000102,0
2011,37063000200,0
2011,37063000301,1
2011,37063000302,0
2011,37063000401,0
2011,37063000402,2
2011,37063000500,7
2011,37063000600,0
2011,37063000700,1
2011,37063000900,1
2011,37063001001,14
