year,fips,value
2015,37063000101,3
2017,37063000101,0
2018,37063000101,0
2019,37063000101,3
2015,37063000102,0
2017,37063000102,3
2018,37063000102,0
2019,37063000102,3
2015,37063000200,0
2017,37063000200,0
2018,37063000200,0
2019,37063000200,0
2015,37063000301,0
2017,37063000301,0
2018,37063000301,0
2019,37063000301,0
2015,37063000302,0
2017,37063000302,0
2018,37063000302,0
2019,37063000302,3
2015,37063000401,0
2017,37063000401,0
2018,37063000401,0
2019,37063000401,3
2015,37063000402,0
2017,37063000402,0
2018,37063000402,0
2019,37063000402,0
2015,37063000500,0
2017,37063000500,0
2018,37063000500,0
2019,37063000500,0
2015,37063000600,0
2017,37063000600,4
2018,37063000600,3
2019,37063000600,4
2015,37063000700,4
2017,37063000700,0
2018,37063000700,0
2019,37063000700,0
2015,37063000900,0
2017,37063000900,0
2018,37063000900,0
2019,37063000900,0
2015,37063001001,0
2017,37063001001,0
2018,37063001001,0
2019,37063001001,0
2015,37063001002,0
2017,37063001002,0
2018,37063001002,0
2019,37063001002,3
2015,37063001100,0
2017,37063001100,0
2018,37063001100,0
2019,37063001100,0
2015,37063001301,0
2017,37063001301,0
2018,37063001301,0
2019,37063001301,0
2015,37063001303,0
2017,37063001303,0
2018,37063001303,0
2019,37063001303,0
2015,37063001304,0
2017,37063001304,0
2018,37063001304,0
2019,37063001304,0
2015,37063001400,0
2017,37063001400,0
2018,37063001400,0
2019,37063001400,0
2015,37063001501,0
2017,37063001501,0
2018,37063001501,0
2019,37063001501,0
2015,37063001502,4
2017,37063001502,0
2018,37063001502,0
2019,37063001502,0
2015,37063001503,0
2017,37063001503,0
2018,37063001503,0
2019,37063001503,0
2015,37063001601,0
2017,37063001601,0
2018,37063001601,0
2019,37063001601,0
2015,37063001603,7
2017,37063001603,7
2018,37063001603,9
2019,37063001603,8
2015,37063001604,6
2017,37063001604,8
2018,37063001604,7
2019,37063001604,10
2015,37063001705,0
2017,37063001705,4
2018,37063001705,3
2019,37063001705,0
2015,37063001706,4
2017,37063001706,6
2018,37063001706,6
2019,37063001706,5
2015,37063001707,6
2017,37063001707,11
2018,37063001707,11
2019,37063001707,14
2015,37063001708,0
2017,37063001708,0
2018,37063001708,0
2019,37063001708,0
2015,37063001709,0
2017,37063001709,3
2018,37063001709,3
2019,37063001709,0
2015,37063001710,5
2017,37063001710,5
2018,37063001710,4
2019,37063001710,10
2015,37063001711,0
2017,37063001711,0
2018,37063001711,0
2019,37063001711,4
2015,37063001801,0
2017,37063001801,0
2018,37063001801,0
2019,37063001801,0
2015,37063001802,3
2017,37063001802,3
2018,37063001802,3
2019,37063001802,0
2015,37063001806,0
2017,37063001806,0
2018,37063001806,0
2019,37063001806,0
2015,37063001807,5
2017,37063001807,8
2018,37063001807,7
2019,37063001807,3
2015,37063001808,4
2017,37063001808,15
2018,37063001808,15
2019,37063001808,14
2015,37063001809,0
2017,37063001809,0
2018,37063001809,0
2019,37063001809,0
2015,37063001900,3
2017,37063001900,7
2018,37063001900,5
2019,37063001900,12
2015,37063002007,3
2017,37063002007,4
2018,37063002007,3
2019,37063002007,0
2015,37063002008,0
2017,37063002008,5
2018,37063002008,5
2019,37063002008,6
2015,37063002009,0
2017,37063002009,0
2018,37063002009,0
2019,37063002009,0
2015,37063002013,4
2017,37063002013,3
2018,37063002013,0
2019,37063002013,4
2015,37063002015,0
2017,37063002015,6
2018,37063002015,6
2019,37063002015,4
2015,37063002016,3
2017,37063002016,3
2018,37063002016,3
2019,37063002016,6
2015,37063002017,11
2017,37063002017,12
2018,37063002017,12
2019,37063002017,12
2015,37063002018,9
2017,37063002018,10
2018,37063002018,11
2019,37063002018,11
2015,37063002019,0
2017,37063002019,0
2018,37063002019,0
2019,37063002019,0
2015,37063002020,11
2017,37063002020,28
2018,37063002020,26
2019,37063002020,19
2015,37063002021,6
2017,37063002021,8
2018,37063002021,7
2019,37063002021,10
2015,37063002022,0
2017,37063002022,7
2018,37063002022,7
2019,37063002022,9
2015,37063002023,0
2017,37063002023,0
2018,37063002023,0
2019,37063002023,0
2015,37063002024,14
2017,37063002024,15
2018,37063002024,13
2019,37063002024,22
2015,37063002025,16
2017,37063002025,15
2018,37063002025,15
2019,37063002025,16
2015,37063002026,0
2017,37063002026,0
2018,37063002026,0
2019,37063002026,0
2015,37063002027,10
2017,37063002027,12
2018,37063002027,9
2019,37063002027,8
2015,37063002028,10
2017,37063002028,12
2018,37063002028,9
2019,37063002028,16
2015,37063002100,0
2017,37063002100,0
2018,37063002100,0
2019,37063002100,7
2015,37063002200,0
2017,37063002200,0
2018,37063002200,0
2019,37063002200,0
2015,37063002300,0
2017,37063002300,0
2018,37063002300,0
2019,37063002300,0
2015,37063980100,0
2017,37063980100,0
2018,37063980100,0
2019,37063980100,0
