year,fips,value
2015,37063000101,118
2017,37063000101,123
2018,37063000101,105
2019,37063000101,127
2015,37063000102,90
2017,37063000102,87
2018,37063000102,76
2019,37063000102,98
2015,37063000200,64
2017,37063000200,78
2018,37063000200,63
2019,37063000200,68
2015,37063000301,71
2017,37063000301,60
2018,37063000301,47
2019,37063000301,58
2015,37063000302,27
2017,37063000302,34
2018,37063000302,25
2019,37063000302,27
2015,37063000401,15
2017,37063000401,12
2015,37063000402,12
2017,37063000402,13
2015,37063000500,105
2017,37063000500,111
2018,37063000500,98
2019,37063000500,125
2015,37063000600,86
2017,37063000600,98
2018,37063000600,79
2019,37063000600,95
2015,37063000700,104
2017,37063000700,102
2018,37063000700,84
2019,37063000700,109
2015,37063000900,101
2017,37063000900,115
2018,37063000900,89
2019,37063000900,89
2015,37063001001,159
2017,37063001001,192
2018,37063001001,183
2019,37063001001,183
2015,37063001002,210
2017,37063001002,219
2018,37063001002,176
2019,37063001002,269
2015,37063001100,209
2017,37063001100,242
2018,37063001100,176
2019,37063001100,217
2015,37063001301,73
2017,37063001301,88
2018,37063001301,71
2019,37063001301,113
2015,37063001303,167
2017,37063001303,158
2018,37063001303,136
2019,37063001303,172
2015,37063001304,156
2017,37063001304,191
2018,37063001304,168
2019,37063001304,207
2015,37063001400,129
2017,37063001400,149
2018,37063001400,115
2019,37063001400,136
2015,37063001502,104
2017,37063001502,111
2018,37063001502,97
2019,37063001502,123
2015,37063001601,100
2017,37063001601,120
2018,37063001601,113
2019,37063001601,134
2015,37063001603,52
2017,37063001603,61
2018,37063001603,64
2019,37063001603,74
2015,37063001604,52
2017,37063001604,61
2018,37063001604,59
2019,37063001604,77
2015,37063001705,60
2017,37063001705,76
2018,37063001705,69
2019,37063001705,86
2015,37063001706,43
2017,37063001706,42
2018,37063001706,38
2019,37063001706,42
2015,37063001707,34
2017,37063001707,39
2018,37063001707,42
2019,37063001707,50
2015,37063001708,185
2017,37063001708,216
2018,37063001708,201
2019,37063001708,264
2015,37063001709,331
2017,37063001709,371
2018,37063001709,342
2019,37063001709,375
2015,37063001710,77
2017,37063001710,86
2018,37063001710,82
2019,37063001710,109
2015,37063001711,90
2017,37063001711,96
2018,37063001711,78
2019,37063001711,103
2015,37063001801,168
2017,37063001801,219
2018,37063001801,196
2019,37063001801,242
2015,37063001802,250
2017,37063001802,265
2018,37063001802,238
2019,37063001802,269
2015,37063001806,79
2017,37063001806,97
2018,37063001806,94
2019,37063001806,120
2015,37063001807,201
2017,37063001807,233
2018,37063001807,217
2019,37063001807,298
2015,37063001808,98
2017,37063001808,108
2018,37063001808,98
2019,37063001808,163
2015,37063001809,52
2017,37063001809,68
2018,37063001809,56
2019,37063001809,82
2015,37063001900,11
2017,37063001900,16
2018,37063001900,14
2019,37063001900,24
2015,37063002007,110
2017,37063002007,117
2018,37063002007,103
2019,37063002007,118
2015,37063002008,11
2017,37063002008,12
2019,37063002008,21
2015,37063002009,365
2017,37063002009,384
2018,37063002009,343
2019,37063002009,405
2015,37063002013,50
2017,37063002013,62
2018,37063002013,55
2019,37063002013,79
2015,37063002015,50
2017,37063002015,55
2018,37063002015,50
2019,37063002015,66
2015,37063002016,35
2017,37063002016,45
2018,37063002016,41
2019,37063002016,69
2015,37063002017,41
2017,37063002017,43
2018,37063002017,35
2019,37063002017,47
2015,37063002018,45
2017,37063002018,45
2018,37063002018,43
2019,37063002018,56
2017,37063002019,19
2018,37063002019,12
2019,37063002019,23
2015,37063002020,64
2017,37063002020,74
2018,37063002020,63
2019,37063002020,88
2015,37063002021,31
2017,37063002021,44
2018,37063002021,35
2019,37063002021,37
2015,37063002022,61
2017,37063002022,82
2018,37063002022,71
2019,37063002022,88
2015,37063002023,26
2017,37063002023,32
2018,37063002023,26
2019,37063002023,34
2015,37063002024,51
2017,37063002024,57
2018,37063002024,58
2019,37063002024,52
2015,37063002025,148
2017,37063002025,173
2018,37063002025,163
2019,37063002025,201
2015,37063002026,234
2017,37063002026,262
2018,37063002026,248
2019,37063002026,292
2015,37063002027,106
2017,37063002027,137
2018,37063002027,128
2019,37063002027,178
2015,37063002028,55
2017,37063002028,52
2018,37063002028,40
2019,37063002028,72
2015,37063002100,73
2017,37063002100,85
2018,37063002100,78
2019,37063002100,91
2015,37063002200,40
2017,37063002200,24
2018,37063002200,53
2019,37063002200,48
2015,37063002300,57
2017,37063002300,69
2018,37063002300,54
2019,37063002300,91
