year,fips,value
2015,37063000101,128
2017,37063000101,134
2018,37063000101,121
2019,37063000101,139
2015,37063000102,130
2017,37063000102,124
2018,37063000102,107
2019,37063000102,125
2015,37063000200,82
2017,37063000200,88
2018,37063000200,76
2019,37063000200,84
2015,37063000301,62
2017,37063000301,67
2018,37063000301,51
2019,37063000301,55
2015,37063000302,60
2017,37063000302,83
2018,37063000302,73
2019,37063000302,70
2015,37063000401,102
2017,37063000401,94
2018,37063000401,72
2019,37063000401,89
2015,37063000402,30
2017,37063000402,40
2018,37063000402,37
2019,37063000402,51
2015,37063000500,89
2017,37063000500,113
2018,37063000500,96
2019,37063000500,109
2015,37063000600,130
2017,37063000600,154
2018,37063000600,120
2019,37063000600,145
2015,37063000700,121
2017,37063000700,123
2018,37063000700,109
2019,37063000700,117
2015,37063000900,64
2017,37063000900,67
2018,37063000900,51
2019,37063000900,59
2015,37063001001,130
2017,37063001001,149
2018,37063001001,138
2019,37063001001,139
2015,37063001002,184
2017,37063001002,177
2018,37063001002,141
2019,37063001002,214
2015,37063001100,145
2017,37063001100,178
2018,37063001100,123
2019,37063001100,157
2015,37063001301,44
2017,37063001301,61
2018,37063001301,50
2019,37063001301,82
2015,37063001303,111
2017,37063001303,102
2018,37063001303,86
2019,37063001303,113
2015,37063001304,112
2017,37063001304,146
2018,37063001304,128
2019,37063001304,152
2015,37063001400,93
2017,37063001400,102
2018,37063001400,77
2019,37063001400,89
2015,37063001502,95
2017,37063001502,105
2018,37063001502,87
2019,37063001502,100
2015,37063001601,241
2017,37063001601,269
2018,37063001601,252
2019,37063001601,272
2015,37063001603,250
2017,37063001603,292
2018,37063001603,285
2019,37063001603,287
2015,37063001604,230
2017,37063001604,293
2018,37063001604,269
2019,37063001604,297
2015,37063001705,230
2017,37063001705,242
2018,37063001705,222
2019,37063001705,237
2015,37063001706,112
2017,37063001706,135
2018,37063001706,126
2019,37063001706,149
2015,37063001707,333
2017,37063001707,394
2018,37063001707,364
2019,37063001707,392
2015,37063001708,153
2017,37063001708,186
2018,37063001708,176
2019,37063001708,212
2015,37063001709,275
2017,37063001709,310
2018,37063001709,294
2019,37063001709,297
2015,37063001710,128
2017,37063001710,136
2018,37063001710,125
2019,37063001710,152
2015,37063001711,131
2017,37063001711,154
2018,37063001711,134
2019,37063001711,170
2015,37063001801,253
2017,37063001801,306
2018,37063001801,276
2019,37063001801,333
2015,37063001802,234
2017,37063001802,247
2018,37063001802,231
2019,37063001802,251
2015,37063001806,164
2017,37063001806,191
2018,37063001806,174
2019,37063001806,213
2015,37063001807,231
2017,37063001807,261
2018,37063001807,225
2019,37063001807,290
2015,37063001808,191
2017,37063001808,232
2018,37063001808,215
2019,37063001808,246
2015,37063001809,135
2017,37063001809,159
2018,37063001809,136
2019,37063001809,176
2015,37063001900,124
2017,37063001900,231
2018,37063001900,197
2019,37063001900,262
2015,37063002007,204
2017,37063002007,211
2018,37063002007,185
2019,37063002007,201
2015,37063002008,76
2017,37063002008,119
2018,37063002008,108
2019,37063002008,114
2015,37063002009,242
2017,37063002009,263
2018,37063002009,231
2019,37063002009,254
2015,37063002013,129
2017,37063002013,139
2018,37063002013,120
2019,37063002013,163
2015,37063002015,154
2017,37063002015,181
2018,37063002015,148
2019,37063002015,166
2015,37063002016,71
2017,37063002016,102
2018,37063002016,93
2019,37063002016,116
2015,37063002017,231
2017,37063002017,273
2018,37063002017,244
2019,37063002017,285
2015,37063002018,191
2017,37063002018,215
2018,37063002018,193
2019,37063002018,243
2015,37063002019,51
2017,37063002019,64
2018,37063002019,55
2019,37063002019,82
2015,37063002020,100
2017,37063002020,172
2018,37063002020,150
2019,37063002020,162
2015,37063002021,83
2017,37063002021,96
2018,37063002021,73
2019,37063002021,89
2015,37063002022,113
2017,37063002022,144
2018,37063002022,129
2019,37063002022,146
2015,37063002023,60
2017,37063002023,75
2018,37063002023,64
2019,37063002023,72
2015,37063002024,133
2017,37063002024,176
2018,37063002024,163
2019,37063002024,172
2015,37063002025,146
2017,37063002025,178
2018,37063002025,173
2019,37063002025,213
2015,37063002026,172
2017,37063002026,202
2018,37063002026,196
2019,37063002026,232
2015,37063002027,183
2017,37063002027,231
2018,37063002027,213
2019,37063002027,268
2015,37063002028,99
2017,37063002028,132
2018,37063002028,98
2019,37063002028,136
2015,37063002100,213
2017,37063002100,285
2018,37063002100,254
2019,37063002100,304
2015,37063002200,34
2017,37063002200,41
2018,37063002200,61
2019,37063002200,66
2015,37063002300,34
2017,37063002300,52
2018,37063002300,39
2019,37063002300,65
