year,fips,value
2019,37063000102,12
2015,37063000600,15
2017,37063000600,15
2019,37063000600,14
2018,37063001001,11
2019,37063001001,11
2015,37063001002,20
2017,37063001002,36
2018,37063001002,40
2019,37063001002,39
2017,37063001100,14
2019,37063001100,14
2015,37063001502,15
2017,37063001502,17
2018,37063001502,12
2019,37063001502,14
2017,37063001603,11
2018,37063001603,11
2015,37063001705,13
2017,37063001705,16
2018,37063001705,15
2019,37063001705,18
2017,37063001708,14
2018,37063001708,11
2019,37063001708,20
2017,37063001709,15
2018,37063001709,13
2019,37063001709,18
2019,37063001710,11
2017,37063001711,11
2019,37063001711,16
2017,37063001801,20
2018,37063001801,19
2019,37063001801,22
2015,37063001802,16
2017,37063001802,26
2018,37063001802,24
2019,37063001802,34
2015,37063001807,15
2017,37063001807,26
2018,37063001807,22
2019,37063001807,30
2019,37063001808,14
2015,37063002015,12
2017,37063002015,20
2018,37063002015,13
2019,37063002015,12
2017,37063002016,12
2019,37063002016,12
2019,37063002025,11
