id,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021,y_2022,y_2023
37063000101,1272,1129,1181,1095,1194,1416,1505,1517,1616,2256,2211,2272,2386
37063000102,1895,2042,2057,2158,2137,2329,2292,2417,2396,2196,2128,2121,2091
37063000200,1598,1476,1464,1329,1583,1648,1731,1821,1878,1778,1774,1904,1809
37063000301,1324,1247,1328,1355,1275,1366,1400,1308,1213,1528,1644,1726,1657
37063000302,1931,1885,2009,1895,1991,2000,1961,2133,2260,2134,2205,2258,2296
37063000401,1388,1439,1596,1593,1625,1719,1561,1588,1561,1420,1436,1588,1454
37063000402,1106,1095,1121,1054,1150,1139,1220,1290,1345,1475,1584,1504,1509
37063000500,1223,1143,1122,1242,1470,1597,1727,1884,1847,1877,1876,1851,1785
37063000600,2542,2751,2710,2762,3053,2972,2835,3043,3001,2952,3256,3012,2836
37063000700,1467,1516,1435,1529,1626,1644,1743,1879,1934,1948,2057,2183,2061
37063000900,727,625,783,793,906,780,920,764,814,910,954,1053,1166
37063001001,1115,1091,1325,1568,1647,1780,1708,1732,1570,1419,1348,1377,1391
37063001002,1884,1738,1925,2185,2665,2802,3084,2677,2560,2558,2394,2550,2438
37063001100,670,802,943,985,1296,1393,1360,1273,1221,1085,1175,1139,1149
37063001301,313,408,366,450,632,622,542,648,578,742,797,832,790
37063001303,936,923,1032,1109,1359,1400,1447,1683,1665,1588,1547,1733,1435
37063001304,817,775,980,964,979,1187,1278,1152,1235,1030,789,917,872
37063001400,788,839,829,662,695,737,582,685,744,1164,1209,1283,1301
37063001501,618,706,662,520,468,355,275,378,348,353,399,1021,901
37063001502,2532,2463,2535,2708,2581,2587,2725,2692,2669,3200,3232,3010,3137
37063001503,415,385,323,333,277,236,219,235,182,188,200,477,376
37063001601,2824,2790,2765,2739,2710,2919,3085,3157,3206,2809,2403,2496,2675
37063001603,2991,3035,3148,3081,3157,3149,3265,3261,3483,3709,3589,3631,3665
37063001604,3281,3296,3357,3134,3110,3060,3223,3096,3226,3147,3066,2929,2897
37063001705,2286,2306,2250,2418,2418,2475,2314,2355,2513,2491,2714,2809,2553
37063001706,2480,2432,2563,2538,2656,2846,2879,3020,3219,3079,3044,3275,3271
37063001707,3664,3844,3848,3626,3327,3228,3146,2969,3090,4005,4147,4107,4485
37063001708,1730,1732,1921,2046,2267,2179,2315,2302,2311,2204,2055,2188,2234
37063001709,2035,2077,2054,2046,2356,2619,2749,3053,3091,3138,3069,3894,3814
37063001710,2050,2131,2089,2219,2207,2177,2200,2343,2488,2309,2516,2467,2347
37063001711,2005,2185,2102,2243,2183,2312,2585,2619,2574,2820,3038,3169,2916
37063001801,2884,3152,3375,3728,3729,3795,3535,3980,4115,4051,3954,4092,4090
37063001802,2738,2921,3032,3340,3042,3306,3571,3441,3265,3153,2561,2526,2880
37063001806,2457,2476,2713,2718,2965,3119,3665,3627,3678,3500,3560,3497,3562
37063001807,4776,4673,4759,4641,4509,4660,5154,5157,5805,5713,5354,5039,5069
37063001808,2248,2534,3027,3407,3854,4317,4965,5459,6045,6386,6329,6505,6487
37063001809,3527,3376,3351,3034,3345,3212,3315,3431,3618,3924,4063,4499,5282
37063001900,1292,1336,1373,1435,1694,1797,1959,2155,2236,2193,2339,2609,2573
37063002007,2832,2978,2799,2910,2860,3036,3052,2936,2865,2614,2769,2718,2734
37063002008,1532,1534,1560,1621,1569,1625,1610,1575,1573,1633,1744,1700,1686
37063002009,2030,2126,1864,1772,1809,1783,1780,1751,1735,1866,1726,1810,2058
37063002013,2409,2489,2443,2418,2486,2402,2458,2519,2592,2539,2696,2693,2834
37063002015,2629,2631,2514,2717,2859,2765,2688,2640,2687,2583,2543,2394,2679
37063002016,2698,2903,3193,3083,3137,3109,3098,3145,3062,2761,2794,3064,3016
37063002017,2944,3170,3282,3509,3825,3968,3788,3946,3864,3930,4091,4253,4094
37063002018,4037,4000,4304,4618,4652,4995,5560,5506,5148,5262,5240,5599,5319
37063002019,2551,2523,2906,2722,2681,2780,2831,2479,3029,2815,2911,2754,2811
37063002020,3221,3358,3503,3729,3900,3836,3709,4135,4221,5116,5310,5462,5475
37063002021,2440,2567,2574,2628,2623,2591,2723,2524,2936,2949,2992,3029,3068
37063002022,2837,2637,2661,2699,2585,2731,2820,2791,2717,2396,2517,2593,2896
37063002023,1762,1774,1781,1746,1878,2056,2053,2020,1988,1888,1726,1708,1715
37063002024,4035,3905,3910,4045,4014,4031,4040,3863,3690,3402,3548,3761,3970
37063002025,3224,3588,3509,3513,3612,3791,3701,3625,3482,3256,3247,3246,3822
37063002026,2684,2870,2850,2811,3105,3333,3369,3658,4051,4489,4620,4855,4751
37063002027,4443,4183,4290,4425,4962,5282,5550,6067,6968,6247,5836,6525,7067
37063002028,3534,3709,3943,4300,4680,5013,5388,6630,7416,7453,8030,8720,8881
37063002100,2917,3129,3095,3092,3153,3092,2858,3068,3038,2878,2722,2833,2618
37063002200,878,952,1098,1171,1202,1139,1318,1372,1434,1582,1788,1887,2082
37063002300,272,272,393,343,320,348,348,387,503,701,862,1005,1204
37063980100,24,54,41,24,0,0,0,0,0,1,1,1,1
