id,y_2015,y_2017
37063000101,218,245
37063000102,482,475
37063000200,246,253
37063000301,191,181
37063000302,220,214
37063000401,70,87
37063000402,97,110
37063000500,191,202
37063000600,569,552
37063000700,56,60
37063000900,204,213
37063001001,348,422
37063001002,981,1137
37063001100,285,310
37063001301,46,64
37063001303,45,55
37063001304,170,192
37063001400,107,142
37063001501,8,10
37063001502,600,715
37063001503,,
37063001601,121,173
37063001603,104,167
37063001604,71,88
37063001705,209,277
37063001706,155,195
37063001707,100,131
37063001708,221,276
37063001709,298,415
37063001710,370,360
37063001711,368,468
37063001801,525,706
37063001802,610,781
37063001806,214,309
37063001807,516,690
37063001808,254,300
37063001809,197,245
37063001900,48,58
37063002007,68,112
37063002008,14,14
37063002009,239,337
37063002013,84,106
37063002015,541,579
37063002016,484,521
37063002017,93,106
37063002018,95,113
37063002019,30,32
37063002020,44,71
37063002021,95,97
37063002022,74,96
37063002023,41,39
37063002024,77,94
37063002025,219,272
37063002026,244,315
37063002027,231,282
37063002028,163,186
37063002100,43,55
37063002200,49,72
37063002300,40,57
37063980100,,
