id,y_2015,y_2017
37063000101,588,608
37063000102,1020,1054
37063000200,779,888
37063000301,685,735
37063000302,1551,1475
37063000401,1474,1488
37063000402,1053,1273
37063000500,697,692
37063000600,1746,1825
37063000700,1165,1338
37063000900,99,125
37063001001,282,332
37063001002,313,366
37063001100,421,516
37063001301,63,66
37063001303,45,58
37063001304,61,70
37063001400,50,52
37063001501,64,48
37063001502,1060,1052
37063001503,,
37063001601,2257,2422
37063001603,2950,3122
37063001604,3186,3391
37063001705,1930,1976
37063001706,1913,1925
37063001707,3764,4050
37063001708,339,359
37063001709,434,500
37063001710,832,860
37063001711,751,775
37063001801,1559,1612
37063001802,560,592
37063001806,1547,1530
37063001807,1298,1278
37063001808,2098,2457
37063001809,1575,1622
37063001900,1655,2185
37063002007,1823,1924
37063002008,1604,1688
37063002009,78,126
37063002013,1466,1528
37063002015,1363,1357
37063002016,835,836
37063002017,3573,3679
37063002018,2947,3031
37063002019,1221,1267
37063002020,2055,2335
37063002021,1167,1179
37063002022,1337,1304
37063002023,1039,1062
37063002024,2566,2716
37063002025,1176,1214
37063002026,532,523
37063002027,1598,1822
37063002028,1625,1932
37063002100,2990,3365
37063002200,722,859
37063002300,59,143
37063980100,16,19
