id,y_2010,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021
37063000101,150,105,81,98,121,115,122,125,99,107,108,81
37063000102,145,179,288,317,309,319,353,365,404,367,327,238
37063000200,149,171,238,209,181,180,165,144,118,182,168,200
37063000301,31,45,133,153,184,187,172,121,117,114,114,72
37063000302,205,222,228,226,235,235,216,172,169,187,148,245
37063000401,20,36,8,32,39,45,76,76,62,49,45,56
37063000402,41,53,37,69,85,78,74,83,61,61,91,112
37063000500,187,108,54,46,62,55,99,159,154,140,104,84
37063000600,348,330,260,273,201,254,190,258,279,269,219,176
37063000700,23,36,47,56,47,71,68,52,82,95,78,72
37063000900,82,149,125,152,160,201,162,178,176,138,122,137
37063001001,223,164,191,216,121,158,212,182,252,274,512,462
37063001002,442,476,454,551,698,785,848,878,779,761,729,655
37063001100,113,104,136,174,242,244,270,305,263,213,181,235
37063001301,21,21,45,42,45,43,43,32,33,47,63,84
37063001303,33,26,34,36,26,24,28,0,0,0,13,27
37063001304,140,92,35,42,34,42,33,62,74,95,97,105
37063001400,39,27,20,18,16,34,83,102,99,117,117,160
37063001501,0,0,4,6,9,9,11,8,4,0,0,0
37063001502,450,504,527,465,486,428,397,305,288,290,266,263
37063001503,0,0,0,0,0,0,0,0,0,0,0,0
37063001601,45,15,65,95,91,96,146,160,94,133,114,61
37063001603,35,97,97,133,133,76,76,78,80,68,46,78
37063001604,22,0,12,13,17,21,34,22,26,52,51,92
37063001705,158,203,128,116,198,130,149,142,173,233,240,235
37063001706,49,70,78,124,126,143,111,138,84,176,337,325
37063001707,53,55,110,115,164,144,159,107,127,62,35,49
37063001708,26,46,60,59,144,171,171,192,183,169,130,116
37063001709,124,198,161,202,229,205,176,263,307,302,450,475
37063001710,273,191,190,195,215,259,216,229,202,220,155,172
37063001711,329,345,413,338,304,307,291,279,287,305,197,227
37063001801,99,160,278,193,209,314,394,365,540,583,589,561
37063001802,242,278,345,349,455,503,553,594,587,636,743,667
37063001806,125,155,143,138,100,119,134,185,138,256,312,426
37063001807,328,312,297,270,305,269,349,495,510,622,646,650
37063001808,80,126,170,163,249,260,257,260,331,242,193,222
37063001809,106,240,240,142,153,193,79,95,186,203,271,243
37063001900,31,22,20,19,30,32,33,74,55,62,203,202
37063002007,149,105,104,160,161,96,145,129,77,76,51,58
37063002008,62,51,48,18,23,9,15,27,30,15,14,21
37063002009,148,192,174,177,115,99,147,201,198,227,282,236
37063002013,82,80,90,100,147,106,126,140,149,134,92,103
37063002015,326,472,442,335,342,340,293,335,423,381,292,291
37063002016,721,648,623,763,743,597,567,594,458,430,317,448
37063002017,84,110,99,64,86,98,53,51,40,0,18,18
37063002018,147,120,109,85,136,160,204,198,224,236,250,312
37063002019,105,93,115,135,174,180,114,103,57,30,69,0
37063002020,82,69,64,74,79,58,54,37,32,12,21,39
37063002021,111,110,127,126,112,174,167,92,121,94,135,178
37063002022,218,224,123,136,195,144,81,72,102,58,101,143
37063002023,39,37,66,104,123,111,175,136,96,83,65,16
37063002024,61,72,88,103,177,223,224,222,208,157,113,112
37063002025,174,137,186,185,289,217,266,249,252,183,98,137
37063002026,249,235,240,139,126,124,133,151,152,288,376,501
37063002027,326,272,326,315,285,379,417,249,227,156,195,120
37063002028,249,227,225,202,174,191,196,225,308,366,360,339
37063002100,9,9,21,20,36,29,60,40,44,18,18,60
37063002200,81,75,51,29,43,9,37,59,84,74,93,63
37063002300,22,20,48,65,61,43,41,19,83,77,85,71
37063980100,0,0,0,0,0,0,0,0,0,0,0,0
