id,y_1970,y_1980,y_1990,y_2000,y_2010,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021,y_2022,y_2023
37063000101,1,1,1,1,1,1151,1180,1163,1111,1136,1206,1214,1209,1304,1425,1468,1467,1506
37063000102,1,1,1,1,1,1732,1736,1815,1858,1873,1874,1877,1848,1818,1592,1596,1581,1639
37063000200,1,1,1,1,1,1306,1323,1368,1303,1279,1287,1279,1199,1206,1143,1098,1100,1222
37063000301,1,1,1,1,1,1119,1155,1226,1178,1131,1186,1168,1165,1133,1388,1465,1434,1424
37063000302,1,1,1,1,1,1604,1605,1644,1591,1615,1675,1596,1543,1573,1502,1537,1607,1690
37063000401,1,1,1,1,1,1224,1230,1292,1313,1336,1361,1285,1258,1225,1214,1223,1266,1265
37063000402,1,1,1,1,1,1111,1080,1054,1044,1058,1064,1116,1257,1374,1621,1728,1720,1725
37063000500,1,1,1,1,1,1423,1330,1271,1315,1397,1515,1562,1563,1567,1617,1556,1509,1493
37063000600,1,1,1,1,1,1863,2007,2011,2086,2214,2316,2323,2295,2254,2532,2588,2341,2350
37063000700,1,1,1,1,1,1310,1408,1451,1600,1669,1723,1787,1868,1873,1859,1985,2084,2090
37063000900,1,1,1,1,1,643,643,682,693,762,731,721,664,642,682,751,767,810
37063001001,1,1,1,1,1,1258,1288,1266,1303,1275,1262,1308,1402,1360,1511,1514,1380,1357
37063001002,1,1,1,1,1,1763,1886,2000,2144,2170,2099,2238,2191,2242,2086,1974,1902,1940
37063001100,1,1,1,1,1,1001,1100,1162,1213,1247,1332,1373,1312,1346,1227,1251,1164,1185
37063001301,1,1,1,1,1,476,470,451,477,524,548,521,561,543,749,802,828,844
37063001303,1,1,1,1,1,602,618,618,665,693,698,712,751,711,718,778,733,678
37063001304,1,1,1,1,1,1031,1042,1048,1049,1081,1151,1170,1171,1188,1109,1132,1105,1076
37063001400,1,1,1,1,1,1168,1141,1123,1053,973,926,913,921,827,1243,1221,1248,1295
37063001501,1,1,1,1,1,36,39,37,43,31,35,31,34,17,8,15,7,4
37063001502,1,1,1,1,1,2432,2603,2612,2844,2924,3098,2987,3070,2990,3286,3273,3130,3436
37063001503,1,1,,1,1,26,,,,,,,,,0,0,0,0
37063001601,1,1,1,1,1,2175,2142,2213,2245,2246,2257,2293,2275,2359,2143,2080,2072,2089
37063001603,1,1,1,1,1,2303,2336,2443,2469,2531,2589,2637,2689,2712,3060,3003,3099,2944
37063001604,1,1,1,1,1,2503,2504,2517,2479,2620,2541,2596,2598,2656,2908,2862,2865,2860
37063001705,1,1,1,1,1,2054,2109,2135,2238,2286,2359,2356,2365,2275,2231,2286,2346,2261
37063001706,1,1,1,1,1,1974,1967,2161,2303,2353,2444,2510,2529,2451,2502,2551,2754,2710
37063001707,1,1,1,1,1,2928,2998,3027,3039,3105,3214,3166,3118,3045,3471,3467,3550,3788
37063001708,1,1,1,1,1,1520,1611,1726,1769,1780,1769,1793,1739,1791,1905,1924,2012,2077
37063001709,1,1,1,1,1,2324,2455,2454,2432,2538,2682,2728,2779,2986,2825,2828,2907,3049
37063001710,1,1,1,1,1,1795,1787,1794,1874,1764,1768,1771,1788,1786,1726,1888,1885,1965
