id,y_2001,y_2002,y_2003,y_2004,y_2005,y_2007,y_2008,y_2009,y_2010,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019
37063000101,71116004,71851261,73487422,74152545,74767409,76722611,91149130,91329079,91185418,91319571,91149037,91127409,91798232,89433951,109691904,108095479,138748098,355652900
37063000102,86059288,84804957,84847639,85582691,86009365,86467127,118203784,117423136,117008208,117306323,117041477,117088414,116605669,114456550,123322436,121933751,158219946,367522821
37063000200,63523948,62667913,63165628,63476127,64367775,65213676,101045088,100168753,99966013,101613165,102211391,102543411,106995274,100089200,156273553,150237640,198763781,463198165
37063000301,39348725,43475685,45716587,46088407,47001577,48376705,74699436,75559623,75851292,76346528,76854489,77215491,79413341,72862327,108016969,102987715,141644317,327528538
37063000302,100558697,98939747,100337544,101129750,101469711,103943282,177840262,178425572,180578919,180702979,181949824,183013754,206902322,175335553,287179711,279734138,347007828,743999358
37063000401,107921752,109979415,111674298,112222537,112901173,116480045,191515406,190374970,190315042,190426670,192909093,191413000,197054964,186472464,252569670,245079615,313599941,668451464
37063000402,32916888,32414210,34952651,35242721,35253308,35466682,77846005,78024207,79045025,79768792,80119956,81876458,83851973,69847721,105090235,94830349,126660664,289043859
37063000500,32290774,31225241,31531169,32473751,32688040,34166965,46634783,46790698,47354134,44915810,45721209,45872046,46473043,43190213,68183384,67299569,103514801,246432878
37063000600,153747524,151800752,152334119,153761964,155544566,156739059,221779047,222051570,221761624,221666031,223066216,224341106,225225883,221558809,296769879,292357307,377398066,870066534
37063000700,123405220,122661720,122796482,123773947,124583102,125253858,194419867,193993713,193377581,193089856,193483014,194399351,197430756,194113571,262577126,254980681,315737820,688731550
37063000900,24663964,23893835,24016464,24266597,24390992,24452638,30851870,30412522,30564092,30309363,30249038,29988990,30319977,28659871,42068021,38773732,60185034,163741973
37063001001,52371723,50597379,50378918,50394106,50639831,53115281,62114186,63515953,63364278,63265964,63060832,63178647,63583362,60871239,65206720,64847462,87801557,216029627
37063001002,66653058,65198301,65170965,65401222,66691558,68094066,85680721,86184301,86872609,87016835,86988657,86919837,87010432,80814841,80236494,79960040,105152333,250428509
37063001100,22685567,21779316,21336491,21502719,21771118,21024651,24822276,24955278,24570143,25571603,26333028,27363575,29109174,26525863,47970765,44635238,69359801,164227666
37063001301,25754326,25712045,25645886,25565839,25768569,25740795,28377902,28292716,27865578,27432257,27512321,26971088,27084743,26694990,28531054,28320647,37466046,98104325
37063001303,41171341,41097745,40694826,40143222,40217061,40438850,48230516,48043160,47924985,47977808,47848698,47778642,47575659,47344215,48152240,47875382,61141522,155481793
37063001304,29113909,29172364,29320134,29367902,29426229,29519294,40962443,40891003,40810852,40879447,40713777,40635293,40771152,40617315,39000422,38922034,49447818,120701381
37063001400,29104825,26618431,27017848,26642727,26998930,26623148,29269365,29845411,29806216,29745997,29733536,29509504,29384547,28875781,26762967,26458012,35464956,80105743
37063001501,55808,55808,,,,,,,,,,,,,,,869187,1729518
37063001502,5295375,5263549,5136233,8310903,8310903,8336790,9651489,9615123,9615123,10549559,10550525,10508588,10508588,9578134,11479422,11682700,31777918,67969492
37063001601,228201704,238420378,241886037,257076158,248772990,267415641,296612227,299992684,301359112,302626228,304759735,307557059,309296116,308351328,335397328,334350011,437436876,952699663
37063001603,270965698,277635685,283989828,289669448,295435443,317854627,370771422,379075128,386531099,399802453,405138987,408792578,412304676,414446394,424647103,423873985,547190728,1189258461
37063001604,295985442,319616338,340817101,353459531,369685312,386194017,452786614,452384934,453108411,453600630,453465468,454816552,454584772,453512396,493809127,490451245,629970790,1335026999
37063001705,172727605,172424433,173050406,176882853,178963595,181292610,225971413,225088584,224759394,225330265,225638855,225641744,225557576,224793408,222173834,220782171,333020231,769414117
37063001706,112387672,112765685,112955317,113050912,113515006,129021202,155574660,158415596,161193131,162929713,172561278,182818991,192293479,192458312,231329752,235039980,295419019,660109469
37063001707,302859867,318969609,330563963,336910631,356167041,388020170,460083312,464316731,467655218,470125628,473218602,476158841,484418781,488565217,568010063,562377157,743628398,1593311043
37063001708,58590319,58343501,58555979,63706700,72232863,96807653,121349871,130768257,142676778,149200196,151007515,154437214,160321618,160178042,158365599,158304037,197659168,441498065
37063001709,62696861,62501999,64145058,70613944,76084528,85365651,99457835,100400689,100367426,100335695,100127065,99982172,99821821,98239706,90091457,89145923,132049981,327090782
37063001710,79638460,83489353,91652356,96613038,101651711,110122305,131703603,133213198,136423606,137137652,137007944,136883445,136871615,136725717,132141961,132387074,168816831,384948102
37063001711,50428235,51251243,52260830,54120968,54028057,56058641,68227349,68136813,68016207,68069198,68002740,69704818,77687368,79056251,73120801,72876040,94777326,215760810
37063001801,150144467,150892167,160579111,167925331,181684166,198398726,245855431,255652695,262230866,270913660,275062015,278907014,281587045,281866529,276692175,275824095,375985773,857114398
37063001802,118961892,122401817,124612008,125054228,128607794,136530830,162448405,163626064,165615225,165299487,165048038,164884192,164668693,162810588,158297276,162646658,213849550,481760866
37063001806,104958378,108698985,112376081,124680042,144529629,186675110,230602205,243242772,243775706,249304253,258738144,261780848,266864467,267022087,272478357,271452519,389712227,854154244
37063001807,195308215,216143943,240453573,251184529,266681078,294669394,355141146,372590013,378101102,379510089,380696075,380766248,380486852,379990471,376961489,378098855,477527468,1058353146
37063001808,128634747,146521137,138217159,139717907,148461420,170434498,262684369,292533550,309994544,332606302,378954805,416544526,472499108,477441092,583958799,582464973,915337346,2005279063
37063001809,86812202,96901642,110488847,127468815,136055058,145946560,183494916,186944634,188506128,190207317,191235821,193503403,196431508,194810272,194514927,193025340,268228298,602976734
37063001900,59947953,70087179,88139340,103090348,114692856,129590595,161401636,169289907,172992717,176639113,182136564,186132277,220491543,220464105,357080609,347241197,745715762,1763923471
37063002007,224991982,226783512,228364454,230652786,234233025,244063479,319967065,323620423,324596127,326349684,327457016,328687973,329297006,328710476,352049276,348720490,444687695,991900332
37063002008,279227032,286108457,292925238,298919069,299823486,303080420,452999451,460411373,461519335,465207461,471815533,474304995,477495820,476348376,500600938,494941041,635098202,1329500389
37063002009,115198173,117503291,118115840,119186174,120031552,121759425,150679592,150812080,150490855,150281856,150274320,150073599,150000434,148951915,144459058,143949706,187124358,432992776
37063002013,188822929,191144504,195146592,194993762,199111157,201083342,242925372,243629096,243890978,244489625,244360080,244439290,244527185,244074255,250611950,250099138,342127480,782379021
37063002015,63068097,63899399,64057472,64831328,65861475,66154950,84306117,84640405,84479605,84443889,84477615,85561744,86464275,84750281,97273261,96446416,124365905,283510104
37063002016,24597565,24312041,24166719,24350974,24580323,24685491,34563882,36045612,36170350,36245836,36834608,37847220,37423006,37003225,45313652,48825192,68795134,148062331
37063002017,294112446,306589769,322216455,334166619,343765673,369639518,484246694,496340735,508773303,517414866,521635899,532950705,540946081,536445160,584564542,584958839,756538379,1622683474
37063002018,281522795,289048092,308045489,364523113,335343074,361050254,524652472,532867695,541631147,554879052,560218590,580218384,602716354,603036623,603292352,620871566,979656742,2070135657
37063002019,136576115,136264610,137750619,138601791,141641116,172015730,246445143,251758474,256688455,261412282,264329873,273556367,282406672,282223028,293503070,305800858,469565984,995264703
37063002020,158205999,190238250,222915649,249460794,296936517,374762109,486904782,502819393,542495703,573248367,587379041,597592513,624253451,623625889,688910724,686124396,984574209,2141309959
37063002021,63457863,82713040,93898196,103828874,114973909,129113574,157652941,157804191,157948840,158006001,157978135,158131928,156129303,156040804,165495413,164936353,210803062,457664795
37063002022,120645832,125631481,129279666,133217808,133877308,134144128,165287044,165412115,165332365,165338575,165251777,165387290,165466018,165481761,172817092,172135224,213192958,469259440
37063002023,93824304,93664179,94189921,94360832,94800299,95965858,120921071,120738704,120511019,120579611,120833406,121057262,121248105,121104384,130433356,130094016,159950223,348291848
37063002024,271907453,284707684,289608928,312113074,311057605,329175717,415064906,415051624,414824576,414838231,415938422,421826704,430523813,432624895,481984796,480952204,626290961,1339505582
37063002025,150613067,151162893,157300195,167700753,182485620,222789546,276412332,280537959,286378040,292601525,295699977,296963817,298293070,300268062,316902703,316413306,405824318,883195173
37063002026,61219928,61293057,65519747,74046781,84367796,100058806,128005384,135277468,141778296,150177227,155319348,164065939,166819455,165814571,169264489,169002477,224544722,514045670
37063002027,55926770,70805147,101415126,109637147,121642200,140460964,174088923,176560532,179395962,184011970,188761597,191793467,196189319,198810211,229144250,228593913,384773869,878592501
37063002028,23698089,25093627,30781980,36357098,55314688,107727300,149033815,167143461,173885803,194749553,220820632,241466744,265747342,271219090,330444593,335731219,621469455,1422887208
37063002100,322807604,343169253,357207577,440510040,386396518,424547353,479664969,486211959,491552179,495044620,497299224,498969030,504361110,503042543,502784172,500517791,674671884,1431734740
