"id","y_2010","y_2011","y_2012","y_2013","y_2014","y_2015","y_2016","y_2017","y_2018","y_2019"
"37063000101",838,795,824,866,767,752,905,1000,1046,1051
"37063000102",1294,1439,1619,1671,1638,1746,1823,1735,1576,1695
"37063000200",1062,1215,1053,1227,1381,1218,1400,1458,1448,1696
"37063000301",865,849,834,814,824,960,1061,1118,1140,1080
"37063000302",1992,2052,2011,2027,2002,2059,2237,2291,2459,2448
"37063000401",2112,2357,2533,2620,2542,2601,2631,2538,2467,2419
"37063000402",1272,1305,1266,1282,1474,1461,1541,1544,1710,1841
"37063000500",899,581,679,750,915,1177,1226,1215,1254,1316
"37063000600",2659,2097,2281,2228,2385,2717,2659,2723,2955,2917
"37063000700",1481,1454,1669,1629,1765,1798,1988,2167,2230,2526
"37063000900",0,71,63,80,80,81,94,209,239,234
"37063001001",160,149,183,257,248,368,405,371,384,466
"37063001002",637,634,571,423,401,421,266,396,448,467
"37063001100",153,207,254,297,274,282,368,473,467,554
"37063001301",16,16,17,28,28,43,58,52,38,46
"37063001303",38,488,539,507,495,222,264,281,365,509
"37063001304",48,44,96,66,50,55,93,28,42,72
"37063001400",8,9,8,9,9,2,33,29,28,37
"37063001501",2818,1382,1512,1459,1569,1342,1307,1324,1433,1572
"37063001502",1075,1124,1320,1391,1173,1261,1440,1423,1404,1395
"37063001503",1031,859,839,810,799,665,655,661,735,819
"37063001601",3378,3696,3275,3306,3432,3285,3291,3433,3491,3360
"37063001603",4585,4317,4486,4193,4079,4068,4417,4546,4536,4613
"37063001604",4732,5046,5121,5179,5179,5572,5206,5034,4924,4933
"37063001705",2563,2636,2588,2524,2573,2674,2753,2687,2759,3149
"37063001706",2364,2355,2201,2098,2023,2288,2490,2686,2870,2880
"37063001707",5540,5604,5369,5403,5160,5412,5503,5746,5490,5812
"37063001708",359,302,340,323,261,308,455,651,723,889
"37063001709",601,695,812,596,748,781,830,704,807,745
"37063001710",1321,1451,1313,1274,1281,1062,1260,1443,1353,1350
"37063001711",1074,1059,1095,1197,1241,1240,1152,1110,1028,1086
"37063001801",1804,1784,1540,1911,2215,2378,2026,2091,2234,2291
"37063001802",864,985,973,878,773,704,655,579,641,591
"37063001806",2012,2180,1894,2225,2150,2335,2356,2599,2996,2625
"37063001807",2175,2630,2373,2316,2399,2346,2103,2332,1943,2149
"37063001808",1774,2009,2123,2420,3044,3310,3653,3656,3965,4171
"37063001809",2498,2144,2353,2408,2412,2234,2585,2590,2545,2524
"37063001900",1756,1738,1814,1954,2350,2465,2462,2688,3201,3349
"37063002007",2885,2884,2876,2790,2826,2923,2954,2969,3176,3096
"37063002008",2502,2441,2597,2726,2707,2596,2630,2626,2562,2565
"37063002009",140,121,114,134,34,45,39,43,84,120
"37063002013",2702,2500,2505,2809,2801,2719,2601,2558,2577,2491
"37063002015",1728,1648,1916,1828,2086,2252,2425,2207,2371,2284
"37063002016",1457,1443,1367,1305,1264,1252,1436,1407,1665,1614
"37063002017",5033,5251,5256,4897,5066,5432,5630,5565,5874,5749
"37063002018",5957,5671,5427,5939,5947,5649,5596,6238,6125,5589
"37063002019",3212,3278,3453,3904,3596,3567,3800,3727,3467,3848
"37063002020",2899,3221,3447,3764,4025,4465,4373,4402,4290,4646
"37063002021",2001,2218,2254,2446,2537,2406,2225,2499,2187,2017
"37063002022",2023,2016,2142,2243,2251,2352,2504,2282,2106,2154
"37063002023",1883,1852,1884,1986,1958,2070,2022,2068,1883,1899
"37063002024",3695,3771,3457,3260,3727,3947,3978,4337,4261,4403
"37063002025",1682,1712,1863,1949,2286,2401,2587,2484,2453,2194
"37063002026",788,949,923,1049,1026,671,758,711,1029,966
"37063002027",2407,2615,2592,2542,2441,2838,2300,2332,2897,3832
"37063002028",2269,2688,3271,3006,2949,3022,3162,3360,3742,4125
"37063002100",5389,5636,5684,5921,5806,5909,5833,5757,5808,5683
"37063002200",797,865,935,1120,1176,1150,1184,1182,1228,1218
"37063002300",98,85,90,93,120,134,145,192,275,279
"37063980100",104,73,102,90,75,0,0,0,0,0
